id,time,lat,lon,mag,group
ushis1737,1951-04-01 19:21:08,40.467,-125.3,5.0,-1
iscgem894786,1951-10-08 04:10:38,40.238,-124.713,6.0,-1
iscgem893449,1952-09-22 11:41:29,40.234,-124.322,6.0,-1
iscgem891295,1954-11-25 11:16:40,40.447,-125.711,6.8,-1
ushis2000,1954-12-21 19:56:25.600000,40.783,-124.167,6.5,-1
iscgem888644,1956-08-30 05:24:56,40.852,-126.358,5.9,-1
iscgem888777,1956-10-11 16:48:51,40.422,-126.09,6.4,-1
ushis2423,1959-12-05 08:13:42,40.3,-125.417,5.1,-1
iscgem879414,1960-06-06 01:17:53,40.729,-124.792,6.0,-1
iscgem880030,1960-08-09 07:39:26,40.283,-126.824,6.2,-1
ushis2490,1961-04-06 04:04:45,40.183,-124.75,5.1,-1
iscgem876478,1961-04-29 09:19:32,40.758,-127.523,5.9,-1
ushis2545,1962-04-14 07:53:15.300000,40.268,-125.31,5.4,-1
ushis2556,1962-07-14 19:43:47.800000,40.427,-125.512,5.1,-1
ushis2707,1964-06-11 22:18:12,40.7,-127.0,5.694,-1
ushis2782,1965-02-12 10:50:18,40.3,-124.9,5.613,-1
ushis2846,1965-09-16 04:10:24.600000,40.39,-125.6,5.856,-1
iscgem828247,1967-12-10 12:06:55,40.478,-124.656,5.6,-1
ushis3014,1968-06-26 01:42:15.400000,40.29,-124.67,5.775,-1
ushis3015,1968-06-26 10:47:45,40.2,-124.3,5.451,-1
ushis3033,1969-02-07 21:25:49.100000,40.343,-124.365,5.532,-1
ushis3106,1970-06-07 04:12:10.300000,40.3,-125.9,5.37,-1
ushis3116,1970-09-13 21:10:23,40.2,-125.1,5.694,-1
ushis3150,1971-02-27 00:31:39.900000,40.4,-124.8,5.562,-1
iscgem774945,1972-03-01 09:28:56,40.535,-125.444,5.9,-1
usp000031j,1973-08-09 02:18:25.800000,40.26,-124.233,5.451,-1
usp00004m1,1973-12-21 19:12:43.500000,40.625,-124.597,5.532,-1
usp00006zr,1974-07-03 05:00:58.600000,40.424,-125.136,5.694,-1
usp000073z,1974-07-13 11:09:57.500000,40.372,-125.182,5.37,-1
nc1024130,1975-06-07 08:46:23.510000,40.5415,-124.2763333,5.3,-1
nc1027519,1975-11-16 17:29:40.250000,40.6246667,-125.3146667,5.0,-1
usp0000mec,1977-02-01 14:33:12,40.308,-127.005,5.451,-1
usp0000pm6,1977-07-04 21:52:06.100000,40.323,-126.734,5.451,-1
usp0000pm7,1977-07-04 22:05:42.300000,40.248,-127.286,5.37,-1
nc1043599,1978-12-03 06:48:08.690000,40.6255,-125.7258333,5.07,-1
