net,sta,lat,lon,dep,azi,dist
II,ALE,82.5033,-62.35,60.0,9.27212523428,5200.12211342
IU,KIEV,50.7012,29.2242,180.0,15.3935094787,9631.16579358
IU,KONO,59.6491,9.5982,216.0,21.6278307423,8197.29575766
II,BORG,64.7474,-21.3268,110.0,28.5515146184,6665.36651766
IU,SFJD,66.9961,-50.62076,330.0,30.7238905132,5332.69228184
II,FFC,54.725,-101.9783,338.0,40.1073144653,2391.83690132
G,EVO,38.532001,-8.013,0.0,44.0656525776,9240.74648858
G,EDA,3.778868,10.153427,140.0,53.031504653,13398.9817154
II,CMLA,37.7637,-25.5243,429.0,54.2027200358,8173.99159031
GT,LBTB,-25.0151,25.596649,1128.0,65.3043744591,16883.6197543
IU,RSSD,44.1212,-104.0359,2090.0,69.7936532141,1856.94874039
IM,PD08,42.7589,-109.583603,2190.0,73.668056376,1395.52223826
IU,CCM,38.0557,-91.2446,222.0,83.5351115686,2996.59869784
IU,WVT,36.1297,-87.83,170.0,85.606638767,3351.18211444
IU,DWPF,28.1103,-81.4327,30.0,94.3356946432,4277.95468717
CU,GTBY,19.9268,-75.1108,79.0,99.5461414649,5316.5513086
IU,ANMO,34.94591,-106.4572,1820.0,103.014822046,1825.14722053
IU,TEIG,20.2263,-88.2763,40.0,110.572343574,4216.68311621
IU,TUC,32.3098,-110.7847,910.0,118.435498856,1632.15845589
G,UNM,19.329662,-99.178062,2280.0,124.36786124,3463.51292795
II,PFO,33.6107,-116.4555,1280.0,128.363732394,1134.99413392
IU,SLBS,23.6858,-109.9443,825.0,135.976074806,2386.5926124
II,EFI,-51.6753,-58.0637,110.0,142.339432007,12131.7397824
G,COYC,-45.57299,-72.08139,235.0,144.95095304,10931.1184489
IU,PMSA,-64.7744,-64.0489,40.0,155.239285118,12836.6496592
II,RPN,-27.1267,-109.3344,110.0,164.050567263,7670.19153194
IU,PTCN,-25.0713,-130.0953,220.0,184.055540965,7257.14631138
IU,SBA,-77.8492,166.7572,50.0,193.709346869,13854.5462477
G,TAOE,-8.85492,-140.14775,800.0,198.157758853,5640.20432095
G,PPT,-17.569,-149.576,340.0,205.670258456,6862.28838855
IU,RAR,-21.2125,-159.7733,28.0,213.785504005,7662.10215331
IU,SNZO,-41.3087,174.7043,120.0,220.8082668,10845.2065805
IU,XMAS,2.0448,-157.4457,20.0,224.904767737,5294.14371394
H2,H2O,27.88191,-141.99173,-4947.0,231.485968573,2015.10714649
IU,POHA,19.7573,-155.5326,1990.0,239.622938819,3617.81002991
G,KIP,21.42,-158.0112,110.0,244.800964081,3676.40119503
IU,JOHN,16.7329,-169.5292,2.0,250.839368045,4927.07058648
IU,HNR,-9.4387,159.9475,100.0,252.564466984,9359.39029956
II,KWJN,9.2873,167.5369,0.0,261.783958339,7353.12951664
IU,MBWA,-21.159,119.7313,190.0,268.377247199,13530.7676282
IU,MIDW,28.2156,-177.3698,20.0,270.366031536,4842.68158674
IU,GUMO,13.5893,144.8684,170.0,279.974470886,8969.27589585
IU,DAV,7.0697,125.5791,151.0,287.608590867,11033.9227189
MS,BTDF,1.3617,103.775002,57.0,299.895568693,13179.3876235
IU,ADK,51.8823,-176.6842,130.0,305.87381133,4025.9684467
IM,ATTU,52.882099,173.164307,250.0,308.307009663,4704.30998184
IC,MDJ,44.61763,129.59341,290.0,313.294211713,7950.14085094
IU,MA2,59.5756,150.77,337.0,320.830978433,5889.10155542
II,KDAK,57.7828,-152.5835,152.0,324.548844249,2706.58080966
IU,BILL,68.0653,166.4531,320.0,330.615106926,4991.69344688
IM,IL19,64.746101,-146.797394,549.0,340.598713526,3022.98709003
II,NRIL,69.5049,88.4414,92.0,347.576090492,7497.58749711
II,BRVK,53.0581,70.2828,330.0,350.248976138,9533.74073385
II,ARU,56.4293,58.5615,260.0,357.439823202,9267.83581644
