net,sta,lat,lon,dep,azi,dist
IU,TIXI,71.6341,128.8667,40.0,5.07587931066,8104.00067969
II,BORG,64.7474,-21.3268,110.0,11.8673185626,3434.47234326
IC,HIA,49.2704,119.7414,620.0,15.8076671886,10347.0327332
II,NRIL,69.5049,88.4414,92.0,18.2883554672,7554.30981861
IU,KEV,69.7565,27.0035,100.0,24.4909334637,5341.66856596
IU,KONO,59.6491,9.5982,216.0,35.6511024977,4237.4203449
II,ESK,55.3167,-3.205,242.0,37.6467588352,3341.20163586
II,OBN,55.1146,36.5674,160.0,43.719402035,5800.84490836
G,CLF,48.025791,2.26,145.0,53.4964956406,3424.8150458
G,GRC,47.2955,3.0736,191.0,55.0736682959,3471.33196852
IU,ANTO,39.868,32.7934,1090.0,63.1187023667,5922.92722552
IU,PAB,39.5446,-4.3499,950.0,70.5199862307,2798.88401028
G,EVO,38.532001,-8.013,0.0,73.0007293052,2481.22349807
G,AGD,11.529,42.824001,450.0,86.8833484066,8236.33145375
IU,AAE,9.0292,38.7656,2442.0,91.3659336339,8019.79583176
G,TAM,22.791491,5.52838,1410.0,97.644224541,4201.24811455
IU,MACI,28.2502,-16.508199,1674.0,107.501996824,1958.96035108
IU,TBT,28.6794,-17.9145,180.0,108.169088277,1814.86559147
IU,KOWA,14.4967,-4.014,321.0,117.832966263,3896.25983088
IU,TSUM,-19.2022,17.5838,1260.0,128.001766773,8224.63990317
G,MBO,14.392024,-16.955467,3.0,136.17610201,2958.03763144
II,SACV,14.9702,-23.6085,387.0,148.716466387,2532.08324708
II,ASCN,-7.9327,-14.3601,173.0,150.732049071,5260.20209009
G,TRIS,-37.0681,-12.3152,60.0,160.879546962,8345.16732304
G,CCD,-75.1065,123.305,3240.0,171.934946336,15412.6330234
G,DRV,-66.664909,140.002075,40.0,176.693465582,16481.0472686
IU,RCBR,-5.8274,-35.9014,400.0,180.460097885,4530.18018984
IU,SBA,-77.8492,166.7572,50.0,186.641935957,15124.0345668
G,SPB,-23.592691,-47.426979,647.0,192.62238143,6614.76858985
IU,TRQA,-38.0568,-61.9787,540.0,201.130211706,8544.83751085
G,PEL,-33.143607,-70.67494,700.0,209.898748184,8394.06212531
G,KOG,5.207,-52.731998,10.0,211.945938981,3749.32421866
IU,PTGA,-0.7308,-59.9666,237.0,217.832496986,4707.19630666
II,NNA,-11.9875,-76.8422,575.0,227.579078802,6785.85681641
CU,BBGH,13.1434,-59.5588,180.0,230.685400975,3422.74698917
G,FDF,14.734971,-61.146311,467.0,235.007131765,3407.76807778
CU,ANWB,17.66853,-61.78557,39.0,240.087236361,3231.4452159
IU,SJG,18.1091,-66.15,420.0,246.012521319,3554.97706928
CU,GRTK,21.51149,-71.1327,12.0,256.056768191,3770.5177228
CU,TGUH,14.057,-87.273,1151.0,259.172988599,5654.58626588
IU,TEIG,20.2263,-88.2763,40.0,266.693550676,5386.20338094
IU,BBSR,32.371299,-64.696299,30.0,271.93769808,2703.65799498
IU,WVT,36.1297,-87.83,170.0,287.222005612,4674.72489634
IU,SSPA,40.6358,-77.8876,270.0,292.321512061,3734.78963128
G,WFM,42.611,-71.490997,87.0,296.010890807,3198.86215649
IU,RSSD,44.1212,-104.0359,2090.0,302.013035882,5791.59240183
IU,COR,44.5855,-123.3046,110.0,308.080936355,7214.16385743
II,FFC,54.725,-101.9783,338.0,315.251854482,5437.81057917
IU,MIDW,28.2156,-177.3698,20.0,325.279695999,11933.1813521
IM,IL08,64.790298,-146.796906,505.0,334.368557552,7443.68879023
IU,ADK,51.8823,-176.6842,130.0,337.144976286,9652.17663015
G,IVI,61.205808,-48.171178,15.0,346.746118759,3037.43007103
IU,SFJ,66.9967,-50.6156,365.0,349.269905124,3678.53656945
II,ALE,82.5033,-62.35,60.0,355.476277417,5377.64488545
