id,time,lat,lon,mag,along_strike_distance
usp00053gt,1992-02-26 03:45:19.780000,11.803,57.764,6.0,6513.50599958
usp0005hvt,1992-12-06 01:43:53.020000,10.865,57.291,5.7,6449.52198623
usp0005puh,1993-03-20 06:30:25.900000,9.763,57.858,5.2,6497.60281005
usp00061qx,1993-10-09 22:24:21.990000,11.712,57.66,5.532,6500.98881967
usp0006qv5,1995-01-04 08:51:51.010000,10.117,56.669,5.37,6372.27216275
usp0006y21,1995-05-26 03:11:17.180000,12.115,57.939,6.5,6536.82113929
usp0006ymw,1995-06-05 23:15:43.190000,12.16,57.848,5.2,6527.64369874
usp0006zz0,1995-07-01 04:10:55.130000,12.892,57.424,5.3,6492.89494796
usp0007bb3,1996-01-18 21:14:34.800000,10.113,56.714,5.451,6377.12213668
usp0007fda,1996-03-28 07:28:28.120000,11.919,57.805,6.1,6519.56804855
usp0007qtj,1996-10-01 15:50:23.660000,12.434,58.066,6.4,6555.11801653
usp0008cns,1997-12-15 00:43:40.950000,12.942,58.042,5.1,6560.08119933
usp00092xf,1999-02-16 16:21:08.040000,10.243,56.706,5.3,6377.89155274
usp0009j0p,1999-11-23 14:37:56.660000,9.732,57.122,5.6,6416.93908071
usp0009j0r,1999-11-23 15:15:57.810000,9.716,57.054,5.3,6409.33035342
usp0009j5z,1999-11-27 00:52:14.320000,9.68,57.101,5.451,6414.03103933
usp0009uqf,2000-06-16 21:23:13.250000,9.598,57.993,5.3,6510.44614176
usp000bf1t,2002-10-23 01:14:59.850000,11.156,57.348,5.2,6459.57991217
usp000bjpf,2002-11-29 06:03:49.980000,10.063,57.431,5.1,6454.60484752
usp000c632,2003-08-27 21:18:44.070000,11.288,57.575,5.7,6485.96494362
usp000cc5r,2003-11-06 00:33:06.260000,12.844,57.923,5.0,6545.8047334
usp000cdng,2003-11-22 09:30:03.510000,13.281,57.466,5.1,6503.49774672
usp000cdnq,2003-11-22 11:24:33.400000,13.292,57.248,5.0,6480.29771185
usp000dg12,2005-02-13 05:26:54.460000,11.961,57.838,5.1,6523.72669023
usp000e9xb,2006-02-11 07:29:07.770000,9.973,56.833,5.0,6388.34551731
usp000f2wk,2007-01-17 23:18:49.800000,10.125,58.708,6.2,6594.50043503
usp000fwxy,2008-01-18 05:27:06.720000,9.894,57.405,5.0,6449.7350182
usp000gscv,2009-01-09 03:44:38.800000,10.437,56.962,5.7,6408.21681522
usp000gvb1,2009-03-23 04:28:21.760000,9.796,57.819,5.5,6493.73125874
usp000gw60,2009-04-15 10:20:04.620000,12.348,58.071,5.7,6554.40914803
usp000h10j,2009-08-29 13:59:06.030000,12.92,57.6,5.3,6512.24072609
usp000hu9a,2011-02-09 19:24:06.710000,11.806,57.778,5.0,6515.06146155
usp000jegm,2012-02-04 21:50:50.570000,13.046,57.561,5.5,6509.99984618
usp000jugf,2012-10-27 09:32:30.220000,9.82,57.091,5.532,6414.60937218
usp000jv3c,2012-11-06 06:17:27.780000,9.963,57.203,5.6,6428.54548696
usb000k49t,2013-10-02 01:06:37.330000,11.2277,57.5902,5.7,6486.80016817
usb000k98k,2013-10-02 01:13:17.460000,11.112,57.5812,5.37,6484.27811653
usb000ruks,2014-07-19 14:14:01.850000,11.7448,57.6382,6.0,6499.08998678
usc000tnnx,2015-02-10 14:47:50.520000,9.7244,57.5806,5.4,6466.88509045
us10003mxr,2015-10-12 07:23:25.790000,11.877,57.8101,5.532,6519.52733374
us20006ufv,2016-08-27 02:34:40.350000,13.3217,57.9777,5.37,6559.01804093
us20009xs9,2017-07-19 00:54:02.470000,12.8897,58.0509,5.37,6560.24733687
us1000gdsn,2018-08-20 07:38:26.810000,9.5598,57.9559,5.37,6505.96204233
us2000hh11,2018-09-19 08:53:14.170000,10.3768,56.9238,5.2,6403.29245493
us70003e0j,2019-04-29 14:19:52.499000,10.8649,57.2283,6.3,6442.71401368
us600040cf,2019-06-13 13:47:59.006000,9.8672,57.8416,5.37,6497.02860861
us60006bdi,2019-11-14 05:26:24.940000,9.9368,57.6296,5.5,6474.73321836
