id,time,lat,lon,mag,group
usp0009pq2,2000-03-14 18:42:35.530000,-61.4403112193,161.495192626,5.7,1
usp0009pq5,2000-03-14 20:22:18.830000,-61.4167621942,161.440976011,5.6,1
usp000bskv,2003-03-14 02:55:45.330000,-61.7486030241,161.753259881,5.9,1
usp000efm4,2006-04-27 10:25:56.060000,-61.2997861774,161.213674325,5.2,1
usp000ehcu,2006-05-18 03:15:09.980000,-60.8542470422,161.990629519,5.0,1
usp000evzk,2006-10-25 05:24:55.740000,-61.3474411534,161.356121787,5.0,1
usp000f685,2007-03-07 02:05:40.750000,-60.8650954086,161.986999832,5.2,1
usp000f9hz,2007-04-12 18:24:49.030000,-61.4662874072,161.53427777,6.0,1
usp000f9j4,2007-04-12 19:11:12.710000,-61.3428405455,161.302471074,5.4,1
usp000gjrz,2008-10-09 09:01:26.470000,-61.5172485951,161.469298789,5.0,1
usp000hbkh,2010-04-18 05:31:28.350000,-61.4239893938,161.35461833,5.1,1
usp000hpba,2010-11-09 18:23:54.320000,-61.3903704951,161.423171597,5.2,1
usb000sp4a,2014-10-20 07:58:52.360000,-61.5942420695,161.573990793,5.7,1
usc000td4a,2015-01-08 14:56:30.710000,-61.4276760456,161.485340475,5.7,1
us200027ul,2015-04-20 18:19:53.200000,-61.6798797395,161.661496403,5.37,1
us2000a0fc,2017-07-24 15:50:12.970000,-61.3517342261,161.348976093,5.37,1
us2000dvrc,2018-04-06 20:21:33.250000,-61.3869605217,161.459967548,5.613,1
us2000har6,2018-09-07 22:14:03.630000,-61.2998086022,161.213699503,5.37,1
us6000b8vp,2020-08-03 21:16:19.928000,-61.414351539,161.424995926,5.6,1
