id,time,lat,lon,mag,along_strike_distance
us7000an4u,2020-07-14 01:42:04.856000,-62.1404,165.326,5.2,13001.9043637
us1000g6hd,2018-08-10 18:09:24.320000,-62.629,165.6349,5.5,12954.0953878
us2000cnet,2018-01-23 21:52:30.840000,-62.4873,165.4328,5.4,12966.3701203
us20006fcg,2016-07-17 10:55:44.060000,-62.5659,165.6291,5.37,12960.7716881
us10005g1a,2016-05-09 01:33:33.920000,-62.5795,165.344,5.5,12955.2233016
usb000rrb8,2014-07-09 17:58:11.820000,-62.1149,164.919,5.8,12998.5312781
usp000hqrp,2010-12-10 14:59:11.470000,-62.897,165.947,5.3,12929.7159293
usp000hcwh,2010-05-18 09:45:22.210000,-62.838,166.091,5.3,12938.0197558
usp000hb1z,2010-04-09 11:50:36.770000,-62.21,164.688,5.2,12984.8715828
usp000gxgq,2009-05-25 06:40:14.330000,-62.316,165.062,5.5,12979.2290203
gcmtc200905230903a,2009-05-23 09:03:20,-62.5,165.5,5.0,12965.9804018
usp000gvg7,2009-03-28 00:43:19.050000,-62.389,164.551,5.0,12963.7120804
gcmtc200803310833a,2008-03-31 08:33:12,-62.5,165.5,5.4,12965.9804018
usp000g2t2,2008-03-31 08:22:51.120000,-62.65,165.404,5.0,12948.5490645
usp000ezb6,2006-12-02 05:11:51.140000,-62.249,164.954,5.3,12984.7590645
usp000eqtv,2006-08-12 20:17:05,-62.65,164.946,5.2,12941.8599965
usp000ecsg,2006-03-23 13:57:41.600000,-62.47,165.168,5.7,12964.3559816
usp000eavd,2006-02-25 23:05:01.580000,-62.673,165.231,5.4,12943.5876279
usp000d357,2004-08-29 22:08:33.680000,-62.62,165.248,5.5,12949.4994874
usp0007rmc,1996-10-18 17:34:53.030000,-62.141,165.014,5.5,12997.1844764
usp0007f62,1996-03-23 10:46:45.940000,-62.722,164.876,5.8,12933.1407436
usp0004qys,1991-04-28 21:55:38.560000,-62.493,165.031,5.624,12959.8752181
