id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usb000ijj6,2013-07-22 07:01:42.500000,-45.7898035846,34.7600397957,6.3,usp000gxvc,2009-06-04 17:25:25.500000,-45.473675888,34.8034100051,6.0,35.2981088366,35.2978948527,7.85535359597,5.51329689551,5.51360355633,16.2250177266,1,1
usp000gxvc,2009-06-04 17:25:25.500000,-45.473675888,34.8034100051,6.0,usp000g1dj,2008-03-13 13:28:44.850000,-45.2127434004,34.9253369263,6.0,30.5335125788,30.5407319067,3.19972398595,18.281513332,18.2742044162,6.12626637411,1,1
usp000gxvc,2009-06-04 17:25:25.500000,-45.473675888,34.8034100051,6.0,usp000f5qm,2007-02-26 23:49:53.730000,-44.8046885691,35.1078487011,5.7,78.1084980274,78.7384582907,4.44713854216,17.9607249278,18.8855480602,3.0473830993,1,1
us70005tvg,2019-10-13 12:21:07.609000,-44.8969842117,35.0392061578,5.4,usp000gt64,2009-01-27 23:19:49.880000,-44.8626448939,35.2246005239,5.1,15.1372011722,9.6518792806,18.6770327423,75.4635316285,75.3329880975,56.648366108,1,1
usp000gt64,2009-01-27 23:19:49.880000,-44.8626448939,35.2246005239,5.1,usp000g1m8,2008-03-16 15:09:20.830000,-45.3048325357,34.9137169199,5.0,54.8999357745,39.8790996124,31.9734234193,206.366918033,197.527292061,71.9016031797,1,1
us70005tvg,2019-10-13 12:21:07.609000,-44.8969842117,35.0392061578,5.4,usp000g1m8,2008-03-16 15:09:20.830000,-45.3048325357,34.9137169199,5.0,46.3893809715,49.2565251938,17.1611193884,192.248877283,192.572442696,29.7811751769,1,1
usb000ijj6,2013-07-22 07:01:42.500000,-45.7898035846,34.7600397957,6.3,usp000g1dj,2008-03-13 13:28:44.850000,-45.2127434004,34.9253369263,6.0,65.4235553058,64.3626845505,3.15180702159,11.4478884695,11.5163551743,3.13997810019,1,1
us70005tvg,2019-10-13 12:21:07.609000,-44.8969842117,35.0392061578,5.4,usp000f5r8,2007-02-27 03:47:12.110000,-44.833809634,35.1201184378,5.1,9.49625114677,9.49623028621,2.14113288182,42.357104398,42.299318526,11.1673439133,1,1
usp000gt64,2009-01-27 23:19:49.880000,-44.8626448939,35.2246005239,5.1,usp000f5r8,2007-02-27 03:47:12.110000,-44.833809634,35.1201184378,5.1,8.85960869222,22.6025833275,25.2720020365,291.167145597,251.845010465,71.4228990909,1,1
usp000g1m8,2008-03-16 15:09:20.830000,-45.3048325357,34.9137169199,5.0,usp000f5r8,2007-02-27 03:47:12.110000,-44.833809634,35.1201184378,5.1,54.8117836314,54.808203255,9.91187127875,17.3236517625,17.3115863486,10.93167873,1,1
usp000f5r8,2007-02-27 03:47:12.110000,-44.833809634,35.1201184378,5.1,usp000awun,2002-01-20 13:07:11.440000,-45.5599962501,34.7402667613,5.5,86.0473353267,82.2716896385,60.805575272,200.161419524,198.192253843,74.1760628489,1,1
us70005tvg,2019-10-13 12:21:07.609000,-44.8969842117,35.0392061578,5.4,usp000f5qm,2007-02-26 23:49:53.730000,-44.8046885691,35.1078487011,5.7,11.6036413789,11.6030934167,1.59678159996,27.9051123951,27.8564848925,6.99891683277,1,1
usp000g1dj,2008-03-13 13:28:44.850000,-45.2127434004,34.9253369263,6.0,usp000f5qm,2007-02-26 23:49:53.730000,-44.8046885691,35.1078487011,5.7,47.5757711277,56.002546826,3.28898828215,17.6681255187,23.7247980555,2.82279010742,1,1
usp000g1m8,2008-03-16 15:09:20.830000,-45.3048325357,34.9137169199,5.0,usp000br6r,2003-02-22 11:37:45.910000,-45.885777058,34.6438874149,5.2,67.9138477261,34.1856820398,23.9092144188,197.963311769,174.045371612,49.279289728,1,1
usb000ijj6,2013-07-22 07:01:42.500000,-45.7898035846,34.7600397957,6.3,usp000bpc5,2003-01-27 17:56:25.830000,-45.0716449974,35.0513671082,6.4,83.0080493047,83.0079609186,3.26782186839,16.0445400416,15.8413075924,2.67009617736,1,1
usp000gxvc,2009-06-04 17:25:25.500000,-45.473675888,34.8034100051,6.0,usp000bpc5,2003-01-27 17:56:25.830000,-45.0716449974,35.0513671082,6.4,48.7334218429,48.493494105,9.14070782276,23.6205338757,25.277931531,14.3643260147,1,1
