net,sta,lat,lon,dep,azi,dist
IU,NAI,-1.2739,36.8037,1692.0,2.45610701532,4891.39694745
G,AGD,11.529,42.824001,450.0,9.03699802716,6352.06444434
II,ARTI,56.3879,58.3849,320.0,13.0647695488,11489.332208
II,UOSS,24.9453,56.2042,284.4,20.0546471694,8078.10403147
G,FOMA,-24.97565,46.978877,28.0,29.2041671815,2504.58525573
II,NIL,33.6506,73.2686,629.0,31.1527665489,9563.02620356
G,RER,-21.1712,55.739861,834.0,41.9130965732,3283.05573046
G,HYB,17.41867,78.55213,510.0,43.1627417385,8223.49771413
G,ROCAM,-19.75553,63.37014,52.0,51.767302761,3850.63500029
IU,CHTO,18.8141,98.9443,420.0,58.5288931348,9588.10413738
IC,SSE,31.0948,121.1908,40.0,64.8582942235,12113.2471767
IC,QIZ,19.0291,109.8445,240.0,66.1760509189,10361.711419
MS,BTDF,1.3617,103.775002,57.0,73.6743507726,8470.89089241
II,COCO,-12.1901,96.8349,1.0,78.2382553056,6854.56327056
II,KAPI,-5.0142,119.7517,300.0,89.8652566254,9197.87572769
G,AIS,-37.796349,77.569183,35.9,91.690958735,3595.64275867
G,CRZF,-46.43096,51.855308,140.0,101.040826489,1302.47448177
IU,WAKE,19.2834,166.652,20.0,107.090178001,14726.6691755
G,PAF,-49.351,70.210708,17.0,112.225002254,2662.89863922
IU,CTAO,-20.08765,146.24998,367.0,118.936728652,9981.70503188
IU,HNR,-9.4387,159.9475,100.0,122.667503376,11822.148756
G,CAN,-35.318714,148.996323,700.0,130.725401894,8878.52846789
II,TAU,-42.9099,147.3204,132.0,134.904576359,8152.94634473
II,MSVF,-17.7448,178.0528,801.1,142.867437232,12078.9014192
IU,CASY,-66.2792,110.5354,10.0,145.663428194,4873.76761673
G,DRV,-66.664909,140.002075,40.0,151.888638785,6066.25970466
G,CCD,-75.1065,123.305,3240.0,159.073849908,5137.39119285
GT,VNDA,-77.517273,161.852753,121.1,167.430168076,5890.23539294
IU,SBA,-77.8492,166.7572,50.0,168.672941905,5942.59031888
IU,QSPA,-89.9289,144.4382,2850.0,179.904334477,4975.20129214
IU,SPA,-90.0,0.0,2927.0,180.0,4972.56707696
H2,H2O,27.88191,-141.99173,-4947.0,188.349691929,18043.2862658
IU,PTCN,-25.0713,-130.0953,220.0,194.069773012,12058.3722747
IU,PMSA,-64.7744,-64.0489,40.0,211.643266672,5953.2135136
II,EFI,-51.6753,-58.0637,110.0,227.114239611,6433.28781828
II,HOPE,-54.2836,-36.4879,20.0,231.636298333,5014.36987774
IU,TRQA,-38.0568,-61.9787,540.0,237.252777749,7606.62849131
IU,LVC,-22.6127,-68.9111,2960.0,244.317950348,9277.70259009
G,UNM,19.329662,-99.178062,2280.0,250.443963231,14932.903715
G,SPB,-23.592691,-47.426979,647.0,257.734335758,7614.98662376
IU,BOCO,4.5869,-74.0432,3160.0,259.210197043,11862.522771
G,TRIS,-37.0681,-12.3152,60.0,266.174271978,4020.2701172
G,CAY,4.948,-52.317001,25.0,275.149994012,10197.2513933
IU,RCBR,-5.8274,-35.9014,400.0,279.470539019,8070.04379101
IU,RSSD,44.1212,-104.0359,2090.0,282.110638687,16816.2921837
IU,BBSR,32.371299,-64.696299,30.0,288.01273738,13201.3009889
II,SHEL,-15.9594,-5.7455,537.0,297.181949301,5009.12586184
II,SACV,14.9702,-23.6085,387.0,302.956944413,8914.74847616
G,SOK,14.494418,-16.456223,70.9,308.39299262,8417.37922667
II,SUR,-32.3797,20.8117,1770.0,314.646852744,1898.23559049
IU,KOWA,14.4967,-4.014,321.0,319.176857426,7714.24291531
IU,TSUM,-19.2022,17.5838,1260.0,325.174161093,3324.29561303
IU,MSKU,-1.6557,13.6116,312.0,330.189227817,5283.59339692
GT,LBTB,-25.0151,25.596649,1128.0,336.131712353,2417.34378762
IU,LSZ,-15.2779,28.1882,1200.0,346.797047935,3402.05410813
II,MBAR,-0.6019,30.7382,1390.0,353.795521846,4981.33481079
IU,ANTO,39.868,32.7934,1090.0,358.216072867,9447.08275896
