id,time,lat,lon,mag,group
usp0006bzj,1994-05-03 09:39:13.910000,-3.79253820644,-103.614918175,5.3,1
usp00073fm,1995-09-16 22:49:14.500000,-3.98612974332,-103.92743666,5.6,1
usp00079v5,1995-12-30 03:26:10.980000,-4.4216647639,-104.839852979,6.1,1
usp0007nzb,1996-08-23 21:56:06.080000,-3.9545070351,-104.349232976,5.9,1
usp0007nzd,1996-08-23 22:18:57.050000,-3.96198964071,-104.222562592,5.8,1
usp0008q3r,1998-06-18 19:03:48.170000,-3.61949519116,-102.646932775,5.4,1
usp0008y7t,1998-11-15 04:51:42.230000,-3.97736396743,-104.157564212,5.5,1
usp0009ek1,1999-09-18 04:01:04.400000,-4.50162943791,-104.717093694,5.6,1
usp000ahgp,2001-06-26 12:33:52.030000,-3.94861611479,-104.353573886,6.1,1
usp000akg8,2001-07-30 04:34:43.470000,-3.99005913666,-103.931402807,5.6,1
usp000atq5,2001-11-29 17:06:58.930000,-3.95886397426,-104.21908382,5.6,1
usp000cdyb,2003-11-26 17:32:51.660000,-3.97891819734,-104.152357427,5.4,1
usp000cfm2,2003-12-19 22:57:51.350000,-3.76629307234,-102.687886309,5.6,1
usp000dxsd,2005-08-21 09:49:50.080000,-3.9592356184,-104.028748047,5.8,1
usp000eh3x,2006-05-14 14:50:07.230000,-3.76212339638,-103.618472073,5.3,1
usp000fd4z,2007-06-01 07:31:07.150000,-3.5581338472,-103.161392922,5.2,1
usp000fgx4,2007-07-23 06:00:35.580000,-3.96843828738,-104.126868418,5.5,1
usp000fgx5,2007-07-23 06:03:52.440000,-3.95756936521,-104.21668217,5.7,1
usp000fmu7,2007-09-10 08:00:49.330000,-3.70983046256,-103.281333628,5.0,1
usp000fmu9,2007-09-10 08:31:30.370000,-3.71538164643,-103.259149843,5.1,1
usp000fnw1,2007-09-22 08:29:56.300000,-3.74209134443,-103.720447323,5.3,1
usp000fnw2,2007-09-22 09:19:50.470000,-3.7360406642,-103.738505249,5.1,1
usp000gw66,2009-04-15 14:04:29.960000,-3.94486388567,-104.361547195,5.2,1
usp000gxfp,2009-05-24 09:57:11.080000,-3.98883242717,-103.929263578,5.6,1
usp000h43r,2009-11-16 13:35:24.380000,-3.95716874014,-104.064021852,5.1,1
usp000hezy,2010-07-07 11:31:21.300000,-3.9693402231,-103.959191544,5.0,1
usp000jdma,2012-01-17 15:27:48.530000,-3.96400887934,-104.021608479,5.4,1
usp000jx2v,2012-12-17 17:41:32.300000,-3.94735281876,-104.350059993,5.9,1
usp000jx2w,2012-12-17 17:46:46.630000,-3.96308034363,-104.217050762,5.7,1
usc000tb93,2015-01-02 11:01:22.940000,-3.97012756625,-104.151570212,5.3,1
us10003kus,2015-10-07 02:30:21.560000,-3.95657536556,-104.020106627,5.4,1
us20005haz,2016-04-12 03:22:47.710000,-3.77105393921,-103.975833475,5.8,1
us200062qw,2016-06-08 08:31:39.780000,-3.94799368287,-104.3619934,5.9,1
us20007cfa,2016-10-06 20:57:08.640000,-3.98483514917,-103.928687626,5.6,1
us1000hr1c,2018-11-12 22:37:27.530000,-3.36725026579,-103.728568747,5.6,1
us600068n8,2019-11-07 14:21:48.609000,-3.96099800222,-104.02550055,5.4,1
