id,time,lat,lon,mag,group
usp0001f4j,1981-08-05 20:40:06.240000,-54.534,-119.04,5.562,-1
usp0001pxm,1982-09-30 09:45:33.410000,-55.057,-118.613,5.686,-1
usp00032c0,1987-02-10 12:28:13.070000,-54.809,-119.229,5.748,-1
usp0004f9w,1990-10-02 16:11:48.390000,-54.405,-119.54,5.562,-1
usp0005x4z,1993-07-22 03:51:15.720000,-54.538,-119.444,5.624,-1
usp0005x57,1993-07-22 06:16:09.490000,-54.439,-119.333,6.0,-1
usp0006ufx,1995-03-20 17:34:50.880000,-54.4370840512,-119.08294097,5.6,1
usp0008ey3,1998-01-25 08:56:34.930000,-54.3665673196,-119.643702047,5.5,1
usp0009d4v,1999-08-16 21:31:28.790000,-54.4995333216,-118.892698499,5.4,1
usp000aqzd,2001-10-15 14:11:19.520000,-54.3761997857,-119.480992418,5.4,1
usp000cfyf,2003-12-24 16:43:07.060000,-54.2697077898,-120.531312417,5.2,1
usp000evfw,2006-10-18 20:15:50.630000,-54.4995292761,-118.892667341,5.3,1
usp000ey0s,2006-11-17 15:14:28.010000,-54.3682991661,-119.506347135,5.2,1
usp000ey1s,2006-11-17 19:52:33.860000,-54.3564643214,-119.545844635,5.2,1
usp000f6mn,2007-03-13 07:37:51.330000,-54.1995947293,-120.807727728,5.2,1
usp000f6n8,2007-03-13 15:47:40.680000,-54.203320404,-120.812582448,5.1,1
usp000gdds,2008-07-29 20:56:22.350000,-54.4308226562,-119.089103643,5.8,1
usp000h2eg,2009-10-06 08:31:41.570000,-54.4625744604,-119.005897477,5.1,1
usp000h422,2009-11-15 01:51:35.900000,-54.3849728588,-119.426793276,5.1,1
usp000hv44,2011-02-26 19:24:20.980000,-54.3646761918,-119.522431977,5.4,1
us10006kfa,2016-09-05 02:35:25.650000,-54.424304049,-119.068817868,5.613,1
us2000db5b,2018-02-23 21:53:04.570000,-54.2049132022,-120.842544108,5.37,1
us2000fs69,2018-06-30 09:48:06.780000,-54.3775253352,-119.485923831,5.4,1
us600085my,2020-02-27 22:20:36.921000,-54.4800676732,-118.942633838,5.4,1
