id,time,lat,lon,mag,along_strike_distance
usp00043y3,1990-01-05 18:27:00.120000,18.863,-106.795,6.0,11783.9536209
usp0004k04,1990-12-30 21:30:29.200000,18.668,-107.016,5.532,11809.2788056
usp0004k1t,1991-01-01 00:06:31.400000,18.068,-105.847,6.3,11692.5457552
usp0004k1w,1991-01-01 02:19:37.280000,18.355,-105.788,5.37,11683.4752547
usp0004k1y,1991-01-01 03:19:35.250000,17.951,-105.852,5.8,11694.2269981
usp0004z1w,1991-11-11 17:45:57.440000,17.911,-105.586,5.9,11666.5441335
usp0005j96,1992-12-14 04:15:15.050000,19.791,-109.22,5.3,12026.0829342
usp0005jdr,1992-12-17 09:19:18.830000,18.386,-105.478,5.4,11650.5383236
usp0005y20,1993-08-07 06:11:52.130000,18.065,-105.677,5.451,11674.6493808
usp0006yd5,1995-05-31 16:08:40.250000,18.956,-107.42,6.4,11848.4200311
usp000758t,1995-10-16 18:18:01.540000,19.034,-104.516,5.37,11543.1990035
usp00075cz,1995-10-18 23:02:08.120000,19.243,-104.989,5.5,11590.7387691
usp000776q,1995-11-21 08:58:30.890000,18.792,-105.344,5.4,11632.4413038
usp00078tr,1995-12-11 14:09:23.790000,18.926,-105.471,6.4,11644.4281395
usp00078u5,1995-12-11 19:11:39.680000,18.718,-105.534,5.8,11653.1328022
usp00078u8,1995-12-11 19:44:09.210000,18.583,-105.517,6.1,11652.6942723
usp00078z4,1995-12-14 10:55:39.770000,18.722,-107.054,5.8,11812.6726744
usp0008066,1997-04-08 15:23:44.730000,18.629,-106.41,5.6,11746.0625235
usp00081jx,1997-05-01 11:37:36.150000,18.993,-107.35,6.9,11840.6656948
usp000825c,1997-05-12 04:41:55.830000,18.734,-107.129,5.6,11820.4098758
usp0008265,1997-05-12 15:03:03.400000,18.722,-107.176,5.6,11825.4748603
usp0008b43,1997-11-22 06:25:39.890000,19.379,-108.452,5.5,11951.3101597
usp0008tyy,1998-08-27 16:51:45.820000,19.274,-108.446,5.4,11951.9801253
usp00096rn,1999-04-23 08:58:57.300000,17.921,-104.813,5.4,11584.842916
usp0009hxp,1999-11-21 06:46:19.240000,18.544,-107.168,6.2,11826.6049172
usp0009nst,2000-02-21 16:29:40.020000,18.562,-107.074,5.7,11816.5325742
usp0009nsu,2000-02-21 16:31:23.250000,18.651,-107.219,5.37,11830.777051
usp000a5sa,2000-12-09 17:01:01.930000,17.992,-105.071,5.3,11611.4200376
usp000ae6h,2001-04-29 21:26:54.540000,18.736,-104.545,6.2,11549.0573201
usp000afrh,2001-05-29 18:48:05.550000,19.853,-109.165,5.5,12019.5445742
usp000b1y5,2002-04-07 18:34:37.850000,19.687,-109.274,5.4,12033.072581
usp000bgmh,2002-11-05 14:05:07.640000,19.281,-104.781,5.3,11568.5847336
usp000bj75,2002-11-23 02:33:01.420000,18.473,-106.39,5.4,11745.6000124
usp000bj76,2002-11-23 02:53:10.130000,18.559,-106.477,5.4,11753.8410222
usp000bnyv,2003-01-22 02:28:54.920000,18.403,-104.521,5.451,11549.6274981
usp000bp0c,2003-01-22 20:15:34.710000,18.737,-104.467,5.5,11540.8517808
usp000bqve,2003-02-17 04:42:00.210000,19.082,-104.784,5.3,11570.840018
usp000bxhk,2003-05-19 16:27:10.200000,17.546,-105.473,6.1,11658.0753037
usp000c2rt,2003-07-17 19:57:13.770000,18.507,-107.129,6.0,11822.9140393
usp000c4m0,2003-08-11 01:17:53.600000,18.348,-106.036,5.7,11709.6487662
usp000c5xu,2003-08-25 23:24:59.130000,18.541,-106.695,5.8,11776.9406342
usp000ctz9,2004-05-02 04:19:27.240000,17.86,-105.987,5.3,11709.3715031
usp000ctzc,2004-05-02 05:17:28.880000,17.837,-106.012,5.4,11712.2378861
usp000dcme,2005-01-06 00:02:21.110000,19.573,-109.111,5.7,12017.5840997
usp000dcmf,2005-01-06 00:04:09.640000,19.638,-109.108,5.5,12016.427395
usp000dh4m,2005-02-28 01:05:59.300000,18.764,-104.592,5.6,11553.7321868
usp000dp8r,2005-04-26 04:05:47.300000,19.691,-109.278,5.6,12033.4363759
usp000du0j,2005-06-27 11:35:45.600000,18.781,-107.298,6.2,11837.614146
usp000e2ps,2005-10-24 01:23:59.660000,17.815,-105.822,5.1,11692.3913301
usp000e8gx,2006-01-20 01:38:33.400000,18.714,-107.163,5.1,11824.1996147
usp000ec5x,2006-03-14 23:31:42.320000,19.431,-108.969,5.4,12004.6071176
usp000edn5,2006-04-04 02:30:28.390000,18.716,-106.992,6.0,11806.2322521
usp000ersn,2006-08-26 07:51:59.770000,19.611,-108.911,5.2,11996.2539139
usp000ersq,2006-08-26 08:06:17.540000,19.543,-108.947,5.1,12000.8788357
usp000ey85,2006-11-19 06:59:07.500000,18.463,-104.489,5.5,11545.7060459
usp000f1k9,2007-01-02 19:56:43.620000,18.743,-107.751,5.2,11885.5581612
usp000f7qr,2007-03-28 18:42:55.550000,19.695,-109.452,5.3,12051.4964414
usp000fgqn,2007-07-20 16:14:37.060000,17.562,-106.011,5.0,11714.8275059
usp000fhac,2007-07-28 19:11:17.010000,19.722,-109.195,5.3,12024.3888262
usp000fmhm,2007-09-06 03:42:38.790000,19.39,-105.41,5.2,11633.3125156
usp000fpxn,2007-10-05 09:38:55.650000,19.222,-108.29,5.4,11936.3163825
usp000fr38,2007-10-23 01:36:58.930000,19.286,-108.749,5.0,11983.4795471
usp000ghm1,2008-09-24 02:33:05.560000,17.612,-105.497,6.4,11659.9928336
usp000ghrb,2008-09-26 03:39:21.870000,17.751,-105.788,5.1,11689.4218472
usp000gvfz,2009-03-27 17:53:04.820000,18.644,-107.325,5.1,11841.9824797
usp000gx7u,2009-05-17 06:15:09.700000,19.187,-108.402,5.1,11948.4499061
usp000gxm9,2009-05-28 21:32:26.960000,18.537,-106.243,5.3,11729.4785073
usp000gxmb,2009-05-28 22:57:19.400000,18.45,-106.459,5.4,11753.09645
usp000gxme,2009-05-29 01:04:38.410000,18.374,-106.535,5.5,11761.8879219
usp000gxnh,2009-05-29 16:10:51.430000,18.444,-106.331,5.0,11739.6982594
usp000gxuc,2009-06-03 21:37:37.320000,19.553,-109.165,5.6,12023.4709956
usp000h1n1,2009-09-18 18:46:08.340000,19.269,-108.481,5.6,11955.6980756
usp000h1tv,2009-09-24 07:16:20.260000,18.829,-107.339,6.4,11841.3730305
usp000h2et,2009-10-06 17:22:50.880000,18.796,-107.527,5.5,11861.4600196
usp000h3aq,2009-10-23 12:12:36.590000,18.66,-107.224,5.0,11831.2019001
usp000h3dr,2009-10-26 01:30:36.400000,19.094,-107.868,5.0,11893.7210954
usp000h4be,2009-11-23 06:08:39.600000,18.083,-105.597,5.6,11666.0378388
usp000h4vt,2009-12-08 18:24:07.640000,19.261,-104.901,5.0,11581.3460085
usp000h4vw,2009-12-08 19:34:02,19.206,-104.916,5.1,11583.4594163
usp000h4zs,2009-12-12 17:05:20.250000,19.151,-104.938,5.2,11586.3059037
usp000h5qd,2010-01-04 14:29:42.290000,18.48,-107.038,5.0,11813.6459123
usp000h9rz,2010-03-20 21:33:06.910000,19.872,-105.465,5.0,11634.0317666
usp000hjp2,2010-08-24 02:11:59.090000,18.795,-107.193,6.2,11826.4445534
usp000hjvq,2010-08-28 18:46:30.400000,18.72,-107.097,5.5,11817.2071633
usp000hr0m,2010-12-17 04:12:12.490000,19.517,-108.947,5.3,12001.2122651
usp000ht5f,2011-01-15 10:51:33.040000,19.699,-109.005,5.0,12004.9086576
usp000httm,2011-01-29 18:01:02,19.683,-109.178,5.0,12023.1300623
usp000j98r,2011-10-12 10:54:34.450000,18.542,-106.66,5.1,11773.2520156
usp000ja6t,2011-11-01 12:32:00.430000,19.831,-109.205,6.3,12023.9949487
usp000ja7e,2011-11-01 22:29:38.380000,19.609,-109.243,5.2,12030.8676833
usp000jq2q,2012-08-09 02:34:41.120000,19.946,-109.332,5.6,12035.6712607
usp000jtbq,2012-10-01 17:32:28.950000,18.607,-107.164,5.2,11825.4898569
usb000gdyf,2013-04-23 02:06:55.650000,18.526,-107.184,5.3,11828.4840887
usc000lhvx,2013-12-11 00:46:49,19.4959,-109.0571,5.4,12012.9623854
usc000r9g2,2014-05-31 11:53:46.470000,18.7876,-107.469,6.2,11855.4734829
usb000sa0z,2014-09-06 19:22:59.040000,18.7529,-107.0488,6.2,11811.7857313
usb000tnlk,2015-02-12 15:50:59.880000,19.3552,-105.7405,5.5,11668.2416063
usc000tsak,2015-02-22 14:23:12.720000,18.6766,-106.848,6.2,11791.548025
us10004cfv,2016-01-08 21:54:51.340000,18.7941,-107.1822,5.613,11825.3218753
us10004g4l,2016-01-21 18:06:57.650000,18.8239,-106.9337,6.6,11798.9284247
us10005e62,2016-05-05 22:27:07.080000,18.7033,-107.0857,5.4,11816.2059577
us10005el7,2016-05-07 00:18:36.680000,18.3754,-105.3371,5.6,11635.8103179
us10005f1x,2016-05-07 01:06:01.030000,18.2797,-105.3042,5.37,11633.27279
us20005zjp,2016-06-01 08:30:21.330000,17.9129,-105.7719,5.4,11686.1473538
us20005zv0,2016-06-02 02:23:05.910000,18.0217,-105.8338,5.8,11691.6109363
us200062i1,2016-06-07 10:51:37.720000,18.3637,-105.1731,6.3,11618.6577063
us200062i7,2016-06-07 10:58:00.050000,18.5036,-105.2031,5.5,11620.4644572
us20007ga1,2016-10-23 22:59:29.740000,18.9017,-104.5714,5.6,11550.2674718
us10008tqj,2017-05-20 06:02:14.290000,17.4893,-105.3228,5.7,11642.7109547
us2000bhp8,2017-11-03 11:52:09.140000,18.6597,-106.5643,5.7,11761.9422632
us2000czig,2018-02-09 14:05:48.330000,18.9311,-104.6522,5.8,11558.468182
us2000frwr,2018-06-30 03:56:49.410000,19.0222,-105.119,5.9,11606.5495392
us1000hwxu,2018-11-27 05:37:59.180000,19.3732,-108.3512,5.6,11940.8584524
us70003tn5,2019-05-31 11:57:24.661000,18.7604,-107.1447,5.8,11821.7638187
us70006xjw,2020-01-10 15:21:21.632000,18.4552,-105.2328,5.6,11624.0584297
us70007iz7,2020-02-05 10:43:06.434000,19.8937,-109.4208,5.2,12045.6001371
