id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usc000tsak,2015-02-22 14:23:12.720000,18.725305582,-106.941481395,6.2,us70003tn5,2019-05-31 11:57:24.661000,18.758255335,-107.145465577,5.8,21.8178153325,21.8180294856,0.942067300811,279.655786954,279.434518215,2.84099098516,1,1
usb000sa0z,2014-09-06 19:22:59.040000,18.8660941061,-107.454070253,6.2,us70003tn5,2019-05-31 11:57:24.661000,18.758255335,-107.145465577,5.8,34.6507839821,34.42377149,25.7557456052,110.100515757,109.96910382,65.9101752156,1,1
usc000r9g2,2014-05-31 11:53:46.470000,18.8825812993,-107.541935032,6.2,us70003tn5,2019-05-31 11:57:24.661000,18.758255335,-107.145465577,5.8,43.9972180279,42.9945672299,1.01246267131,108.163065937,107.570647982,1.21214593595,1,1
usp000hjp2,2010-08-24 02:11:59.090000,18.85870758,-107.462355403,6.2,us70003tn5,2019-05-31 11:57:24.661000,18.758255335,-107.145465577,5.8,35.2059148814,33.3340876578,28.5470495156,108.359713276,107.918433336,70.4067564038,1,1
usp000edn5,2006-04-04 02:30:28.390000,18.7503449814,-107.12712528,6.0,us70003tn5,2019-05-31 11:57:24.661000,18.758255335,-107.145465577,5.8,2.12288492662,1.74429851222,2.59621331151,294.36197191,295.052621538,56.472094295,1,1
usp000du0j,2005-06-27 11:35:45.600000,18.8494207022,-107.399829558,6.2,us70003tn5,2019-05-31 11:57:24.661000,18.758255335,-107.145465577,5.8,28.6496957111,28.6485831358,5.66041669236,110.582287971,109.132653981,17.8463934395,1,1
usp000c5xu,2003-08-25 23:24:59.130000,18.6953895722,-106.803247041,5.8,us70003tn5,2019-05-31 11:57:24.661000,18.758255335,-107.145465577,5.8,36.7559577445,37.2382051125,10.1830309665,280.967844503,281.781536389,16.428175676,1,1
usp000c2rt,2003-07-17 19:57:13.770000,18.8258634081,-107.372063108,6.0,us70003tn5,2019-05-31 11:57:24.661000,18.758255335,-107.145465577,5.8,25.0331362484,24.2168502705,20.9955910624,107.35767684,103.564409315,64.1756639098,1,1
usp00078z4,1995-12-14 10:55:39.770000,18.7540850242,-107.132888415,5.8,us70003tn5,2019-05-31 11:57:24.661000,18.758255335,-107.145465577,5.8,1.40423152916,1.58223258036,10.0061927048,289.193525455,276.246259903,58.8184971203,1,1
us2000czig,2018-02-09 14:05:48.330000,18.7629964079,-105.311781069,5.8,us2000frwr,2018-06-30 03:56:49.410000,19.0265117749,-105.341093014,5.9,29.3317599167,91.0941293626,63.4882738134,353.961046968,247.578513644,70.6483742583,1,1
us200062i1,2016-06-07 10:51:37.720000,18.2256456689,-105.434644259,6.3,us2000frwr,2018-06-30 03:56:49.410000,19.0265117749,-105.341093014,5.9,89.1939773892,83.5837348095,8.86165430015,6.3396286129,12.1346837929,5.66776646165,1,1
usp000bxhk,2003-05-19 16:27:10.200000,17.7913278331,-105.519448087,6.1,us2000frwr,2018-06-30 03:56:49.410000,19.0265117749,-105.341093014,5.9,138.009075903,61.3578034266,36.1245072318,7.82005125416,346.075215209,37.2228434734,1,1
usp00078u8,1995-12-11 19:44:09.210000,18.6446348505,-105.748458159,6.1,us2000frwr,2018-06-30 03:56:49.410000,19.0265117749,-105.341093014,5.9,60.2502504543,58.6793890089,10.1757752166,45.3810791291,44.5721402669,11.5754574186,1,1
usp000bxhk,2003-05-19 16:27:10.200000,17.7913278331,-105.519448087,6.1,us200062i1,2016-06-07 10:51:37.720000,18.2256456689,-105.434644259,6.3,48.9022166896,78.281209069,18.5212305956,10.5691436639,12.255215576,17.9844068256,1,1
