id,time,lat,lon,mag,group
usp0006yd5,1995-05-31 16:08:40.250000,18.8951989936,-107.582499817,6.4,1
usp00078tr,1995-12-11 14:09:23.790000,18.6948896031,-105.778167029,6.4,1
usp00078u5,1995-12-11 19:11:39.680000,18.6221248057,-105.728913903,5.8,1
usp00078u8,1995-12-11 19:44:09.210000,18.6406450716,-105.744310213,6.1,1
usp00078z4,1995-12-14 10:55:39.770000,18.76070923,-107.129380846,5.8,1
usp00081jx,1997-05-01 11:37:36.150000,18.8165777955,-107.247901162,6.9,1
usp0009hxp,1999-11-21 06:46:19.240000,18.8474659361,-107.457578496,6.2,1
usp000ae6h,2001-04-29 21:26:54.540000,18.4133922257,-105.536936271,6.2,1
usp000bxhk,2003-05-19 16:27:10.200000,17.5862981594,-105.554592691,6.1,1
usp000c2rt,2003-07-17 19:57:13.770000,18.8214560995,-107.371248229,6.0,1
usp000c5xu,2003-08-25 23:24:59.130000,18.6987720638,-106.809893836,5.8,1
usp000du0j,2005-06-27 11:35:45.600000,18.8475255673,-107.392556319,6.2,1
usp000edn5,2006-04-04 02:30:28.390000,18.7559217656,-107.121988883,6.0,1
usp000ghm1,2008-09-24 02:33:05.560000,17.6456989134,-105.583783179,6.4,1
usp000h1tv,2009-09-24 07:16:20.260000,18.9002571589,-107.551547906,6.4,1
usp000hjp2,2010-08-24 02:11:59.090000,18.8482756629,-107.458645025,6.2,1
usc000r9g2,2014-05-31 11:53:46.470000,18.8805796999,-107.535063338,6.2,1
usb000sa0z,2014-09-06 19:22:59.040000,18.8598300963,-107.439098722,6.2,1
usc000tsak,2015-02-22 14:23:12.720000,18.726776276,-106.942510659,6.2,1
us10004g4l,2016-01-21 18:06:57.650000,18.8064517668,-107.238680036,6.6,1
us20005zv0,2016-06-02 02:23:05.910000,17.9663143995,-105.999767108,5.8,1
us200062i1,2016-06-07 10:51:37.720000,18.2146302749,-105.441098713,6.3,1
us2000czig,2018-02-09 14:05:48.330000,19.2686311301,-104.475465895,5.8,1
us2000frwr,2018-06-30 03:56:49.410000,18.953071512,-105.27498312,5.9,1
us70003tn5,2019-05-31 11:57:24.661000,18.7626783886,-107.144262182,5.8,1
