net,sta,lat,lon,dep,azi,dist
IU,ANMO,34.94591,-106.4572,1820.0,2.8260902844,1769.37295596
IU,KBS,78.9154,11.9385,90.0,9.94255185408,8534.7488622
IM,TX06,29.319,-103.681999,939.5,17.557717263,1203.53413155
IU,SFJD,66.9961,-50.62076,330.0,22.2854765985,6658.29387728
G,IVI,61.205808,-48.171178,15.0,29.0313988523,6539.19029065
IU,CCM,38.0557,-91.2446,222.0,33.1988242658,2629.34093729
IU,HKT,29.96478,-95.83812,69.0,41.7064464781,1685.5618593
IU,SSPA,40.6358,-77.8876,270.0,43.1467324473,3694.74666012
G,EVO,38.532001,-8.013,0.0,50.7772314709,9498.3981017
II,CMLA,37.7637,-25.5243,429.0,55.3137274227,8044.98161769
IU,DWPF,28.1103,-81.4327,30.0,64.2316015308,2829.16553608
IU,KOWA,14.4967,-4.014,321.0,71.7441989953,10855.4976384
II,SACV,14.9702,-23.6085,387.0,77.6177135987,8847.96857432
IU,TEIG,20.2263,-88.2763,40.0,82.9282422463,2009.56080611
CU,MTDJ,18.22605,-77.53454,925.0,86.6552581891,3149.20013589
CU,GRGR,12.1324,-61.654,195.0,91.8577338282,4951.83874306
CU,TGUH,14.057,-87.273,1151.0,101.244623113,2215.37666003
CU,BCIP,9.1665,-79.8373,61.0,106.266747834,3163.52118222
II,JTS,10.2908,-84.9525,340.0,108.573424961,2599.56955287
IU,OTAV,0.2376,-78.4508,3510.0,119.963259509,3781.54445451
G,SPB,-23.592691,-47.426979,647.0,123.455612249,8036.7840805
IU,PAYG,-0.6742,-90.2861,270.0,137.417302294,2869.81352985
IU,LCO,-29.011,-70.7005,2274.0,142.560531238,6616.09310405
G,PEL,-33.143607,-70.67494,700.0,145.591316418,6966.96947524
G,COYC,-45.57299,-72.08139,235.0,154.705326297,7991.57314828
IU,PMSA,-64.7744,-64.0489,40.0,162.913207801,9993.97298018
G,PAF,-49.351,70.210708,17.0,176.947966331,16630.2320808
II,RPN,-27.1267,-109.3344,110.0,182.401679573,5107.60667088
G,AIS,-37.796349,77.569183,35.9,191.751859201,17866.7658644
IU,SBA,-77.8492,166.7572,50.0,192.768968114,11958.0970117
IU,PTCN,-25.0713,-130.0953,220.0,207.598150721,5460.56824232
AU,MCQ,-54.4986,158.9561,14.0,217.511928693,11938.2868459
IU,SNZO,-41.3087,174.7043,120.0,227.545232747,10418.2643617
G,TAOE,-8.85492,-140.14775,800.0,232.284620187,4733.72693362
IU,RAR,-21.2125,-159.7733,28.0,234.639994729,7235.0299375
IU,NWAO,-32.9277,117.239,380.0,241.556473347,15337.5135512
IU,AFI,-13.9085,-171.7827,706.0,247.578240345,7940.71469674
IU,XMAS,2.0448,-157.4457,20.0,257.23377032,5763.06028963
IU,KNTN,-2.7744,-171.7186,20.0,258.401768441,7434.74094155
IU,TARA,1.3549,172.9229,20.0,267.995816299,8881.60520284
IU,POHA,19.7573,-155.5326,1990.0,279.325372469,5039.59811053
IU,WAKE,19.2834,166.652,20.0,287.16797475,8928.47990563
H2,H2O,27.88191,-141.99173,-4947.0,292.165000575,3655.30348433
MS,BTDF,1.3617,103.775002,57.0,300.483840361,15940.4208704
G,INU,35.35,137.029,132.0,311.977237653,10948.6703678
II,ERM,42.015,143.1572,40.0,315.499813466,10125.0719439
IU,ADK,51.8823,-176.6842,130.0,319.2735474,6950.554524
TS,PAS,34.14844,-118.17117,314.0,329.692606703,1989.04066381
II,PFO,33.6107,-116.4555,1280.0,332.722684082,1852.08119631
IM,NV32,38.334301,-118.2995,1829.0,336.046644054,2388.71464897
IU,TUC,32.3098,-110.7847,910.0,347.72751421,1512.90290595
II,NVS,54.8404,83.2346,150.0,353.668139098,11760.79285
IM,PD11,42.752602,-109.576897,2182.0,356.019059495,2641.53692993
