id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us60008d2b,2020-03-10 07:20:58.662000,-0.623299401774,-20.8589398717,5.37,us70008e74,2020-03-22 20:43:08.126000,-0.705507934768,-21.1771390474,5.6,36.5672673673,31.9447511832,19.2120032998,255.604256646,235.657414336,42.2839529657,1,1
usc000tab8,2014-12-27 22:31:18.340000,-0.645747720645,-20.8365938438,5.613,us70008e74,2020-03-22 20:43:08.126000,-0.705507934768,-21.1771390474,5.6,38.478342645,34.6245146876,31.0925875777,260.109502107,259.870542082,79.6055237255,1,1
usp000dk6u,2005-03-28 00:01:30.510000,-0.384302946282,-21.0469715818,5.2,us70008e74,2020-03-22 20:43:08.126000,-0.705507934768,-21.1771390474,5.6,38.3589113033,32.8408327646,21.1460832051,202.19290022,155.545963964,40.8797128039,1,1
usp000b61s,2002-06-12 19:52:47.360000,-0.520771175989,-20.8776994361,5.6,us70008e74,2020-03-22 20:43:08.126000,-0.705507934768,-21.1771390474,5.6,39.0929826457,43.4144070073,38.4502761545,238.496536461,237.075349733,72.5720731699,1,1
usp0008emz,1998-01-19 12:30:06.160000,-0.669574708582,-20.3139468719,5.7,us70008e74,2020-03-22 20:43:08.126000,-0.705507934768,-21.1771390474,5.6,96.1653578773,101.012796804,13.6487136923,267.626883128,269.570986814,11.7353762384,1,1
us2000d51n,2018-02-20 00:53:04.240000,-0.419404854003,-20.0882457427,5.3,us60008d2b,2020-03-10 07:20:58.662000,-0.623299401774,-20.8589398717,5.37,88.7027257467,58.5976322541,44.2961000153,255.272353483,221.061329376,59.8184770183,1,1
us10004a4l,2015-12-28 19:24:15.480000,-0.491106296257,-20.5425647181,5.451,us60008d2b,2020-03-10 07:20:58.662000,-0.623299401774,-20.8589398717,5.37,38.1300790203,2.86049632222,34.8591772575,247.457169857,202.476740777,71.8505995442,1,1
usc000tab8,2014-12-27 22:31:18.340000,-0.645747720645,-20.8365938438,5.613,us60008d2b,2020-03-10 07:20:58.662000,-0.623299401774,-20.8589398717,5.37,3.51404442393,3.51358983871,15.3041534154,314.940070443,314.935766034,55.4037800308,1,1
usp000hnqm,2010-10-28 21:41:14.050000,-0.468081970788,-20.5123341384,5.1,us60008d2b,2020-03-10 07:20:58.662000,-0.623299401774,-20.8589398717,5.37,42.2274672548,34.5010257732,28.5827665205,246.016824868,225.231554509,60.8308427646,1,1
usp000dk6u,2005-03-28 00:01:30.510000,-0.384302946282,-21.0469715818,5.2,us60008d2b,2020-03-10 07:20:58.662000,-0.623299401774,-20.8589398717,5.37,33.7116803449,17.5088447469,27.953862815,141.620623788,297.571195432,69.1756629935,1,1
us70006v42,2020-01-06 01:29:20.741000,0.00761503305912,-18.0211181884,5.6,us700070uj,2020-01-16 09:58:19.100000,-0.0159769557085,-17.9954318684,5.6,3.87056117517,6.65742625814,3.62814283119,132.374715947,211.100188286,39.9264498482,1,1
us70004hcq,2019-07-10 21:43:48.887000,0.138106766339,-18.3898050878,5.2,us700070uj,2020-01-16 09:58:19.100000,-0.0159769557085,-17.9954318684,5.6,47.0915594143,43.8786335742,17.213312957,111.210443819,133.550645091,39.5456056709,1,1
