id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
usp0004a8b,1990-06-07 23:40:25.310000,-1.211,-24.419,5.6,2721.40348687,usp0005bf0,1992-07-25 09:12:19.150000,0.461,-25.105,5.6,2795.1103262,0.0,73.70683933
usp0004a8b,1990-06-07 23:40:25.310000,-1.211,-24.419,5.6,2721.40348687,usp0005mmr,1993-02-04 18:04:28.010000,-1.286,-24.277,5.5,2706.01390265,0.1,15.38958422
usp0004a8b,1990-06-07 23:40:25.310000,-1.211,-24.419,5.6,2721.40348687,usp000707h,1995-07-06 08:07:05.030000,-1.44,-24.053,5.2,2682.01503745,0.4,39.38844942
usp0004a8b,1990-06-07 23:40:25.310000,-1.211,-24.419,5.6,2721.40348687,usp000a2gd,2000-10-27 09:10:05.130000,-1.595,-24.576,5.8,2741.11206328,0.2,19.70857641
usp0004a8b,1990-06-07 23:40:25.310000,-1.211,-24.419,5.6,2721.40348687,usp000azvc,2002-03-07 07:10:13.500000,-1.319,-24.481,5.6,2728.87064419,0.0,7.46715732
usp0004a8b,1990-06-07 23:40:25.310000,-1.211,-24.419,5.6,2721.40348687,usp000djqt,2005-03-21 16:14:38.530000,-1.056,-24.585,5.4,2739.12379356,0.2,17.72030669
usp0004a8b,1990-06-07 23:40:25.310000,-1.211,-24.419,5.6,2721.40348687,usc000lxr3,2014-01-06 16:02:11.340000,-1.1161,-23.5957,5.451,2629.39219272,0.149,92.01129415
usp0004a8b,1990-06-07 23:40:25.310000,-1.211,-24.419,5.6,2721.40348687,usc000pgxb,2014-04-11 21:22:30.780000,-1.1769,-24.349,5.37,2713.4489922,0.23,7.95449467
usp0004bu4,1990-07-14 05:54:25.490000,0.003,-17.376,6.6,1934.28749959,usp0008j6u,1998-03-29 07:14:58.980000,-0.239,-17.932,6.1,1996.35024734,0.5,62.06274775
usp0004bu4,1990-07-14 05:54:25.490000,0.003,-17.376,6.6,1934.28749959,usp000fhjf,2007-07-31 22:55:31.120000,-0.162,-17.795,6.2,1981.0086897,0.4,46.72119011
usp0004bu4,1990-07-14 05:54:25.490000,0.003,-17.376,6.6,1934.28749959,usp000gfuy,2008-08-28 15:22:23.200000,-0.252,-17.358,6.3,1932.47839799,0.3,1.8091016
usp0004bu4,1990-07-14 05:54:25.490000,0.003,-17.376,6.6,1934.28749959,us20006uy6,2016-08-29 04:29:57.860000,-0.0456,-17.8255,7.1,1984.3317798,0.5,50.04428021
usp0004bu7,1990-07-14 07:24:39.680000,-0.074,-17.523,5.7,1950.66805678,usp0004gw8,1990-11-13 20:13:29.380000,-0.062,-16.671,5.37,1855.81953193,0.33,94.84852485
usp0004bu7,1990-07-14 07:24:39.680000,-0.074,-17.523,5.7,1950.66805678,usp0005ga2,1992-11-04 20:31:04.050000,-0.59,-17.466,5.37,1945.36609612,0.33,5.30196066
usp0004bu7,1990-07-14 07:24:39.680000,-0.074,-17.523,5.7,1950.66805678,usp0005kdm,1993-01-07 07:42:26.330000,0.136,-16.972,5.7,1889.37247243,0.0,61.29558435
usp0004bu7,1990-07-14 07:24:39.680000,-0.074,-17.523,5.7,1950.66805678,usp0005urj,1993-06-17 22:37:58.910000,-0.097,-16.614,5.613,1849.49223838,0.087,101.1758184
