time,mag,magType,lat,lon,dep,text,id
1952-07-06 06:10:48,5.6,mw,-0.008,-16.685,15000.0,north of Ascension Island,iscgem893113
1953-02-19 15:17:45,6.4,mw,-0.147,-17.987,15000.0,north of Ascension Island,iscgem891504
1953-08-14 22:23:59,5.9,mw,-0.792,-20.188,15000.0,central Mid-Atlantic Ridge,iscgem891920
1954-04-30 23:04:34,6.5,mw,-0.242,-18.669,15000.0,central Mid-Atlantic Ridge,iscgem890586
1954-06-20 22:07:57,5.7,mw,0.09,-17.84,15000.0,north of Ascension Island,iscgem890775
1954-08-06 16:19:50,5.9,mw,-1.297,-23.507,15000.0,central Mid-Atlantic Ridge,iscgem890935
1956-09-20 23:03:09,6.0,mw,-1.291,-24.021,15000.0,central Mid-Atlantic Ridge,iscgem888712
1958-09-03 03:44:27,6.2,mw,-0.068,-17.816,15000.0,north of Ascension Island,iscgem885091
1959-06-07 13:39:42,5.8,mw,-0.119,-17.711,15000.0,north of Ascension Island,iscgem882194
1959-09-04 18:26:44,5.8,mw,-1.329,-23.849,15000.0,central Mid-Atlantic Ridge,iscgem882814
1961-02-18 17:02:10,5.6,mw,-1.518,-15.902,10000.0,north of Ascension Island,iscgem876144
1961-05-06 19:38:07,5.8,mw,-1.518,-15.362,15000.0,north of Ascension Island,iscgem876528
1962-02-04 21:29:36,6.0,mw,-0.68,-20.152,15000.0,central Mid-Atlantic Ridge,iscgem874198
1962-03-26 12:04:56,5.8,mw,-0.503,-19.609,15000.0,central Mid-Atlantic Ridge,iscgem874425
1963-07-08 11:05:04,5.6,mw,-0.062,-17.929,15000.0,north of Ascension Island,iscgem872683
1964-01-27 01:12:21,5.6,mw,-0.058,-17.863,10000.0,north of Ascension Island,iscgem871534
1964-09-28 05:04:54,5.6,mw,-1.38,-24.048,20000.0,central Mid-Atlantic Ridge,iscgem864726
1965-08-16 12:36:22,6.2,mw,-0.53,-19.951,15000.0,central Mid-Atlantic Ridge,iscgem854661
1965-11-15 11:18:50,6.1,mw,-0.224,-18.645,10000.0,central Mid-Atlantic Ridge,iscgem852463
1966-10-19 08:01:34,7.0,mw,-1.571,-15.611,15000.0,north of Ascension Island,iscgem842636
1967-01-24 09:29:11,6.5,mw,-0.922,-21.081,10000.0,central Mid-Atlantic Ridge,iscgem840094
1970-12-25 12:53:36,5.9,mw,-0.394,-19.24,15000.0,central Mid-Atlantic Ridge,iscgem789478
1971-08-05 01:58:53,6.9,mw,-0.773,-22.082,20000.0,central Mid-Atlantic Ridge,iscgem780929
1973-07-29 01:14:17.300000,5.2,mb,-1.097,-24.679,33000.0,central Mid-Atlantic Ridge,usp00002wu
1973-08-28 15:01:59.100000,6.8,ms,-0.189,-18.027,33000.0,central Mid-Atlantic Ridge,usp000038s
1973-11-15 06:05:57.400000,5.2,mb,-1.361,-15.935,33000.0,north of Ascension Island,usp000045m
1973-11-15 15:06:35.500000,5.5,mb,-1.374,-15.791,33000.0,north of Ascension Island,usp000045r
1974-01-06 14:32:39.900000,5.3,mb,-1.503,-15.525,33000.0,north of Ascension Island,usp00004ua
1974-03-23 21:40:34.800000,5.3,ms,0.345,-24.667,33000.0,central Mid-Atlantic Ridge,usp00005qm
1974-08-12 14:17:05.100000,5.0,mb,-0.021,-16.463,33000.0,north of Ascension Island,usp00007k8
1974-10-23 11:46:56,5.1,ms,-1.008,-15.968,33000.0,north of Ascension Island,usp00008hv
1975-01-07 08:31:14.700000,5.0,mb,-0.871,-15.952,33000.0,north of Ascension Island,usp00009e0
1975-10-13 11:57:40.200000,5.0,mb,-0.916,-22.052,33000.0,central Mid-Atlantic Ridge,usp0000d4j
1976-08-16 02:27:38.600000,5.2,mb,-0.778,-16.046,25000.0,north of Ascension Island,usp0000hv2
1977-01-31 02:16:57.300000,5.0,mb,-1.249,-23.528,33000.0,central Mid-Atlantic Ridge,usp0000mdy
