time,mag,magType,lat,lon,dep,text,id
1952-10-01 08:53:52,6.1,mw,-47.631,100.07,15000.0,southeast Indian Ridge,iscgem893483
1957-09-09 00:13:34,6.3,mw,-47.792,99.925,15000.0,southeast Indian Ridge,iscgem887168
1973-06-01 07:22:57,6.3,ms,-47.796,99.661,33000.0,southeast Indian Ridge,usp0000200
1975-04-10 15:36:07.800000,5.5,ms,-47.516,99.81,33000.0,southeast Indian Ridge,usp0000ajq
1976-04-25 22:21:41.100000,5.8,ms,-47.572,99.919,33000.0,southeast Indian Ridge,usp0000g1x
1976-04-25 23:02:24.900000,5.2,mb,-47.6,100.161,33000.0,southeast Indian Ridge,usp0000g1z
1977-05-23 17:07:42.400000,5.0,mb,-47.866,99.423,33000.0,southeast Indian Ridge,usp0000p08
1979-02-13 16:14:25.700000,5.2,mb,-47.344,99.881,10000.0,southeast Indian Ridge,usp0000yuc
1981-03-21 12:27:38.130000,5.8,ms,-47.993,99.606,10000.0,southeast Indian Ridge,usp0001ctd
1982-02-14 05:16:57.650000,5.7,ms,-47.376,100.073,10000.0,southeast Indian Ridge,usp0001jmz
1986-04-30 17:47:52.640000,5.7,mw,-47.237,100.101,10000.0,southeast Indian Ridge,usp0002tcp
1987-08-21 21:38:56.650000,5.4,mw,-47.649,99.86,10000.0,southeast Indian Ridge,usp00037q5
1988-11-20 09:11:09.770000,6.1,mw,-47.766,99.723,10000.0,southeast Indian Ridge,usp0003p0g
1988-11-25 08:35:41.760000,6.3,mw,-47.897,99.455,10000.0,southeast Indian Ridge,usp0003p66
1989-06-16 22:39:20.480000,5.3,mb,-47.448,100.08,10000.0,southeast Indian Ridge,usp0003wbd
1989-06-16 22:51:08.940000,5.4,ms,-47.492,100.156,10000.0,southeast Indian Ridge,usp0003wbe
1994-07-28 08:03:01.850000,5.8,mw,-47.278,100.224,10000.0,southeast Indian Ridge,usp0006g7g
1994-12-30 13:07:31.830000,5.4,ms,-47.366,100.219,10000.0,southeast Indian Ridge,usp0006qmw
1995-08-29 07:25:49.250000,6.4,mw,-47.937,99.467,10000.0,southeast Indian Ridge,usp00072mc
1997-02-26 18:25:42.220000,5.1,mb,-47.564,100.196,10000.0,southeast Indian Ridge,usp0007xv3
1997-02-26 18:27:10.660000,6.1,mwb,-47.497,100.282,10000.0,southeast Indian Ridge,usp0007xv4
2001-08-29 22:47:24.040000,5.6,mwc,-47.426,100.017,10000.0,southeast Indian Ridge,usp000an99
2002-06-13 01:27:19.470000,6.6,mwc,-47.801,99.751,10000.0,southeast Indian Ridge,usp000b628
2004-04-17 19:21:47.200000,5.4,mwc,-47.601,100.185,10000.0,southeast Indian Ridge,usp000cst4
2005-04-09 02:08:28.270000,5.8,mwb,-47.255,100.337,10000.0,southeast Indian Ridge,usp000dmpd
2006-04-16 12:08:17.990000,5.4,mwc,-47.497,100.307,10000.0,southeast Indian Ridge,usp000eepb
2009-03-23 00:14:14.200000,5.1,mwc,-47.515,99.968,10000.0,southeast Indian Ridge,usp000gvas
2009-06-06 15:37:37.570000,5.4,mwc,-47.876,99.669,10000.0,southeast Indian Ridge,usp000gxxr
2009-12-22 07:57:24.820000,5.4,mwb,-47.55,100.343,10000.0,southeast Indian Ridge,usp000h58t
2010-02-05 06:59:05.500000,6.2,mwc,-47.911,99.593,1000.0,Southeast Indian Ridge,usp000h6z1
2010-10-03 04:30:15.490000,5.5,mwc,-47.287,100.249,10000.0,southeast Indian Ridge,usp000hmh9
2011-10-29 21:01:52.110000,5.3,mwc,-47.5,100.115,10000.0,southeast Indian Ridge,usp000ja38
2011-10-30 07:34:33.590000,5.0,mwc,-47.38,100.011,10000.0,southeast Indian Ridge,usp000ja4g
2014-05-11 12:34:58.180000,5.2,mb,-47.7771,99.6741,10000.0,Southeast Indian Ridge,usb000qhn7
2014-05-11 12:35:17.470000,5.8,mww,-47.8539,99.689,10000.0,Southeast Indian Ridge,usb000qhnh
2015-05-29 08:40:13.230000,5.9,mwc,-47.3578,99.9237,10000.0,Southeast Indian Ridge,us20002ka2
2017-08-06 19:32:06.270000,5.6,mww,-47.2884,99.8671,10000.0,Southeast Indian Ridge,us2000a5dp
2018-07-21 20:56:19.940000,5.9,mww,-48.2253,99.6446,10000.0,Southeast Indian Ridge,us2000gaxd
2019-06-25 06:01:51.009000,5.9,mww,-47.8719,99.4532,10000.0,Southeast Indian Ridge,us600045lr
