net,sta,lat,lon,dep,azi,dist
HK,HKPS,22.277599,114.141502,196.3,0.0404806727255,8005.38770532
IU,NWAO,-32.9277,117.239,380.0,8.95524943203,1913.71644541
IU,DAV,7.0697,125.5791,151.0,13.5283896461,6419.66965229
G,INU,35.35,137.029,132.0,18.6145376349,9720.53153338
IU,PET,53.0233,158.6499,110.0,26.7125200927,12160.96625
II,WRAB,-19.9336,134.36,366.0,35.5996961454,3787.0949773
IU,ADK,51.8823,-176.6842,130.0,40.7164025658,13039.5016271
IU,PMG,-9.4047,147.1597,90.0,45.6549152475,5435.89617842
IU,CTAO,-20.08765,146.24998,367.0,52.2725454256,4364.61121544
IU,HNR,-9.4387,159.9475,100.0,59.3939463517,6160.27769469
IU,TARA,1.3549,172.9229,20.0,64.450042343,7961.50032583
G,SANVU,-15.447148,167.203232,56.0,70.684880549,6098.29346901
G,CAN,-35.318714,148.996323,700.0,73.2753585175,3250.93437174
II,MSVF,-17.7448,178.0528,801.1,81.8399947622,6660.22994631
II,TAU,-42.9099,147.3204,132.0,85.5295104021,2646.1540291
IU,RAO,-29.245,-177.929,60.0,94.5558938499,6040.7922656
IU,RAR,-21.2125,-159.7733,28.0,101.304530874,7959.9971271
IU,SNZO,-41.3087,174.7043,120.0,102.269549889,4687.23001644
IU,SLBS,23.6858,-109.9443,825.0,111.381684516,15226.5291897
AU,MCQ,-54.4986,158.9561,14.0,116.894154593,3050.30053355
IU,PTCN,-25.0713,-130.0953,220.0,125.236210211,9572.00469188
G,UNM,19.329662,-99.178062,2280.0,127.352622601,15513.4416851
IU,SSPA,40.6358,-77.8876,270.0,134.26700792,18612.2608505
II,RPN,-27.1267,-109.3344,110.0,142.236678936,10450.264819
IU,PAYG,-0.6742,-90.2861,270.0,149.776958274,13929.9416602
G,DRV,-66.664909,140.002075,40.0,151.343032109,2361.21060885
CU,BCIP,9.1665,-79.8373,61.0,159.491723515,15298.1443576
GT,VNDA,-77.517273,161.852753,121.1,162.75431685,3648.07743642
IU,BOCO,4.5869,-74.0432,3160.0,168.729471158,14912.8942665
G,CCD,-75.1065,123.305,3240.0,174.487257028,2829.91494964
IU,CASY,-66.2792,110.5354,10.0,185.099422576,1824.52180169
IU,PTGA,-0.7308,-59.9666,237.0,187.608024453,14354.0414235
II,HOPE,-54.2836,-36.4879,20.0,197.455843084,8124.55936742
G,CAY,4.948,-52.317001,25.0,198.722882257,14851.3303578
IU,RCBR,-5.8274,-35.9014,400.0,214.328123265,13179.9937042
G,TRIS,-37.0681,-12.3152,60.0,220.518247287,9024.1367895
II,SHEL,-15.9594,-5.7455,537.0,236.815532791,10640.9709567
II,SUR,-32.3797,20.8117,1770.0,245.605434369,7547.44485683
G,CRZF,-46.43096,51.855308,140.0,250.161680662,4507.4320992
G,PAF,-49.351,70.210708,17.0,254.164270124,3122.61450015
IU,LSZ,-15.2779,28.1882,1200.0,262.973509631,8432.71292468
G,FOMA,-24.97565,46.978877,28.0,269.808419957,6306.94924538
II,ABPO,-19.018,47.229,1528.0,274.82052726,6763.98562505
G,AIS,-37.796349,77.569183,35.9,281.045880576,3191.7503002
IU,FURI,8.8952,38.6798,2570.0,286.705187754,9736.02030207
G,ROCAM,-19.75553,63.37014,52.0,288.04711512,5570.74438275
II,BFO,48.3301,8.3296,638.0,297.952705305,14828.6928255
II,RAYN,23.5225,45.5032,631.0,300.831557517,10567.9283703
II,DGAR,-7.4121,72.4525,1.0,306.199352398,6097.11140136
II,KIV,43.9553,42.6863,1054.0,312.203054286,12495.1548358
II,PALK,7.2728,80.7022,460.0,322.538484628,7119.47509405
G,HYB,17.41867,78.55213,510.0,324.703447121,8243.76319351
II,COCO,-12.1901,96.8349,1.0,333.311124563,4480.61315725
IC,LSA,29.7031,91.127,3660.0,339.916543853,9115.71158792
MS,BTDF,1.3617,103.775002,57.0,346.829187364,5776.42811825
IC,KMI,25.1233,102.74,1975.0,349.357074717,8396.13583551
IC,QIZ,19.0291,109.8445,240.0,355.677211461,7657.24418573
