id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us10008v94,2017-05-25 06:33:58.920000,-49.441164411,121.357331402,5.37,usp000eeq4,2006-04-16 20:05:52.480000,-49.1969913024,121.506607152,5.3,29.2442788651,29.3472498213,3.39293257182,21.8406771765,24.6183563546,6.09297289665,1,1
us10008v94,2017-05-25 06:33:58.920000,-49.441164411,121.357331402,5.37,usp000cb9y,2003-10-26 02:04:05.150000,-49.1591029988,121.435796002,5.1,31.8844816234,40.6912312145,21.416644907,10.3403515683,13.5383596063,22.5765310049,1,1
us10008v94,2017-05-25 06:33:58.920000,-49.441164411,121.357331402,5.37,us10007rq8,2016-12-22 23:23:37.800000,-49.1198214183,121.420658343,5.37,36.0340166043,23.1337155181,23.5018951823,7.37053244699,354.164413595,52.2298001121,1,1
us10007rq8,2016-12-22 23:23:37.800000,-49.1198214183,121.420658343,5.37,usp000hmxm,2010-10-10 04:47:41.730000,-49.1339505329,121.419454291,5.0,1.57378529242,0.435901021023,0.89921201217,183.200549805,185.924021761,51.9253849109,1,1
us10007rq8,2016-12-22 23:23:37.800000,-49.1198214183,121.420658343,5.37,usp000eeq4,2006-04-16 20:05:52.480000,-49.1969913024,121.506607152,5.3,10.6281043438,12.1901764968,33.6756835112,143.885658551,175.080860204,54.6477746771,1,1
us10007rq8,2016-12-22 23:23:37.800000,-49.1198214183,121.420658343,5.37,usp000cb9y,2003-10-26 02:04:05.150000,-49.1591029988,121.435796002,5.1,4.50607459639,5.84466424118,1.91086290941,165.816472387,167.753786749,27.7210714206,1,1
us10008v94,2017-05-25 06:33:58.920000,-49.441164411,121.357331402,5.37,us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,34.8051575578,100.478330309,24.2399578022,5.70974231863,353.03823687,14.600403616,1,1
us10007rq8,2016-12-22 23:23:37.800000,-49.1198214183,121.420658343,5.37,us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,1.6011767812,1.69045444747,0.582388403725,226.371901537,226.368107269,20.4369693974,1,1
us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,usc000rn4l,2014-06-27 20:10:16.710000,-49.1508221447,121.479268702,5.37,5.91880711967,8.29028784075,7.75138981788,113.347733438,113.572753834,81.0291366401,1,1
us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,usp000hsdu,2011-01-01 18:37:44.930000,-49.1966910188,121.506908476,5.0,10.5308463285,0.850846799835,22.236022585,135.021697928,71.5559979075,63.3591257408,1,1
us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,usp000hmxm,2010-10-10 04:47:41.730000,-49.1339505329,121.419454291,5.0,1.16832110826,2.43246410444,1.37305267874,113.549034099,123.047892294,45.1186103229,1,1
us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,usp000h1ay,2009-09-08 01:38:30.410000,-49.2085236022,121.488732748,5.1,10.6875309788,0.576353374405,23.2404964015,145.082863691,189.217803761,61.4613894964,1,1
us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,usp000fv62,2007-12-24 22:41:02.830000,-49.133940155,121.419455273,5.1,1.16792641313,0.972548843633,0.988358741437,113.495720958,113.545091826,78.085475461,1,1
us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,usp000evu8,2006-10-23 03:19:26.240000,-49.1231314968,121.386021257,5.1,1.55452971956,1.30666741156,1.01301796119,298.273859511,298.270968929,46.7802786232,1,1
us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,usp000eeq4,2006-04-16 20:05:52.480000,-49.1969913024,121.506607152,5.3,10.5389663929,32.6943709857,36.5106956636,135.234545956,154.660807682,43.0620749189,1,1
us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,usp000ea1m,2006-02-14 00:21:41.540000,-49.4377982083,121.355157038,5.2,34.4488710115,19.8529227294,27.9336019872,185.996723982,214.628311473,51.5022069825,1,1
us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,usp000cb9y,2003-10-26 02:04:05.150000,-49.1591029988,121.435796002,5.1,3.97176721385,1.55072941465,3.07580031022,145.275906657,134.388324845,57.1844474348,1,1
us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,usp000aq4b,2001-10-02 10:42:16.480000,-49.1473508607,121.400171554,5.4,1.98561760493,3.56429292183,9.35786069565,189.743831379,189.74985654,59.8698870797,1,1
us10002m1x,2015-06-27 07:28:53.560000,-49.1297542343,121.404777811,5.4,usp000aahy,2001-02-28 01:48:36.820000,-49.437799837,121.355158901,5.2,34.4490369408,52.880926855,31.341289132,185.996468763,182.272227417,41.7593105105,1,1
us10008v94,2017-05-25 06:33:58.920000,-49.441164411,121.357331402,5.37,usc000rn4l,2014-06-27 20:10:16.710000,-49.1508221447,121.479268702,5.37,33.4864857134,24.3954672659,16.3673274778,15.4051335187,27.772218199,27.0806196085,1,1
us10007rq8,2016-12-22 23:23:37.800000,-49.1198214183,121.420658343,5.37,usc000rn4l,2014-06-27 20:10:16.710000,-49.1508221447,121.479268702,5.37,5.49354781508,1.54871807802,4.33275910428,128.894271551,136.304321803,60.4682552875,1,1
usc000rn4l,2014-06-27 20:10:16.710000,-49.1508221447,121.479268702,5.37,usp000hsdu,2011-01-01 18:37:44.930000,-49.1966910188,121.506908476,5.0,5.48491649866,5.92096587187,12.7811611393,158.452303519,193.346163575,47.5755394123,1,1
usc000rn4l,2014-06-27 20:10:16.710000,-49.1508221447,121.479268702,5.37,usp000hmxm,2010-10-10 04:47:41.730000,-49.1339505329,121.419454291,5.0,4.75049499547,0.516050159455,2.33961672149,293.241887824,293.238503073,57.6577726078,1,1
usc000rn4l,2014-06-27 20:10:16.710000,-49.1508221447,121.479268702,5.37,usp000h1ay,2009-09-08 01:38:30.410000,-49.2085236022,121.488732748,5.1,6.45415469158,12.7648845305,20.3014539548,173.866420724,178.45143959,51.7229709211,1,1
usc000rn4l,2014-06-27 20:10:16.710000,-49.1508221447,121.479268702,5.37,usp000fv62,2007-12-24 22:41:02.830000,-49.133940155,121.419455273,5.1,4.75088555998,1.90776378177,2.45688389811,293.255014712,298.451267813,56.9503496062,1,1
usc000rn4l,2014-06-27 20:10:16.710000,-49.1508221447,121.479268702,5.37,usp000evu8,2006-10-23 03:19:26.240000,-49.1231314968,121.386021257,5.1,7.46878780578,7.47261807674,4.95785308663,294.315495183,293.914762702,58.060221905,1,1
usc000rn4l,2014-06-27 20:10:16.710000,-49.1508221447,121.479268702,5.37,usp000eeq4,2006-04-16 20:05:52.480000,-49.1969913024,121.506607152,5.3,5.50799748311,10.874158306,19.4372011604,158.792463097,180.06829491,40.3156844462,1,1
usc000rn4l,2014-06-27 20:10:16.710000,-49.1508221447,121.479268702,5.37,usp000ea1m,2006-02-14 00:21:41.540000,-49.4377982083,121.355157038,5.2,33.1684017691,32.4827344466,22.210796489,195.747126307,188.311671059,38.5070692093,1,1
usc000rn4l,2014-06-27 20:10:16.710000,-49.1508221447,121.479268702,5.37,usp000cb9y,2003-10-26 02:04:05.150000,-49.1591029988,121.435796002,5.1,3.30211588611,4.81893170342,5.27160748928,253.789420943,271.780945016,67.1670389698,1,1
usc000rn4l,2014-06-27 20:10:16.710000,-49.1508221447,121.479268702,5.37,usp000aahy,2001-02-28 01:48:36.820000,-49.437799837,121.355158901,5.2,33.1685391371,37.0513758982,26.9436762964,195.746816287,193.657299877,50.254511758,1,1
us10008v94,2017-05-25 06:33:58.920000,-49.441164411,121.357331402,5.37,usp000hsdu,2011-01-01 18:37:44.930000,-49.1966910188,121.506908476,5.0,29.2834328926,29.6485666193,4.07418776326,21.8564051119,20.8676954629,7.48731828408,1,1
usp000hsdu,2011-01-01 18:37:44.930000,-49.1966910188,121.506908476,5.0,usp000hmxm,2010-10-10 04:47:41.730000,-49.1339505329,121.419454291,5.0,9.45329469438,38.7281436306,16.5534260901,317.537408053,15.0027451122,24.7635788796,1,1
usp000hsdu,2011-01-01 18:37:44.930000,-49.1966910188,121.506908476,5.0,usp000h1ay,2009-09-08 01:38:30.410000,-49.2085236022,121.488732748,5.1,1.8671202003,1.30325491335,0.603899724642,225.179792401,211.00062872,29.7725770198,1,1
usp000hsdu,2011-01-01 18:37:44.930000,-49.1966910188,121.506908476,5.0,usp000fv62,2007-12-24 22:41:02.830000,-49.133940155,121.419455273,5.1,9.45409873585,0.735772855895,13.030934508,317.542445027,12.530915792,45.7738843687,1,1
usp000hsdu,2011-01-01 18:37:44.930000,-49.1966910188,121.506908476,5.0,usp000evu8,2006-10-23 03:19:26.240000,-49.1231314968,121.386021257,5.1,12.0277808749,31.2001169156,17.5247266958,312.810053148,332.959722781,16.3809568597,1,1
usp000hsdu,2011-01-01 18:37:44.930000,-49.1966910188,121.506908476,5.0,usp000eeq4,2006-04-16 20:05:52.480000,-49.1969913024,121.506607152,5.3,0.0399695800385,0.396619659572,0.386071876354,213.329292023,213.332687318,43.5747820624,1,1
usp000hsdu,2011-01-01 18:37:44.930000,-49.1966910188,121.506908476,5.0,usp000ea1m,2006-02-14 00:21:41.540000,-49.4377982083,121.355157038,5.2,28.9960804764,25.2299958252,3.87830960381,202.307606463,199.47580385,9.0590716391,1,1
