time,mag,magType,lat,lon,dep,text,id
2017-05-25 06:33:58.920000,5.0,mb,-49.4432,121.3647,10000.0,Western Indian-Antarctic Ridge,us10008v94
2016-12-22 23:23:37.800000,5.0,mb,-48.8781,121.1748,10000.0,Western Indian-Antarctic Ridge,us10007rq8
2015-06-27 07:28:53.560000,5.4,mwc,-49.0066,121.2976,10000.0,Western Indian-Antarctic Ridge,us10002m1x
2014-06-27 20:10:16.710000,5.0,mb,-48.998,121.5949,14660.0,Western Indian-Antarctic Ridge,usc000rn4l
2011-01-01 18:37:44.930000,5.0,mwc,-49.155,121.555,10000.0,western Indian-Antarctic Ridge,usp000hsdu
2010-10-10 04:47:41.730000,5.0,mwc,-48.93,121.487,10000.0,western Indian-Antarctic Ridge,usp000hmxm
2009-09-08 01:38:30.410000,5.1,mwc,-49.165,121.601,10000.0,western Indian-Antarctic Ridge,usp000h1ay
2007-12-24 22:41:02.830000,5.1,mwc,-48.944,121.509,10000.0,western Indian-Antarctic Ridge,usp000fv62
2006-10-23 03:19:26.240000,5.1,mwc,-48.947,121.458,10000.0,western Indian-Antarctic Ridge,usp000evu8
2006-04-16 20:05:52.480000,5.3,mwc,-49.058,121.436,10000.0,western Indian-Antarctic Ridge,usp000eeq4
2006-02-14 00:21:41.540000,5.2,mwc,-49.336,121.476,10000.0,western Indian-Antarctic Ridge,usp000ea1m
2003-10-26 02:04:05.150000,5.1,mwc,-48.931,121.308,10000.0,western Indian-Antarctic Ridge,usp000cb9y
2001-10-02 10:42:16.480000,5.4,mwc,-48.934,121.45,10000.0,western Indian-Antarctic Ridge,usp000aq4b
2001-02-28 01:48:36.820000,5.2,mwc,-49.398,121.418,10000.0,western Indian-Antarctic Ridge,usp000aahy
1990-03-23 13:35:37.420000,5.2,mw,-49.235,122.283,10000.0,western Indian-Antarctic Ridge,usp00046z3
1989-05-29 02:12:27.880000,5.3,mw,-48.914,121.346,10000.0,western Indian-Antarctic Ridge,usp0003vrv
1987-03-26 04:58:39.660000,5.0,ms,-48.844,121.378,10000.0,western Indian-Antarctic Ridge,usp00033n9
1986-06-16 04:52:08.430000,5.3,mw,-49.142,121.335,10000.0,western Indian-Antarctic Ridge,usp0002v38
1981-04-18 05:38:51,5.1,mb,-48.884,121.497,10000.0,western Indian-Antarctic Ridge,usp0001d76
1974-05-08 01:46:29.600000,5.2,mb,-48.947,121.584,33000.0,western Indian-Antarctic Ridge,usp000068r
