id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us600089jq,2020-02-27 04:13:34.846000,-45.0705043431,95.49384386,5.37,us1000ebag,2018-05-24 15:04:12.800000,-45.0797991212,95.7076201579,5.3,16.8651936875,26.7506492814,21.7140235164,93.5871232074,92.5200791745,73.4281555099,1,1
us600089jq,2020-02-27 04:13:34.846000,-45.0705043431,95.49384386,5.37,us1000d3ae,2018-03-12 06:13:49.900000,-45.5937009019,95.5529477735,5.6,58.331446495,50.5703266738,47.6410056528,175.465307478,168.963066893,81.9534450951,1,1
us600089jq,2020-02-27 04:13:34.846000,-45.0705043431,95.49384386,5.37,us10006mdj,2016-09-06 12:07:57.760000,-45.0973911383,95.3561317544,5.3,11.2464939477,40.5197555844,28.8128001899,254.54360751,178.304910552,64.7293932129,1,1
us600089jq,2020-02-27 04:13:34.846000,-45.0705043431,95.49384386,5.37,usc000lpyj,2013-12-22 12:58:37.010000,-45.6673701227,95.4905914859,5.4,66.3355476434,56.2741631019,61.6844615921,180.218911705,178.383378358,83.8895801001,1,1
us600089jq,2020-02-27 04:13:34.846000,-45.0705043431,95.49384386,5.37,usc000lpxm,2013-12-22 10:03:09.760000,-45.5951446257,95.5551186407,5.6,58.5051214845,48.7708543405,49.3125082968,175.312489924,178.572705594,85.8556470412,1,1
us600089jq,2020-02-27 04:13:34.846000,-45.0705043431,95.49384386,5.37,usc000lpw9,2013-12-22 07:29:03.930000,-45.5380029389,95.6335635015,5.5,53.0996854707,51.660647225,44.4373287246,168.140129792,171.387263679,93.4022325648,1,1
us600089jq,2020-02-27 04:13:34.846000,-45.0705043431,95.49384386,5.37,usp000gv34,2009-03-17 16:12:22.160000,-45.1699455621,95.2828614797,5.0,19.9425824382,20.9934893169,22.3915667986,236.272663099,255.052240733,66.0415940054,1,1
us600089jq,2020-02-27 04:13:34.846000,-45.0705043431,95.49384386,5.37,usp000ft7p,2007-11-24 20:15:05.700000,-45.1385370703,95.3300945793,5.1,14.9417295846,16.3696630254,24.0236978004,239.543286315,239.540066263,76.5906891841,1,1
us600089jq,2020-02-27 04:13:34.846000,-45.0705043431,95.49384386,5.37,usp000fe2t,2007-06-15 17:29:21.710000,-45.6008349722,95.5544827072,5.6,59.1314067382,49.8960440887,53.8882143676,175.410946207,173.830773104,91.0549750027,1,1
us600089jq,2020-02-27 04:13:34.846000,-45.0705043431,95.49384386,5.37,usp000fe18,2007-06-14 22:57:14.470000,-45.5446703158,95.6313753478,5.6,53.7901779807,49.2254045425,42.7891422435,168.481768532,170.234185157,77.3933467242,1,1
