id,time,lat,lon,mag,group
usp00068p3,1994-02-18 04:19:07.570000,-45.3989302795,95.735524349,6.3,1
usp0006yeu,1995-06-01 16:02:04.250000,-45.8736992624,95.3880203833,5.5,1
usp0007r2w,1996-10-08 01:36:53.930000,-45.6316805265,95.4975622187,6.1,1
usp0009h1z,1999-11-03 21:38:07.540000,-45.3177471609,95.876842264,5.7,1
usp000adq9,2001-04-21 00:35:55.100000,-45.8055498865,95.4979341023,5.5,1
usp000bp5d,2003-01-25 12:48:03.760000,-45.2492073965,95.1193640006,5.2,1
usp000c8sa,2003-09-27 05:54:52.880000,-45.1744548357,95.3287119247,5.4,1
usp000cyrd,2004-06-25 09:07:35.020000,-45.2742026361,95.2118400477,5.3,1
usp000dqsq,2005-05-14 10:26:44.490000,-45.4841503169,95.497662126,5.9,1
usp000dqsx,2005-05-14 11:13:20.490000,-45.0917233864,95.1445260291,5.2,1
usp000dqsy,2005-05-14 11:15:54.440000,-45.1150593941,95.180670098,5.2,1
usp000e329,2005-10-29 04:05:56.040000,-45.0977641882,96.3812712685,6.5,1
usp000evsd,2006-10-22 08:55:16.760000,-45.5998159658,95.5304284736,6.1,1
usp000fe18,2007-06-14 22:57:14.470000,-45.5936428422,95.6079710029,5.6,1
usp000fe2t,2007-06-15 17:29:21.710000,-45.6512607413,95.528763226,5.6,1
usp000ft7p,2007-11-24 20:15:05.700000,-45.2125950408,95.2986098101,5.1,1
usp000gv34,2009-03-17 16:12:22.160000,-45.2448225064,95.2526164872,5.0,1
usp000hpc0,2010-11-10 04:05:24.410000,-45.4180007815,95.714494935,6.5,1
usp000hu2g,2011-02-04 08:34:31.530000,-45.7001417467,95.4791626834,5.1,1
usc000jwxs,2013-09-10 14:53:17.280000,-45.2424173724,95.2601973462,5.37,1
usc000lpw9,2013-12-22 07:29:03.930000,-45.5869957402,95.6102812852,5.5,1
usc000lpxm,2013-12-22 10:03:09.760000,-45.6458460088,95.5289553781,5.6,1
usc000lpyj,2013-12-22 12:58:37.010000,-45.7283034684,95.4597404495,5.4,1
us10006mdj,2016-09-06 12:07:57.760000,-45.1753814685,95.3211017883,5.3,1
us1000d3ae,2018-03-12 06:13:49.900000,-45.6450268079,95.527723361,5.6,1
us1000d8ny,2018-03-24 19:58:33.380000,-45.6067036851,95.5224823524,6.0,1
us1000ebag,2018-05-24 15:04:12.800000,-45.1605793478,95.668878558,5.3,1
us600089jq,2020-02-27 04:13:34.846000,-45.1548787691,95.4902290629,5.37,1
