id,time,lat,lon,mag,along_strike_distance
usp00046vd,1990-03-20 18:55:22.330000,-45.846,96.229,5.2,10493.451138
usp0005yy4,1993-08-21 08:07:49.930000,-46.404,96.032,5.7,10473.3228409
usp0006yeu,1995-06-01 16:02:04.250000,-46.496,95.943,5.5,10465.7036925
usp0007r2w,1996-10-08 01:36:53.930000,-45.778,96.025,6.1,10478.2451982
usp000adq9,2001-04-21 00:35:55.100000,-46.293,95.97,5.5,10469.5333408
usp000bp5d,2003-01-25 12:48:03.760000,-45.976,95.723,5.2,10453.1889817
usp000c8sa,2003-09-27 05:54:52.880000,-45.884,95.898,5.4,10467.4959451
usp000cyrd,2004-06-25 09:07:35.020000,-45.792,95.717,5.3,10454.2453241
usp000dqsx,2005-05-14 11:13:20.490000,-45.712,96.27,5.2,10497.8338281
usp000evsd,2006-10-22 08:55:16.760000,-45.727,95.987,6.1,10475.7383908
usp000fe18,2007-06-14 22:57:14.470000,-46.361,96.177,5.6,10484.8233341
usp000fe2t,2007-06-15 17:29:21.710000,-46.385,95.999,5.6,10470.9589049
usp000ft7p,2007-11-24 20:15:05.700000,-45.802,96.017,5.1,10477.4169189
usp000gv34,2009-03-17 16:12:22.160000,-45.847,95.789,5.0,10459.3685176
usp000hu2g,2011-02-04 08:34:31.530000,-46.055,95.895,5.1,10465.8065902
usc000jwxs,2013-09-10 14:53:17.280000,-45.9155,95.8793,5.37,10465.7811803
usc000lpw9,2013-12-22 07:29:03.930000,-46.4494,96.133,5.5,10480.6598971
usc000lpxm,2013-12-22 10:03:09.760000,-46.4386,96.0153,5.6,10471.7397782
usc000lpyj,2013-12-22 12:58:37.010000,-46.3487,95.8139,5.4,10457.0700367
us10006mdj,2016-09-06 12:07:57.760000,-45.8029,95.7714,5.3,10458.3725738
us1000d3ae,2018-03-12 06:13:49.900000,-46.3559,95.9296,5.6,10465.8876551
us1000d8ny,2018-03-24 19:58:33.380000,-45.7783,96.0692,6.0,10481.6695586
