id,time,lat,lon,mag,group
usp0006yeu,1995-06-01 16:02:04.250000,-46.5323432124,96.0829414658,5.5,1
usp0007r2w,1996-10-08 01:36:53.930000,-45.7687063225,96.0839578514,6.1,1
usp000adq9,2001-04-21 00:35:55.100000,-46.4576908873,96.1895097499,5.5,1
usp000bp5d,2003-01-25 12:48:03.760000,-45.9824190624,95.8129477901,5.2,1
usp000c8sa,2003-09-27 05:54:52.880000,-45.8597082578,96.0079923349,5.4,1
usp000cyrd,2004-06-25 09:07:35.020000,-45.9562121156,95.8926572637,5.3,1
usp000dqsx,2005-05-14 11:13:20.490000,-45.7091095518,96.7863263615,5.2,1
usp000evsd,2006-10-22 08:55:16.760000,-45.7390930848,96.1191733159,6.1,1
usp000fe18,2007-06-14 22:57:14.470000,-46.4133241025,96.2507930492,5.6,1
usp000fe2t,2007-06-15 17:29:21.710000,-46.4723287563,96.1647563121,5.6,1
usp000ft7p,2007-11-24 20:15:05.700000,-45.893099516,95.976716223,5.1,1
usp000gv34,2009-03-17 16:12:22.160000,-45.9314483961,95.9347487224,5.0,1
usp000hu2g,2011-02-04 08:34:31.530000,-46.5219895489,96.1086719905,5.1,1
usc000jwxs,2013-09-10 14:53:17.280000,-45.9499505189,95.9872694864,5.37,1
usc000lpw9,2013-12-22 07:29:03.930000,-46.4095630896,96.2528956565,5.5,1
usc000lpxm,2013-12-22 10:03:09.760000,-46.467014004,96.1695080146,5.6,1
usc000lpyj,2013-12-22 12:58:37.010000,-46.5509639622,96.0889516142,5.4,1
us10006mdj,2016-09-06 12:07:57.760000,-45.8618650777,96.0014998164,5.3,1
us1000d3ae,2018-03-12 06:13:49.900000,-46.4667242695,96.1677165455,5.6,1
us1000d8ny,2018-03-24 19:58:33.380000,-45.7783428916,96.0692725976,6.0,1
