time,mag,magType,lat,lon,dep,text,id
1973-06-29 15:40:17.900000,5.2,ms,-46.407,95.872,33000.0,southeast Indian Ridge,usp00002fj
1975-06-18 12:17:36.100000,5.4,mb,-46.372,95.912,33000.0,southeast Indian Ridge,usp0000bn4
1982-06-09 07:43:13.070000,5.6,ms,-46.147,95.384,10000.0,southeast Indian Ridge,usp0001msy
1982-08-10 16:46:37.650000,5.4,ms,-46.487,95.867,10000.0,southeast Indian Ridge,usp0001ny7
1985-08-11 07:27:56.870000,5.1,ms,-46.498,96.074,10000.0,southeast Indian Ridge,usp0002hks
1988-01-30 03:56:43.810000,5.7,mw,-46.252,96.091,10000.0,southeast Indian Ridge,usp0003cjd
1990-03-20 18:55:22.330000,5.2,mw,-45.846,96.229,10000.0,southeast Indian Ridge,usp00046vd
1993-08-21 08:07:49.930000,5.7,mw,-46.404,96.032,10000.0,southeast Indian Ridge,usp0005yy4
1995-06-01 16:02:04.250000,5.5,mw,-46.496,95.943,10000.0,southeast Indian Ridge,usp0006yeu
1996-10-08 01:36:53.930000,6.1,mwb,-45.778,96.025,10000.0,southeast Indian Ridge,usp0007r2w
2001-04-21 00:35:55.100000,5.5,mwc,-46.293,95.97,10000.0,southeast Indian Ridge,usp000adq9
2003-01-25 12:48:03.760000,5.2,mwc,-45.976,95.723,10000.0,southeast Indian Ridge,usp000bp5d
2003-09-27 05:54:52.880000,5.4,mwc,-45.884,95.898,10000.0,southeast Indian Ridge,usp000c8sa
2004-06-25 09:07:35.020000,5.3,mwc,-45.792,95.717,10000.0,southeast Indian Ridge,usp000cyrd
2005-05-14 11:13:20.490000,5.2,mwc,-45.712,96.27,10000.0,southeast Indian Ridge,usp000dqsx
2006-10-22 08:55:16.760000,6.1,mwc,-45.727,95.987,10000.0,southeast Indian Ridge,usp000evsd
2007-06-14 22:57:14.470000,5.6,mwb,-46.361,96.177,10000.0,southeast Indian Ridge,usp000fe18
2007-06-15 17:29:21.710000,5.6,mwb,-46.385,95.999,10000.0,southeast Indian Ridge,usp000fe2t
2007-11-24 20:15:05.700000,5.1,mwc,-45.802,96.017,10000.0,southeast Indian Ridge,usp000ft7p
2009-03-17 16:12:22.160000,5.0,mwc,-45.847,95.789,10000.0,southeast Indian Ridge,usp000gv34
2011-02-04 08:34:31.530000,5.1,mwc,-46.055,95.895,10000.0,southeast Indian Ridge,usp000hu2g
2013-09-10 14:53:17.280000,5.0,mb,-45.9155,95.8793,3220.0,Southeast Indian Ridge,usc000jwxs
2013-12-22 07:29:03.930000,5.5,mwb,-46.4494,96.133,9870.0,Southeast Indian Ridge,usc000lpw9
2013-12-22 10:03:09.760000,5.6,mwb,-46.4386,96.0153,10000.0,Southeast Indian Ridge,usc000lpxm
2013-12-22 12:58:37.010000,5.4,mwb,-46.3487,95.8139,10000.0,Southeast Indian Ridge,usc000lpyj
2016-09-06 12:07:57.760000,5.3,mwb,-45.8029,95.7714,10000.0,Southeast Indian Ridge,us10006mdj
2018-03-12 06:13:49.900000,5.6,mww,-46.3559,95.9296,10000.0,Southeast Indian Ridge,us1000d3ae
2018-03-24 19:58:33.380000,6.0,mww,-45.7783,96.0692,10000.0,Southeast Indian Ridge,us1000d8ny
