net,sta,lat,lon,dep,azi,dist
II,KDAK,57.7828,-152.5835,152.0,1.74981191888,13313.4541188
G,PPTF,-17.5896,-149.565247,705.0,7.94140560973,4979.62053558
II,ALE,82.5033,-62.35,60.0,15.974444494,16847.8035207
G,TAOE,-8.85492,-140.14775,800.0,18.677037714,6053.69282368
G,SCZ,36.59798,-121.40481,261.0,27.4707255278,11373.5369899
II,PFO,33.6107,-116.4555,1280.0,32.3100863503,11183.8761688
IU,PTCN,-25.0713,-130.0953,220.0,36.3799977695,4542.7380939
IM,TX06,29.319,-103.681999,939.5,44.2337386191,11146.2325538
G,UNM,19.329662,-99.178062,2280.0,51.8806388625,10297.1101189
IU,SSPA,40.6358,-77.8876,270.0,58.9634994356,13319.2173465
II,RPN,-27.1267,-109.3344,110.0,62.573009513,5151.42546751
IU,PAYG,-0.6742,-90.2861,270.0,68.113152057,8677.3131642
CU,BCIP,9.1665,-79.8373,61.0,73.1637372485,10165.662669
IU,OTAV,0.2376,-78.4508,3510.0,78.4380830052,9355.97013486
II,NNA,-11.9875,-76.8422,575.0,85.6495604493,8242.13337948
G,ICC,-20.284,-70.035004,950.0,95.8696971243,7792.9771255
IU,LCO,-29.011,-70.7005,2274.0,100.140716984,6926.72617267
G,PEL,-33.143607,-70.67494,700.0,102.68808334,6540.67565372
G,COYC,-45.57299,-72.08139,235.0,110.592081001,5347.52030226
G,SPB,-23.592691,-47.426979,647.0,116.694577738,8593.03096324
II,EFI,-51.6753,-58.0637,110.0,125.329400597,5456.53442947
G,MBO,14.392024,-16.955467,3.0,129.448547846,13772.5521117
IU,PMSA,-64.7744,-64.0489,40.0,135.28147524,4159.82527062
II,HOPE,-54.2836,-36.4879,20.0,140.882469315,6031.77158016
IU,KOWA,14.4967,-4.014,321.0,144.027388398,14244.1421388
G,TRIS,-37.0681,-12.3152,60.0,150.489381755,8510.40900665
IU,MSKU,-1.6557,13.6116,312.0,167.860252031,12856.4605269
IU,TSUM,-19.2022,17.5838,1260.0,173.333329081,10954.6204604
II,SUR,-32.3797,20.8117,1770.0,176.809501221,9510.40495033
IU,QSPA,-89.9289,144.4382,2850.0,180.132660813,3093.90642077
II,MBAR,-0.6019,30.7382,1390.0,186.891018201,13014.0358493
IU,NAI,-1.2739,36.8037,1692.0,193.559143792,12883.9974916
IU,SBA,-77.8492,166.7572,50.0,202.747415691,2177.90095108
GT,VNDA,-77.517273,161.852753,121.1,205.042151965,2264.0282598
G,CCD,-75.1065,123.305,3240.0,211.453163577,3253.57379274
IU,CASY,-66.2792,110.5354,10.0,221.634546503,4147.80412344
II,UOSS,24.9453,56.2042,284.4,224.153619477,15239.4287245
G,DRV,-66.664909,140.002075,40.0,232.244982142,3003.43185674
II,ABKT,37.9304,58.1189,678.0,235.623591125,16471.1013264
II,PALK,7.2728,80.7022,460.0,242.274355437,12418.2587115
II,COCO,-12.1901,96.8349,1.0,248.653376999,9709.35887737
IU,NWAO,-32.9277,117.239,380.0,255.315223382,6692.16818512
MS,BTDF,1.3617,103.775002,57.0,260.914136665,10698.3087799
AU,MCQ,-54.4986,158.9561,14.0,267.246675865,2739.57951916
II,TAU,-42.9099,147.3204,132.0,273.050104042,4246.96500763
G,CAN,-35.318714,148.996323,700.0,281.581134454,4836.67675565
IU,DAV,7.0697,125.5791,151.0,282.86424414,10131.2101111
IU,CTAO,-20.08765,146.24998,367.0,288.976080188,6425.25657255
IU,PMG,-9.4047,147.1597,90.0,295.248557127,7438.43062346
IU,SNZO,-41.3087,174.7043,120.0,305.638160146,3056.30829144
G,DZM,-22.07164,166.44377,878.0,309.30764326,5313.01652097
G,PVC,-17.74,168.311996,80.0,313.569095363,5685.33354827
II,KWAJ,8.8019,167.613,0.0,322.245115147,8495.30990193
IU,RAO,-29.245,-177.929,60.0,325.419553326,4017.41902042
G,FUTU,-14.307673,-178.121063,97.0,330.98064481,5617.54170586
IU,AFI,-13.9085,-171.7827,706.0,338.944534143,5521.37419771
IU,JOHN,16.7329,-169.5292,2.0,346.236347054,8842.67771394
IU,RAR,-21.2125,-159.7733,28.0,353.807601518,4569.73893
IU,XMAS,2.0448,-157.4457,20.0,357.744570023,7132.29104965
