id,time,lat,lon,mag,group
usp0006yt5,1995-06-08 18:33:23.350000,-53.4747968392,9.7808334895,5.37,1
usp000709e,1995-07-07 10:40:03.510000,-53.0547347973,10.3452718177,5.7,1
usp0007k3j,1996-06-22 00:32:13.470000,-53.3882417641,9.30038907683,6.4,2
usp0007q6d,1996-09-20 17:37:06.350000,-53.042195327,9.66407104089,5.8,1
usp00083fa,1997-06-13 08:07:11.540000,-53.1313644909,9.4753123736,5.1,1
usp0009wj9,2000-07-15 03:58:10.470000,-53.4941342604,9.76763739988,5.7,1
usp000dkrt,2005-03-31 05:19:52.500000,-53.5467463303,9.36867099305,5.3,1
usp000egqt,2006-05-10 03:29:46.390000,-53.0798878033,9.66967563606,5.451,1
usp000fha2,2007-07-28 16:13:43.590000,-53.5729789497,9.40417794345,5.5,1
usp000fha5,2007-07-28 17:46:28.720000,-53.5756584868,9.4037133094,5.1,1
usp000ft5j,2007-11-23 19:18:47.400000,-53.2620061258,9.40951627682,5.5,1
usp000gnn8,2008-11-14 02:05:09.900000,-53.3614301385,9.9370443583,5.9,1
usp000gnna,2008-11-14 02:43:54.290000,-53.3996456203,9.31030756602,5.4,1
usp000gsbj,2009-01-07 23:02:45.540000,-53.1027240843,9.62033665741,5.0,1
usp000hmnu,2010-10-06 00:49:13.790000,-53.0651969007,9.68670150272,5.0,1
usp000jcqf,2011-12-27 18:32:51.260000,-53.1002252435,9.69310750237,5.532,1
usc000n5bs,2014-03-08 07:14:10.430000,-53.2215459502,9.42597192272,5.4,1
usb000pkxl,2014-04-15 03:57:01.370000,-53.5787499829,9.14878049977,6.8,2
usb000s4bw,2014-08-19 18:19:57.880000,-53.0972768193,9.61693306072,5.451,1
us10007tup,2017-01-18 02:02:26.380000,-53.0742593965,9.6429666634,5.532,1
us1000apql,2017-10-10 18:53:27.830000,-53.8245548491,8.85702277203,6.7,2
us1000apzz,2017-10-11 00:08:26.300000,-53.4904572285,9.76209338516,5.6,1
us2000cqnn,2018-01-28 16:03:03.970000,-53.0756698335,9.67474922211,6.6,2
us2000cqpu,2018-01-28 18:09:44.630000,-53.0926474596,9.61452434384,5.37,1
us2000cqrf,2018-01-28 22:23:35.880000,-53.0502488261,9.74045265993,5.2,1
us2000d0fu,2018-02-11 00:10:32.550000,-53.0809274844,9.68601737642,5.37,1
us2000d5tm,2018-02-21 10:27:55.290000,-53.0311298502,9.94267543075,5.532,1
us1000jia7,2019-03-19 03:26:28.619000,-53.5557862399,9.56453750382,5.532,1
us70005hul,2019-09-18 11:54:58.913000,-53.5235656453,9.39236004884,5.2,1
us70005lr7,2019-09-18 16:00:53.073000,-53.5193508361,9.4345826241,5.37,1
us70006t6a,2020-01-01 16:34:59.178000,-53.0959880858,9.60339810413,5.37,1
