id,time,lat,lon,mag,group
usp0008mtf,1998-05-10 06:35:44.660000,8.53755628045,-102.743903338,5.8,1
usp0008mvd,1998-05-11 01:34:33.090000,8.47381814771,-102.96235717,5.8,1
usp0009yav,2000-08-12 14:13:09.210000,8.44654186638,-103.886453275,5.6,1
usp000ae04,2001-04-26 18:59:51.020000,8.42645123344,-103.230293275,5.7,1
usp000ae0a,2001-04-26 20:38:57.430000,8.46017264532,-103.149855834,5.4,1
usp000axzu,2002-02-07 23:28:32.570000,8.51880049813,-102.840425365,5.4,1
usp000bz2c,2003-06-04 16:28:15.050000,8.45587271606,-103.030433011,5.8,1
usp000cazj,2003-10-22 02:30:37.200000,8.50195010286,-102.874162261,5.8,1
usp000d8a3,2004-11-12 19:56:24.990000,8.49329133154,-102.932493882,5.6,1
usp000d8a4,2004-11-12 20:13:14.540000,8.47236301396,-102.974872016,5.6,1
usp000dn1n,2005-04-11 11:11:01.110000,8.45002960826,-103.881384226,5.5,1
usp000erbj,2006-08-20 00:14:56.840000,8.51880126249,-102.840423524,5.0,1
usp000erhj,2006-08-22 18:29:14.760000,8.46507521281,-103.806516258,5.1,1
usp000euxm,2006-10-11 06:00:48.320000,8.42521458906,-103.230995453,5.8,1
usp000euzh,2006-10-12 04:51:10.440000,8.43541026801,-103.179928406,5.0,1
usp000ftqb,2007-12-02 07:38:24.350000,8.473565635,-103.078245164,5.2,1
usp000gcar,2008-07-16 10:36:49.790000,8.51369324262,-102.829492002,5.4,1
usp000gcb5,2008-07-16 13:42:16.590000,8.52225046369,-102.801916612,5.1,1
usp000gubd,2009-02-24 07:05:36.470000,8.41450966156,-103.318326864,5.2,1
usp000h00d,2009-08-05 14:20:30.060000,8.47643684049,-103.081135917,5.0,1
usp000h76t,2010-02-12 02:26:31.800000,8.49715890373,-102.927641623,5.3,1
usp000hbad,2010-04-13 12:30:21.470000,8.47058046525,-103.833505906,5.1,1
usp000hbae,2010-04-13 12:35:21.790000,8.4650307281,-103.854641262,5.3,1
usp000hd0p,2010-05-21 17:52:19.450000,8.49058807379,-102.905905772,5.1,1
usp000hs77,2010-12-28 21:41:48.430000,8.5019515855,-102.874154137,5.4,1
usp000j1pp,2011-05-16 16:12:25.190000,8.41998432979,-103.190627597,5.0,1
usp000jaz1,2011-11-17 06:11:52.260000,8.4756781266,-103.075934696,5.2,1
usp000jaz3,2011-11-17 06:52:41.330000,8.4316290078,-103.22688516,5.6,1
usp000jqee,2012-08-17 21:27:53.730000,8.48688671383,-102.95559366,5.5,1
usb000t0dw,2014-11-26 22:26:00.550000,8.45203418983,-103.879535894,5.4,1
usb000tq6v,2015-02-18 00:48:28.890000,8.46345089151,-103.031111471,5.5,1
usb000tq7i,2015-02-18 01:16:17.570000,8.47132534055,-102.987065913,5.5,1
usb000tq7z,2015-02-18 01:41:12.480000,8.50540520379,-102.882974469,5.37,1
us10005hf5,2016-05-14 18:21:05.860000,8.50949065097,-102.846135067,5.8,1
us10005hp6,2016-05-16 06:39:04.910000,8.49686725983,-102.928904598,5.5,1
us1000e289,2018-05-10 18:36:36.740000,8.39048934817,-103.602098002,5.37,1
us2000j5sx,2019-01-18 16:40:43.570000,8.42959945509,-103.227695342,5.9,1
