time,mag,magType,lat,lon,dep,text,id
2019-02-25 15:05:33.178000,5.5,mww,4.2909,-32.6219,10000.0,Central Mid-Atlantic Ridge,us2000jmvf
2016-11-26 02:39:05.640000,5.0,mb,3.7902,-32.1017,10000.0,Central Mid-Atlantic Ridge,us10007cfu
2016-02-27 02:41:46.250000,5.4,mwc,4.5351,-32.6719,10000.0,Central Mid-Atlantic Ridge,us10004t2t
2016-02-21 02:26:21.830000,5.0,mb,4.5071,-32.6569,10000.0,Central Mid-Atlantic Ridge,us10004rgh
2016-02-20 14:59:58.650000,5.2,mb,4.4941,-32.6206,10000.0,Central Mid-Atlantic Ridge,us10004rde
2014-04-14 07:47:32.700000,5.4,mwc,4.0401,-31.8078,10000.0,Central Mid-Atlantic Ridge,usc000pjpi
2013-10-23 21:01:37.660000,5.0,mb,3.4657,-31.451,10000.0,Central Mid-Atlantic Ridge,usc000klxe
2012-08-31 00:35:35.690000,5.3,mwc,3.807,-32.155,10000.0,central Mid-Atlantic Ridge,usp000jr6p
2012-07-28 16:01:11.470000,5.4,mwc,4.548,-32.667,10000.0,central Mid-Atlantic Ridge,usp000jpj8
2011-08-04 01:35:05.460000,5.1,mwc,3.875,-32.148,10000.0,central Mid-Atlantic Ridge,usp000j5xz
2011-07-28 16:11:58.260000,5.0,mwc,4.14,-32.91,10000.0,central Mid-Atlantic Ridge,usp000j5md
2010-12-14 19:11:41.480000,5.0,mb,3.824,-32.563,10000.0,central Mid-Atlantic Ridge,usp000hqxm
2009-09-21 23:18:31.080000,5.0,mwc,3.81,-31.482,10000.0,central Mid-Atlantic Ridge,usp000h1rr
2009-07-16 15:05:43.520000,5.2,mwc,3.337,-31.509,10000.0,central Mid-Atlantic Ridge,usp000gzb1
2006-06-22 01:15:48.030000,5.0,mwc,4.513,-32.495,10000.0,central Mid-Atlantic Ridge,usp000ekzh
2006-05-24 17:58:06.530000,5.1,mwc,3.839,-32.093,10000.0,central Mid-Atlantic Ridge,usp000ehvb
2006-04-28 07:22:42.030000,5.2,mwc,3.924,-31.511,10000.0,central Mid-Atlantic Ridge,usp000efpd
2005-12-19 14:44:49.350000,5.1,mwc,3.218,-31.426,10000.0,central Mid-Atlantic Ridge,usp000e6en
2004-04-19 08:14:11.420000,5.6,mwb,3.614,-32.234,10000.0,central Mid-Atlantic Ridge,usp000csx2
2002-03-14 21:03:19.260000,5.4,mwc,3.313,-31.447,10000.0,central Mid-Atlantic Ridge,usp000b0ah
2000-09-23 02:17:43.980000,5.7,mwc,4.276,-32.607,10000.0,central Mid-Atlantic Ridge,usp000a0pf
2000-09-23 02:13:32.450000,5.5,mwc,4.367,-32.593,10000.0,central Mid-Atlantic Ridge,usp000a0pe
1996-12-15 15:41:00.380000,5.5,mwc,3.781,-32.002,10000.0,central Mid-Atlantic Ridge,usp0007ugn
1992-03-29 17:40:09.480000,5.3,mw,3.412,-31.547,10000.0,central Mid-Atlantic Ridge,usp0005512
1989-04-16 08:35:03.250000,5.2,mw,4.462,-32.573,10000.0,central Mid-Atlantic Ridge,usp0003u0u
1989-04-16 08:04:29.570000,5.0,mw,4.612,-32.651,10000.0,central Mid-Atlantic Ridge,usp0003u0r
1988-03-17 22:41:40.140000,5.0,mb,3.247,-31.457,10000.0,central Mid-Atlantic Ridge,usp0003e26
1987-09-20 05:07:57.360000,5.0,mw,4.293,-32.523,10000.0,central Mid-Atlantic Ridge,usp00038j0
1986-07-10 06:53:04.320000,5.4,mw,4.275,-32.618,10000.0,central Mid-Atlantic Ridge,usp0002vwe
1986-06-17 08:48:19.080000,5.3,mw,4.406,-32.622,10000.0,central Mid-Atlantic Ridge,usp0002v4f
1985-11-10 12:39:50.900000,5.9,mw,4.203,-32.477,10000.0,central Mid-Atlantic Ridge,usp0002mmu
1985-02-11 07:39:32.560000,5.6,mb,4.544,-32.56,10000.0,central Mid-Atlantic Ridge,usp0002btc
1983-03-02 12:06:17.560000,5.0,mb,3.841,-32.602,10000.0,central Mid-Atlantic Ridge,usp0001tdv
1980-12-04 00:21:05.300000,5.2,mb,3.317,-31.459,10000.0,central Mid-Atlantic Ridge,usp0001b5a
1980-04-01 19:55:31.900000,5.1,mb,4.412,-32.493,10000.0,central Mid-Atlantic Ridge,usp00016d6
1974-03-30 08:25:17.400000,5.0,mb,3.902,-32.173,33000.0,central Mid-Atlantic Ridge,usp00005t2
1974-01-13 21:31:39.400000,5.2,mb,3.663,-31.569,33000.0,central Mid-Atlantic Ridge,usp00004xc
1964-06-28 17:27:59,5.9,mw,4.008,-32.525,10000.0,central Mid-Atlantic Ridge,iscgem867292
