id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us20008t76,2017-03-19 20:34:59.250000,-60.0563855215,150.288134026,5.3,us1000hc8g,2018-10-15 05:31:53.710000,-59.4482987837,149.35300471,5.4,85.7482567339,87.3943480803,13.7994101199,321.784403708,321.229649834,9.87139914272,1,1
us1000767e,2016-11-08 03:09:25.410000,-58.7545560237,149.070625754,5.7,us1000hc8g,2018-10-15 05:31:53.710000,-59.4482987837,149.35300471,5.4,78.9566141745,130.264355544,90.8173069989,168.294594396,161.757214017,79.390137816,1,1
usb000k8jm,2013-10-08 13:39:55.550000,-59.02958554,149.210652406,5.7,us1000hc8g,2018-10-15 05:31:53.710000,-59.4482987837,149.35300471,5.4,47.3466715809,46.8313574604,2.22755842013,170.17992052,168.468181352,2.50025842926,1,1
usp000hshp,2011-01-03 16:43:28.670000,-59.7311878109,150.175011854,5.6,us1000hc8g,2018-10-15 05:31:53.710000,-59.4482987837,149.35300471,5.4,56.1188725864,49.7363078789,9.04303572794,303.809877872,301.677864809,13.9503365225,1,1
usp000gbhu,2008-07-07 07:46:05.170000,-58.7907343976,149.116593835,5.0,us1000hc8g,2018-10-15 05:31:53.710000,-59.4482987837,149.35300471,5.4,74.4917031002,22.0659895543,62.6064560012,169.628282327,226.794742112,86.5132531643,1,1
usp000fnr9,2007-09-20 02:24:07.160000,-58.7951680986,149.12107783,5.3,us1000hc8g,2018-10-15 05:31:53.710000,-59.4482987837,149.35300471,5.4,73.9594006898,75.0338979653,9.35784989879,169.753114726,168.882073858,7.54451950449,1,1
usp0008esc,1998-01-21 23:45:36.880000,-59.0023020957,149.200540866,5.7,us1000hc8g,2018-10-15 05:31:53.710000,-59.4482987837,149.35300471,5.4,50.4404908525,50.4410258931,1.56482350192,170.126956984,170.287691585,1.82727923813,1,1
us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,3.9742817467,3.53846293734,0.80232525833,173.193480408,173.187060469,13.4370627853,1,1
us2000ft4b,2018-07-01 17:37:14,-57.7312288229,148.670444677,5.613,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,3.04461080026,1.65897437489,2.19700936179,98.3988121244,98.3974507417,60.9664100216,1,1
us200066wj,2016-06-26 07:21:12.960000,-58.1038051089,149.037665423,5.37,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,45.1386402593,31.1898211343,8.93274003826,335.298568202,351.473111718,16.645168583,1,1
us20005hdp,2016-04-12 12:07:55.630000,-57.681563674,148.671956141,5.5,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,6.65205322982,54.0788304125,54.6153204805,153.943880463,182.768258855,89.6164986567,1,1
us20003mf0,2015-09-21 11:36:07.720000,-58.6354219563,148.980261216,5.37,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,101.419289966,98.090938424,17.7121546281,351.240985942,353.549890491,8.3895751678,1,1
usc000tatn,2014-12-30 18:42:48.850000,-57.8456775155,148.73036475,5.451,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,12.3156009342,10.7885836126,8.66856937937,357.405905534,15.3392599832,39.9745212429,1,1
usc000t9m1,2014-12-24 02:36:04.720000,-58.1022708816,149.059159189,5.451,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,45.5296169627,31.5209645845,12.0791042341,333.741453668,352.489502782,33.7289004637,1,1
usc000t9l4,2014-12-24 01:19:38.840000,-57.8045471274,148.735484384,5.5,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,7.7700522664,6.90404811068,1.21641637281,353.627788426,8.2955777561,9.90669314817,1,1
usb000h5wa,2013-05-25 02:27:19.600000,-57.8809788345,148.737016472,5.451,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,16.2625837467,15.4167640415,3.9513328418,356.638240598,359.387734665,14.6403401235,1,1
usp000jxcg,2012-12-24 23:24:50.060000,-58.6151711952,149.753174656,5.37,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,115.300868516,59.20228916,15.4608496241,327.774270871,172.608733215,19.8862489831,1,1
usp000j3jv,2011-06-22 15:53:30.600000,-58.2858649644,149.079869357,5.532,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,64.8957178586,13.1590986958,25.3171251042,340.767143709,23.6731260062,56.2985322188,1,1
usp000hsz7,2011-01-12 13:05:11.150000,-58.6778800992,148.990854253,5.4,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,106.187196316,99.6565983527,24.4591887369,351.292820937,354.064398384,15.5254295068,1,1
usp000hb8p,2010-04-12 10:23:12.380000,-58.2057833783,148.853988107,5.7,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,52.9984805119,60.3141199331,8.70084662182,351.403905059,351.357120138,9.53156747329,1,1
usp000g7vq,2008-05-27 05:51:12.050000,-57.9639058436,148.822043536,5.9,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,26.1678622904,38.5914703745,2.10136842957,346.702931758,340.701087009,2.96614722732,1,1
usp000erne,2006-08-24 16:11:18.910000,-58.3136317955,149.096274897,5.2,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,68.1328176919,78.4396806704,29.3711250238,340.846422701,358.365551274,38.1844408344,1,1
usp000cwbd,2004-05-27 02:18:56.820000,-58.0930982625,148.887135701,5.3,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,41.0583130485,54.5196297139,7.68550833033,346.052919299,341.98709418,7.93927582587,1,1
usp000c63s,2003-08-28 05:31:21.470000,-57.420484411,148.630401688,5.451,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,35.4678993412,38.2323781404,5.32326646488,171.247062363,174.760621767,9.0437939453,1,1
usp0008srz,1998-08-04 15:51:01.880000,-58.0676983158,148.831084552,5.8,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,37.6018160229,41.3270992269,8.10685821566,349.957135198,350.948981459,8.41983924721,1,1
usp0008gev,1998-02-23 00:27:20.660000,-58.1332020977,148.877692463,5.6,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,45.2881859242,63.580181174,3.64700914237,348.106487661,346.715574022,3.15061504301,1,1
usp000835q,1997-06-05 12:44:46.140000,-57.9842530917,148.831401562,5.7,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,28.5006986554,37.9142153671,4.75262972959,346.659759665,343.609122571,6.51987144751,1,1
usp0006ek0,1994-06-19 18:48:41.920000,-57.9252386101,148.740535565,5.748,us2000fta3,2018-07-01 21:25:28.440000,-57.7352116556,148.721007424,5.532,21.1959629887,23.523906892,3.89701678335,356.853934328,355.007374453,11.2867918298,1,1
us20003mf0,2015-09-21 11:36:07.720000,-58.6354219563,148.980261216,5.37,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,105.391837542,94.1078791924,17.3621077719,351.306046937,358.180785256,9.86104622412,1,1
usc000tatn,2014-12-30 18:42:48.850000,-57.8456775155,148.73036475,5.451,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,16.2817073879,19.3915755964,3.40547232843,356.374988774,352.877029992,12.8486933977,1,1
usc000t9m1,2014-12-24 02:36:04.720000,-58.1022708816,149.059159189,5.451,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,49.3010292166,15.0210509602,14.1136537042,335.257466339,25.1078833309,37.0005403471,1,1
usc000t9l4,2014-12-24 01:19:38.840000,-57.8045471274,148.735484384,5.5,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,11.7442517447,13.8616205474,1.13340399656,353.474412586,347.917899483,4.55094383837,1,1
usb000h5wa,2013-05-25 02:27:19.600000,-57.8809788345,148.737016472,5.451,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,20.2310261373,17.4737484243,3.411534462,355.957958164,18.9614720328,10.8697293556,1,1
usp000jxcg,2012-12-24 23:24:50.060000,-58.6151711952,149.753174656,5.37,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,118.927739405,52.7994343034,9.87359087508,328.569429896,176.055079297,14.6405079126,1,1
usp000jubq,2012-10-23 09:33:19.670000,-58.334335048,149.09145294,5.6,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,74.1287256816,103.203263536,20.2663086059,342.281517593,352.441579323,15.6883004962,1,1
usp000j3jv,2011-06-22 15:53:30.600000,-58.2858649644,149.079869357,5.532,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,68.7865389705,64.9200487098,23.8381678557,341.461954426,335.392693841,34.7516996625,1,1
usp000j39x,2011-06-17 00:30:01.120000,-58.4418259432,148.93867813,5.0,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,83.7135676255,83.7619161119,15.0044086953,350.753786619,346.602916296,13.1067338154,1,1
usp000hsz7,2011-01-12 13:05:11.150000,-58.6778800992,148.990854253,5.4,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,110.159861381,113.768795995,19.8700250153,351.352870264,349.773480461,13.3064591355,1,1
usp000gn07,2008-11-05 08:53:38.570000,-58.7239018057,149.790922672,5.0,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,130.478921574,39.4162887731,4.02588510647,330.49139443,179.35214361,5.39441671217,1,1
usp000erne,2006-08-24 16:11:18.910000,-58.3136317955,149.096274897,5.2,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,72.0246907103,27.2609183616,20.984204941,341.504963524,40.7053465038,33.4108762229,1,1
usp000cwbd,2004-05-27 02:18:56.820000,-58.0930982625,148.887135701,5.3,us2000ft5h,2018-07-01 18:30:30.100000,-57.6997788683,148.71310026,5.2,45.0056303654,58.1127869558,7.58634971796,346.668941091,342.533677928,8.03592524829,1,1
