id,time,lat,lon,mag,group
iscgem895411,1950-05-07 06:36:08,-56.429,147.088,6.2,-1
iscgem895503,1950-06-11 22:11:15,-56.901,148.088,6.3,-1
iscgem893195,1952-07-25 14:17:29,-59.394,148.495,6.0,-1
iscgem890574,1954-04-27 21:21:38,-56.047,147.498,6.4,-1
iscgem889355,1955-03-23 17:16:23,-56.579,148.327,6.1,-1
iscgem885204,1958-10-01 09:29:45,-57.069,147.743,6.5,-1
iscgem881498,1959-02-28 11:44:11,-55.12,146.421,5.8,-1
iscgem882604,1959-08-10 00:36:38,-55.511,146.327,5.7,-1
iscgem877558,1961-10-19 19:26:32,-55.337,146.217,5.7,-1
iscgem872032,1963-03-25 20:17:05,-56.678,147.587,5.8,-1
iscgem17293856,1963-06-10 04:16:37,-55.438,146.713,6.1,-1
iscgem17293858,1963-06-10 06:39:05,-55.311,146.421,6.2,-1
iscgem872776,1963-07-20 06:36:12,-57.655,148.546,6.3,-1
iscgem869137,1964-04-27 06:44:27,-59.95,150.434,6.3,-1
iscgem806733,1969-07-04 22:54:18,-55.791,147.116,5.8,-1
iscgem779543,1971-10-23 01:41:12,-54.798,146.364,6.3,-1
usp00002sa,1973-07-20 08:01:16.700000,-56.263,146.92,5.532,-1
usp00002x6,1973-07-29 21:42:21.400000,-56.32,147.391,5.613,-1
usp000031r,1973-08-09 13:06:36.600000,-56.273,147.417,6.058,-1
usp00003jt,1973-09-26 16:27:47.200000,-55.359,146.254,5.775,-1
usp00003kp,1973-09-28 23:51:46.900000,-55.353,146.003,5.451,-1
usp00004yj,1974-01-18 06:52:43.400000,-60.3,150.453,5.937,-1
usp00006ju,1974-05-30 12:32:02.500000,-59.081,148.842,5.37,-1
usp00007ky,1974-08-13 14:45:42,-55.456,146.261,5.934,-1
usp00008s9,1974-11-13 16:59:16.500000,-57.958,148.284,6.058,-1
usp0000gk3,1976-05-28 06:10:31,-58.646,149.253,5.613,-1
usp0000jnv,1976-09-28 18:04:24.400000,-59.448,149.685,5.5,-1
usp0000kms,1976-12-04 21:23:22.400000,-57.904,146.479,5.451,-1
usp0000kmt,1976-12-04 21:25:12.300000,-56.754,147.489,5.613,-1
usp0000qk5,1977-09-11 05:07:29.700000,-59.631,150.286,5.694,-1
usp0000qta,1977-09-26 04:56:57.100000,-60.039,150.585,5.934,-1
usp0000vaw,1978-06-27 01:04:28.700000,-56.318,146.623,5.81,-1
usp0000vax,1978-06-27 01:11:23.500000,-56.468,147.072,5.37,-1
usp00011ez,1979-06-20 21:46:32.600000,-56.571,147.33,5.532,-1
usp000126e,1979-08-01 11:07:56.100000,-54.764,146.331,5.775,-1
usp000127z,1979-08-05 11:54:24.100000,-57.415,147.619,5.613,-1
usp000174h,1980-05-09 22:32:42.700000,-55.835,147.248,6.368,-1
usp00019f2,1980-08-19 16:14:49.300000,-55.795,147.319,5.613,-1
usp0001b8d,1980-12-12 13:17:14.300000,-58.937,149.114,5.872,-1
usp0001be0,1980-12-23 18:00:31.600000,-55.487,147.423,5.451,-1
usp0001d2b,1981-04-09 08:37:09.680000,-59.779,150.235,6.244,-1
usp0001ddz,1981-04-27 18:17:33.780000,-57.591,148.079,6.43,-1
usp0001ed2,1981-06-28 14:27:05.970000,-55.642,146.93,5.5,-1
usp0001g4n,1981-09-27 17:15:11,-55.288,146.027,5.562,-1
usp0001nbm,1982-07-10 12:04:40.260000,-55.985,146.843,5.81,-1
usp0001nqn,1982-07-28 13:26:27.490000,-55.484,147.394,5.694,-1
usp0001rmu,1982-12-21 22:55:27.160000,-58.819,148.954,5.5,-1
usp0001s3u,1983-01-09 13:24:03.710000,-56.902,147.557,5.686,-1
usp0001z2p,1983-10-18 05:51:04.150000,-56.697,146.527,5.37,-1
usp00021k5,1984-01-27 01:41:34.240000,-56.694,147.688,5.4,-1
usp0002382,1984-04-03 18:09:59.340000,-55.597,146.363,5.37,-1
usp0002383,1984-04-03 18:31:00.230000,-55.586,146.63,5.451,-1
usp000238s,1984-04-04 09:24:38.700000,-55.257,145.943,5.37,-1
usp00023a6,1984-04-06 04:13:18.910000,-55.511,147.076,6.1,-1
usp0002444,1984-05-04 00:24:20.630000,-55.514,146.555,5.6,-1
usp0002e41,1985-04-24 10:52:11.250000,-59.724,148.776,5.532,-1
usp0002fwm,1985-06-16 11:43:15.160000,-56.345,146.998,5.5,-1
usp0002gc2,1985-07-03 03:11:31.500000,-54.82,146.436,6.4,-1
usp0002gm3,1985-07-08 19:37:35.010000,-59.732,149.798,6.3,-1
usp0002n7t,1985-11-26 01:19:04.950000,-55.102,146.345,5.5,-1
usp0002umf,1986-05-31 05:36:30.170000,-57.334,147.519,5.6,-1
usp00030j7,1986-12-01 18:51:05.330000,-56.822,147.258,5.9,-1
usp00032qm,1987-02-24 00:51:26.750000,-56.608,147.329,6.0,-1
usp00038y7,1987-10-03 11:39:56.080000,-55.823,147.305,5.37,-1
usp0003c5v,1988-01-18 23:45:55.280000,-55.261,145.901,5.3,-1
usp0003hdy,1988-06-28 16:40:19.040000,-56.432,147.147,6.0,-1
usp0003neq,1988-11-02 00:19:17.810000,-56.81,147.429,5.7,-1
usp0003t8h,1989-03-24 09:49:31.330000,-58.887,148.783,5.9,-1
usp0003tqa,1989-04-07 21:06:21.540000,-58.685,148.75,5.6,-1
usp00040qk,1989-10-15 10:05:04.780000,-60.32,150.091,6.0,-1
usp00042q6,1989-12-03 21:32:20.780000,-57.655,148.211,6.0,-1
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,-1
usp000493x,1990-05-10 00:58:48.660000,-54.824,146.247,5.9,-1
usp0004q1q,1991-04-07 09:40:51.360000,-59.266,149.191,5.5,-1
usp0004x1t,1991-09-25 20:46:23.900000,-56.748,147.393,5.4,-1
usp00052ew,1992-01-30 22:42:17.060000,-58.214,148.528,5.9,-1
usp000540x,1992-03-08 17:47:20.110000,-58.608,148.911,5.6,-1
usp00057uz,1992-05-21 23:01:31.460000,-59.3706978944,149.306216374,5.3,1
usp0005bjj,1992-07-27 06:25:43.540000,-58.360249081,148.898163764,5.7,1
usp0005fh7,1992-10-18 12:54:26.130000,-55.231,145.889,5.451,-1
usp0005p6t,1993-03-09 01:29:14.640000,-55.678,146.999,6.2,-1
usp0005pcx,1993-03-12 12:06:15.380000,-59.4690415284,149.372611581,5.6,1
usp0006c8k,1994-05-08 03:48:25.430000,-57.8188866892,148.74181453,5.4,1
usp0006ek0,1994-06-19 18:48:41.920000,-57.9252386101,148.740535565,5.748,1
usp0006v3s,1995-04-03 23:26:21.620000,-57.3789042132,148.530914557,5.4,1
usp00075gb,1995-10-21 00:34:06.750000,-57.4879581099,148.72311311,5.2,1
usp0007c08,1996-01-30 13:59:29.400000,-57.009,147.775,5.7,-1
usp0007f8b,1996-03-24 22:19:02.690000,-55.42,146.006,6.1,-1
