id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp0004x1t,1991-09-25 20:46:23.900000,-56.748,147.393,5.4,13073.3341404,0.1,21.2925524
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000540x,1992-03-08 17:47:20.110000,-58.608,148.911,5.6,12959.7281483,0.3,92.3134397
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp0005bjj,1992-07-27 06:25:43.540000,-56.841,146.896,5.7,13046.6141577,0.4,5.4274303
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp0005fh7,1992-10-18 12:54:26.130000,-55.231,145.889,5.451,13147.5706473,0.151,95.5290593
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp0006c8k,1994-05-08 03:48:25.430000,-56.381,147.096,5.4,13094.6275418,0.1,42.5859538
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp0007c08,1996-01-30 13:59:29.400000,-57.009,147.775,5.7,13064.1762773,0.4,12.1346893
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp0007jrj,1996-06-14 13:34:03.190000,-58.727,149.068,5.5,12954.1049196,0.2,97.9366684
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp0007pdr,1996-09-04 10:38:07.340000,-55.989,147.121,5.532,13130.0750174,0.232,78.0334294
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000835q,1997-06-05 12:44:46.140000,-56.614,147.834,5.7,13101.5371068,0.4,49.4955188
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp0008esc,1998-01-21 23:45:36.880000,-58.876,149.137,5.7,12942.7696451,0.4,109.2719429
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp0008gev,1998-02-23 00:27:20.660000,-56.901,147.497,5.6,13063.6087052,0.3,11.5671172
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp0008tfx,1998-08-18 20:57:44.140000,-58.008,148.049,5.6,12984.5374619,0.3,67.5041261
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000c63s,2003-08-28 05:31:21.470000,-55.846,146.837,5.451,13131.686567,0.151,79.644979
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000cwbd,2004-05-27 02:18:56.820000,-56.782,147.266,5.3,13065.6115417,0.0,13.5699537
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000dmcd,2005-04-06 00:28:05.380000,-56.093,147.113,5.4,13120.6219865,0.1,68.5803985
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000efhn,2006-04-26 04:08:53.650000,-57.451,148.071,5.0,13035.3117057,0.3,16.7298823
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000erne,2006-08-24 16:11:18.910000,-57.487,148.524,5.2,13048.0968344,0.1,3.9447536
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000esdt,2006-09-03 19:44:41.610000,-58.769,149.158,5.5,12953.246843,0.2,98.794745
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000f3y1,2007-01-30 08:09:09.400000,-55.499,146.838,5.451,13162.0710062,0.151,110.0294182
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000fnr9,2007-09-20 02:24:07.160000,-58.551,149.042,5.3,12969.3035347,0.0,82.7380533
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000ftgp,2007-11-29 01:50:30.960000,-57.232,147.903,5.1,13048.9040632,0.2,3.1375248
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000g7j8,2008-05-23 06:43:22.260000,-59.001,149.045,5.0,12928.315842,0.3,123.725746
usp00047fw,1990-04-05 04:50:52.010000,-56.722,146.762,5.3,13052.041588,usp000gbhu,2008-07-07 07:46:05.170000,-58.09,147.77,5.0,12967.4148699,0.3,84.6267181
