id,time,lat,lon,mag,group
usp0005p6t,1993-03-09 01:29:14.640000,-55.8404647114,147.194866633,6.2,2
usp0007f8b,1996-03-24 22:19:02.690000,-55.3638230716,146.644385907,6.1,2
usp0007p5v,1996-08-28 16:53:11.740000,-60.0274601024,150.683887094,5.9,1
usp0007yvp,1997-03-15 05:51:33.370000,-59.9229135011,150.643372074,5.9,1
usp00082ks,1997-05-20 18:27:06.540000,-59.7140689171,150.543812334,5.9,1
usp0008973,1997-10-17 09:55:15.250000,-57.4927253772,148.180109707,6.2,2
usp0008srz,1998-08-04 15:51:01.880000,-56.618227643,147.508162733,5.8,2
usp0009k87,1999-12-24 19:26:04.940000,-56.1379770736,147.229145842,6.3,2
usp0009k8d,1999-12-24 22:35:38.660000,-56.3874337713,147.329663905,6.1,2
usp0009p87,2000-03-04 02:24:22.430000,-60.153869085,150.74237041,6.4,1
usp000c4mz,2003-08-11 13:40:19.850000,-56.8604548307,147.55150768,6.0,2
usp000efhd,2006-04-26 01:46:03.860000,-57.4093145349,148.121917295,6.1,2
usp000er2q,2006-08-16 16:53:49.440000,-58.92550162,149.486280929,5.9,1
usp000f3xh,2007-01-30 04:54:50.570000,-55.1071731824,146.628740646,6.9,2
usp000f9va,2007-04-16 13:20:38.230000,-57.6676909855,148.218835661,6.4,2
usp000g7vq,2008-05-27 05:51:12.050000,-56.5535190231,147.503813375,5.9,2
usp000g8aj,2008-06-01 14:31:03.010000,-59.8530573407,150.601258732,6.5,1
usp000j190,2011-05-09 18:54:43.730000,-56.6193702596,147.510084535,5.9,2
usp000j2rm,2011-06-05 11:51:12.010000,-55.9771710326,147.212874867,6.4,2
usc000t9lm,2014-12-24 01:58:01.740000,-56.3929546914,147.333280253,5.9,2
us100087wv,2017-03-09 11:14:26.360000,-60.0838774439,150.706768822,5.9,1
us2000d8rl,2018-02-27 17:29:22.580000,-60.2498568816,150.775003386,6.1,1
