net,sta,lat,lon,dep,azi,dist
G,CAN,-35.318714,148.996323,700.0,2.77185994876,2500.91990451
IU,PET,53.0233,158.6499,110.0,7.06056870433,12326.3118768
IU,HNR,-9.4387,159.9475,100.0,16.0758933568,5467.16332639
II,KWAJ,8.8019,167.613,0.0,21.2645454612,7600.78590638
G,NOUC,-22.09863,166.30665,137.0,28.6543884134,4239.58247769
IU,MIDW,28.2156,-177.3698,20.0,30.3976067828,10074.1816625
IU,FUNA,-8.5259,179.1966,20.0,39.2513057191,6097.14784683
II,MSVF,-17.7448,178.0528,801.1,42.1730568224,5100.45426643
IU,AFI,-13.9085,-171.7827,706.0,51.9042168174,5930.89378192
IU,SNZO,-41.3087,174.7043,120.0,57.9043693494,2646.74060613
IU,COR,44.5855,-123.3046,110.0,61.7791628104,13985.5833885
IU,RAR,-21.2125,-159.7733,28.0,68.8954497583,5843.65141941
G,PPTF,-17.5896,-149.565247,705.0,76.2862686307,6760.13513096
G,TAOE,-8.85492,-140.14775,800.0,79.6275124971,8122.88633555
IU,SLBS,23.6858,-109.9443,825.0,87.0885068054,12929.6798725
IU,HKT,29.96478,-95.83812,69.0,94.6593853209,14325.2593913
IU,PTCN,-25.0713,-130.0953,220.0,97.8182886312,7228.99276745
IU,HRV,42.5064,-71.5583,200.0,105.039751363,16798.0255756
CU,TGUH,14.057,-87.273,1151.0,113.447308644,13356.8962608
II,RPN,-27.1267,-109.3344,110.0,115.477970595,8219.09683718
CU,BCIP,9.1665,-79.8373,61.0,123.492869976,13270.2507899
IU,OTAV,0.2376,-78.4508,3510.0,129.126371174,12446.1247715
II,NNA,-11.9875,-76.8422,575.0,135.688539317,11275.5739082
CU,GRGR,12.1324,-61.654,195.0,141.945374107,14365.3726592
G,PEL,-33.143607,-70.67494,700.0,148.494387692,9309.19663133
G,COYC,-45.57299,-72.08139,235.0,151.830895191,7972.28992716
IU,TRQA,-38.0568,-61.9787,540.0,156.772443972,9026.53741684
IU,PMSA,-64.7744,-64.0489,40.0,164.126917609,6147.4082184
GT,VNDA,-77.517273,161.852753,121.1,171.227583166,2264.34063842
II,HOPE,-54.2836,-36.4879,20.0,177.363121085,7571.7113388
IU,QSPA,-89.9289,144.4382,2850.0,180.007614037,3585.02968293
G,TRIS,-37.0681,-12.3152,60.0,195.907357384,9326.55500869
G,DRV,-66.664909,140.002075,40.0,198.687391954,1064.11865102
II,SHEL,-15.9594,-5.7455,537.0,206.123988533,11473.3612698
IU,KOWA,14.4967,-4.014,321.0,217.811117571,14650.6438557
II,SUR,-32.3797,20.8117,1770.0,223.349283294,8855.49492889
IU,CASY,-66.2792,110.5354,10.0,228.323624946,2119.68992774
G,CRZF,-46.43096,51.855308,140.0,236.959177612,6117.88926274
G,PAF,-49.351,70.210708,17.0,245.844283123,4927.72235393
G,FOMA,-24.97565,46.978877,28.0,247.489573171,8297.33397673
G,RER,-21.1712,55.739861,834.0,256.659282338,8153.69703688
G,AIS,-37.796349,77.569183,35.9,262.327475154,5413.70002921
II,MSEY,-4.6737,55.4792,475.0,265.503141966,9701.77891615
II,RAYN,23.5225,45.5032,631.0,272.938242806,12905.5345572
II,DGAR,-7.4121,72.4525,1.0,278.47003434,8439.53602678
II,UOSS,24.9453,56.2042,284.4,282.559199728,12404.2733358
II,PALK,7.2728,80.7022,460.0,293.277627101,9362.32124397
II,COCO,-12.1901,96.8349,1.0,298.258538182,6614.66248013
II,NIL,33.6506,73.2686,629.0,300.981515307,12262.1906657
IU,NWAO,-32.9277,117.239,380.0,307.075312432,3591.56779816
IU,CHTO,18.8141,98.9443,420.0,314.396970872,9605.21177617
IU,MBWA,-21.159,119.7313,190.0,318.993173491,4656.13281955
II,KAPI,-5.0142,119.7517,300.0,326.134797948,6339.45349951
IC,BJT,40.0183,116.1679,197.0,335.815739084,11232.5428576
II,WRAB,-19.9336,134.36,366.0,339.835655534,4343.21837199
IU,INCN,37.47768,126.62436,55.0,343.239647548,10741.0167685
G,INU,35.35,137.029,132.0,351.267378588,10370.7283397
II,TAU,-42.9099,147.3204,132.0,358.915638228,1656.510583
