id,time,lat,lon,mag,along_strike_distance
usp0004kze,1991-01-21 05:52:05.090000,-55.215,-129.13,5.934,592.387890046
usp0004nuk,1991-03-09 01:01:23.100000,-54.877,-131.533,6.0,436.37239584
usp0004pzs,1991-04-05 18:34:53.200000,-54.592,-132.516,5.8,365.552428129
usp0005rcq,1993-04-18 14:10:38.420000,-53.958,-133.868,6.3,256.094359693
usp00062kj,1993-10-24 15:36:08.670000,-55.621,-128.041,5.8,673.023565382
usp0006gk8,1994-08-05 19:41:56.720000,-55.37,-128.152,6.2,656.656188455
usp0006x4j,1995-05-09 12:29:57.670000,-53.973,-134.304,5.9,230.643359732
usp000872q,1997-09-03 06:22:44.280000,-55.19,-128.989,6.1,599.822924282
usp00089mu,1997-10-26 13:55:33.190000,-54.121,-132.967,5.8,317.664477654
usp000a17t,2000-10-04 03:59:12.080000,-55.432,-128.081,5.8,663.220615033
usp000avmx,2002-01-01 10:39:06.820000,-55.214,-129.0,6.0,600.092846768
usp000dngw,2005-04-16 12:18:31.720000,-54.991,-132.102,5.9,410.034938979
usp000ez8j,2006-11-30 21:20:11.590000,-53.844,-134.359,6.2,221.423032066
usp000frv7,2007-11-02 22:31:43.880000,-55.466,-128.966,6.1,612.433497066
usp000gv1a,2009-03-16 07:13:36.090000,-55.144,-129.7,5.9,555.688753123
usp000h7rg,2010-02-27 06:34:16.290000,-54.027,-133.64,5.856,272.847069628
usp000hcde,2010-05-06 11:35:29.520000,-55.725,-127.942,5.8,683.107857473
usp000hpx8,2010-11-21 04:36:31.440000,-54.967,-131.479,6.0,443.897935972
usp000ja8d,2011-11-02 14:59:27.940000,-55.294,-128.843,6.1,612.571281361
usp000jp54,2012-07-18 04:25:25.600000,-55.661,-128.893,5.9,625.34406394
us10002aj3,2015-05-19 15:25:21.080000,-54.3312,-132.1618,6.7,375.055847214
us2000isw3,2018-12-12 13:13:56.180000,-55.6687,-128.6641,6.3,638.846433833
