id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us60006rtz,2019-12-15 15:41:39.886000,-54.921439912,-128.756992404,5.37,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,23.9299563276,23.7643839348,18.2168929035,118.587271624,118.089692214,69.9912104768,1,1
us1000hb0u,2018-10-12 09:40:13.690000,-55.0163933914,-128.352027234,5.6,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,4.95783364598,4.27038542748,4.30865260488,260.324508247,262.265209281,79.694175499,1,1
us2000hf50,2018-09-15 12:42:17.830000,-54.8823572683,-129.032404304,5.37,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,41.7780760458,40.6228968389,38.2208579727,112.397132832,112.048221494,87.7720608195,1,1
us10008l61,2017-04-26 22:28:30.590000,-54.5990670347,-130.123676393,5.5,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,118.804934652,118.635592212,16.1756768887,114.145099281,111.971171584,9.77207603859,1,1
us1000874a,2017-03-05 12:22:16.420000,-55.0256798752,-128.410192395,5.6,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,1.18482420431,1.39964694094,1.44194743794,279.868985261,266.250926507,80.4030582102,1,1
us1000888z,2017-03-04 00:14:54.150000,-54.9236230058,-128.719673432,5.37,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,21.7322826195,20.2210149088,16.9916460003,121.011872774,118.348017419,83.8421374933,1,1
us10007cwr,2016-11-28 08:17:25.500000,-55.0668068972,-128.120226199,5.37,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,20.2738124134,17.7576370325,3.84495897276,283.515634913,287.362370171,18.4417282249,1,1
us100074b4,2016-11-05 13:18:15.430000,-54.8823335475,-129.019785598,5.4,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,41.031441733,40.3249203302,26.946411798,112.82102899,113.326585224,63.1988188796,1,1
us20007dsh,2016-10-05 08:40:35.040000,-54.9802990775,-128.495075428,5.4,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,6.45679712177,4.78970521135,2.04311442131,138.699951845,144.494373471,33.6878408007,1,1
us100061ta,2016-07-08 03:19:58.320000,-55.1635539547,-127.695082015,5.4,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,49.3364437572,48.3885702856,3.44660576085,288.073355927,287.676397259,4.03305059794,1,1
usc000t5vr,2014-12-12 06:05:06.600000,-55.064514132,-128.242209845,5.532,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,12.736256078,12.1528720318,2.05881649064,290.741423473,287.411835168,12.6324835559,1,1
usc000rabr,2014-06-03 04:39:57.700000,-54.7963940846,-129.193478412,5.6,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,55.2150502993,53.8505087018,20.1169584395,117.608841175,117.756528777,34.0433649356,1,1
usc000r91r,2014-05-30 11:33:10.070000,-55.0086067395,-128.429896701,5.5,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,1.6999632432,1.60900424747,0.780088559525,176.866641978,162.831151685,34.4826678067,1,1
usb000ppk1,2014-04-17 13:10:05.070000,-54.8887035597,-128.946035145,5.6,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,36.4123724889,35.9415951678,28.4875980086,114.617242988,116.440358609,72.7198575283,1,1
usb000kvke,2013-11-10 21:13:49.550000,-54.6055809295,-130.086693563,5.6,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,116.327741103,115.567255923,28.6983037241,114.270244175,112.668474959,21.7011138305,1,1
usc000jsfq,2013-09-12 08:51:19.790000,-54.8829319407,-128.932181179,5.37,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,35.8843307089,34.6113152481,27.8022940587,116.129957953,116.328527365,81.1447567525,1,1
usp000j3e5,2011-06-19 11:05:29.560000,-55.0351956847,-128.371833813,5.5,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,3.83390354847,3.97651913183,2.84995596752,289.204057335,279.964844821,62.9373492543,1,1
usp000hr16,2010-12-17 12:42:02.720000,-54.7948898539,-129.252880553,5.4,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,58.7000566143,60.3626395828,24.8418504889,116.072347475,115.144352042,36.7171747987,1,1
usp000hcux,2010-05-17 02:06:25.230000,-54.9354956824,-128.744608649,5.3,us70006wd1,2020-01-08 07:29:41.457000,-55.0238543363,-128.428443827,5.5,22.5061890733,21.3110523493,8.43410513761,116.045274534,116.284415298,35.2834561117,1,1
