id,time,lat,lon,mag,group
usp0005rcq,1993-04-18 14:10:38.420000,-54.4557191684,-133.073993086,6.3,1
usp00062kj,1993-10-24 15:36:08.670000,-55.9084301243,-127.548696078,5.8,1
usp0006gk8,1994-08-05 19:41:56.720000,-55.7134842831,-128.54502074,6.2,1
usp0006x4j,1995-05-09 12:29:57.670000,-54.3367436404,-133.476769865,5.9,1
usp000872q,1997-09-03 06:22:44.280000,-55.7237117612,-128.406652487,6.1,1
usp00089mu,1997-10-26 13:55:33.190000,-54.7103336916,-132.089598363,5.8,1
usp000a17t,2000-10-04 03:59:12.080000,-55.8945270158,-127.566308899,5.8,1
usp000avmx,2002-01-01 10:39:06.820000,-55.6744563692,-128.704232802,6.0,1
usp000dngw,2005-04-16 12:18:31.720000,-54.8383860221,-131.573382791,5.9,1
usp000ez8j,2006-11-30 21:20:11.590000,-54.4237259192,-133.172483634,6.2,1
usp000frv7,2007-11-02 22:31:43.880000,-55.7562533183,-128.226965018,6.1,1
usp000gv1a,2009-03-16 07:13:36.090000,-55.6061495879,-128.903447124,5.9,1
usp000hcde,2010-05-06 11:35:29.520000,-55.9045142012,-127.559270795,5.8,1
usp000hpx8,2010-11-21 04:36:31.440000,-55.0486688633,-130.786262122,6.0,1
usp000ja8d,2011-11-02 14:59:27.940000,-55.6940782553,-128.476783619,6.1,1
usp000jp54,2012-07-18 04:25:25.600000,-55.7374216955,-128.408871244,5.9,1
us10002aj3,2015-05-19 15:25:21.080000,-54.8247906078,-131.562201533,6.7,1
us2000isw3,2018-12-12 13:13:56.180000,-55.6700327324,-128.665182663,6.3,1
