id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
usp000bdqx,2002-10-03 16:08:29.620000,23.324,-108.53,6.5,121.366115766,usb000sjt0,2014-10-08 02:40:53.110000,23.8441,-108.3311,6.1,131.921301374,0.4,10.555185608
usp000bdqx,2002-10-03 16:08:29.620000,23.324,-108.53,6.5,121.366115766,us70009n5p,2020-05-22 08:46:06.973000,22.4152,-108.1275,6.1,213.336639153,0.4,91.970523387
usp000c1fm,2003-07-02 05:11:34.830000,22.904,-108.191,5.6,174.167800429,usp000cmfn,2004-02-18 10:59:19.380000,23.639,-108.821,5.9,82.732990384,0.3,91.434810045
usp000c1fm,2003-07-02 05:11:34.830000,22.904,-108.191,5.6,174.167800429,usp000ds95,2005-06-05 08:28:50.900000,23.674,-108.366,5.6,128.415897425,0.0,45.751903004
usp000c1fm,2003-07-02 05:11:34.830000,22.904,-108.191,5.6,174.167800429,usp000hnpe,2010-10-28 02:22:25.270000,23.084,-108.454,5.6,140.708885655,0.0,33.458914774
usp000c1fm,2003-07-02 05:11:34.830000,22.904,-108.191,5.6,174.167800429,us2000at0m,2017-09-22 05:33:43.940000,23.5482,-108.831,5.6,83.9431593557,0.0,90.2246410733
usp000cmfn,2004-02-18 10:59:19.380000,23.639,-108.821,5.9,82.732990384,usp000ds95,2005-06-05 08:28:50.900000,23.674,-108.366,5.6,128.415897425,0.3,45.682907041
usp000cmfn,2004-02-18 10:59:19.380000,23.639,-108.821,5.9,82.732990384,usp000hnpe,2010-10-28 02:22:25.270000,23.084,-108.454,5.6,140.708885655,0.3,57.975895271
usp000cmfn,2004-02-18 10:59:19.380000,23.639,-108.821,5.9,82.732990384,usb000sjt0,2014-10-08 02:40:53.110000,23.8441,-108.3311,6.1,131.921301374,0.2,49.18831099
usp000cmfn,2004-02-18 10:59:19.380000,23.639,-108.821,5.9,82.732990384,us2000at0m,2017-09-22 05:33:43.940000,23.5482,-108.831,5.6,83.9431593557,0.3,1.2101689717
usp000ds95,2005-06-05 08:28:50.900000,23.674,-108.366,5.6,128.415897425,usp000hnpe,2010-10-28 02:22:25.270000,23.084,-108.454,5.6,140.708885655,0.0,12.29298823
usp000ds95,2005-06-05 08:28:50.900000,23.674,-108.366,5.6,128.415897425,us2000at0m,2017-09-22 05:33:43.940000,23.5482,-108.831,5.6,83.9431593557,0.0,44.4727380693
usp000hnpe,2010-10-28 02:22:25.270000,23.084,-108.454,5.6,140.708885655,us2000at0m,2017-09-22 05:33:43.940000,23.5482,-108.831,5.6,83.9431593557,0.0,56.7657262993
usb000sjt0,2014-10-08 02:40:53.110000,23.8441,-108.3311,6.1,131.921301374,us70009n5p,2020-05-22 08:46:06.973000,22.4152,-108.1275,6.1,213.336639153,0.0,81.415337779
