net,sta,lat,lon,dep,azi,dist
II,BRVK,53.0581,70.2828,330.0,0.854707226617,11568.613671
IU,ANMO,34.94591,-106.4572,1820.0,7.4765121607,1327.99760609
IU,KEV,69.7565,27.0035,100.0,14.2444595953,9118.73299723
IU,SFJD,66.9961,-50.62076,330.0,23.4290525402,6279.94343707
II,BORG,64.7474,-21.3268,110.0,27.4197090373,7568.49334113
G,IVI,61.205808,-48.171178,15.0,30.4797391963,6195.38373881
IU,CCM,38.0557,-91.2446,222.0,40.523599416,2325.69218969
IU,WCI,38.2289,-86.2939,210.0,46.2190657012,2686.36550844
IU,WVT,36.1297,-87.83,170.0,49.14367599,2448.35282515
IU,HKT,29.96478,-95.83812,69.0,55.8224019805,1459.22156278
IU,TBT,28.6794,-17.9145,180.0,63.1509281962,8855.36844177
IU,BBSR,32.371299,-64.696299,30.0,66.6046485866,4393.37453114
IU,DWPF,28.1103,-81.4327,30.0,72.653047978,2753.47090391
II,SACV,14.9702,-23.6085,387.0,78.0401628138,8847.85093796
CU,GTBY,19.9268,-75.1108,79.0,89.3794531558,3453.05461179
IU,TEIG,20.2263,-88.2763,40.0,94.8233762255,2098.48637406
G,KOG,5.207,-52.731998,10.0,99.3566054301,6277.8146248
IU,SDV,8.8839,-70.634,1620.0,105.095319679,4313.18453873
G,UNM,19.329662,-99.178062,2280.0,111.87205228,1037.08566028
II,JTS,10.2908,-84.9525,340.0,115.753676762,2860.60933492
IU,OTAV,0.2376,-78.4508,3510.0,123.820299183,4102.94313413
II,NNA,-11.9875,-76.8422,575.0,135.207418555,5179.39807701
IU,PAYG,-0.6742,-90.2861,270.0,140.891358938,3275.23381991
G,PEL,-33.143607,-70.67494,700.0,145.993943513,7395.07452435
G,COYC,-45.57299,-72.08139,235.0,154.640716988,8441.28999504
IU,PMSA,-64.7744,-64.0489,40.0,162.563611742,10453.9961077
G,PAF,-49.351,70.210708,17.0,177.881862848,17085.6895571
II,RPN,-27.1267,-109.3344,110.0,181.163875701,5555.88445699
IU,SBA,-77.8492,166.7572,50.0,193.058641654,12376.477554
IU,CASY,-66.2792,110.5354,10.0,199.34033554,14481.4967636
IU,PTCN,-25.0713,-130.0953,220.0,205.149085284,5821.98987088
AU,MCQ,-54.4986,158.9561,14.0,218.266019164,12234.9691705
IU,SNZO,-41.3087,174.7043,120.0,227.518448482,10651.4397487
G,TAOE,-8.85492,-140.14775,800.0,228.078067545,4948.34116684
IU,RAO,-29.245,-177.929,60.0,235.355082205,9434.08417846
IU,AFI,-13.9085,-171.7827,706.0,245.910524914,8029.66707032
G,FUTU,-14.307673,-178.121063,97.0,248.63684372,8650.10081931
IU,XMAS,2.0448,-157.4457,20.0,253.648400693,5782.43524487
IU,HNR,-9.4387,159.9475,100.0,262.092873812,10596.4016134
IU,TARA,1.3549,172.9229,20.0,266.910637275,8804.46900094
IU,POHA,19.7573,-155.5326,1990.0,275.019885686,4886.57458702
G,KIP,21.42,-158.0112,110.0,278.022197317,5099.1063098
H2,H2O,27.88191,-141.99173,-4947.0,286.099321351,3415.06186932
IU,MIDW,28.2156,-177.3698,20.0,290.711500121,6862.99271407
MS,BTDF,1.3617,103.775002,57.0,303.943113741,15617.1968219
G,INU,35.35,137.029,132.0,311.930296657,10574.442764
IU,ADK,51.8823,-176.6842,130.0,317.796289545,6547.75729843
G,SCZ,36.59798,-121.40481,261.0,322.974661837,1955.75754589
II,PFO,33.6107,-116.4555,1280.0,327.561077002,1411.68686201
IM,NV32,38.334301,-118.2995,1829.0,333.001264934,1939.14860036
IM,IL19,64.746101,-146.797394,549.0,339.195105556,5400.27876495
IU,TUC,32.3098,-110.7847,910.0,347.268679451,1051.05746976
II,NVS,54.8404,83.2346,150.0,353.234598408,11301.1477199
IM,PD11,42.752602,-109.576897,2182.0,357.281321269,2185.0794586
