id,time,lat,lon,mag,group
usp00056ga,1992-04-26 17:19:58.760000,-56.7828547653,-142.013337235,5.451,1
usp0006kpc,1994-10-06 15:42:14.180000,-56.6928694288,-142.258570449,5.5,1
usp0006nr2,1994-11-16 06:54:03.170000,-56.4843959479,-142.758849452,5.8,1
usp00072aj,1995-08-23 13:14:42.430000,-56.872457948,-141.887528427,6.3,1
usp00074us,1995-10-09 07:50:46.050000,-56.0594974173,-144.174464431,5.6,1
usp00078t4,1995-12-11 06:48:55.800000,-56.6506567292,-142.514979697,5.4,1
usp00081ex,1997-04-28 20:43:00.560000,-56.3074502387,-143.12081744,5.4,1
usp0008mwj,1998-05-11 13:22:25.880000,-56.8370648281,-141.894473714,5.3,1
usp0008wd3,1998-10-11 23:36:22.370000,-56.4479403029,-143.000461996,6.3,1
usp0008wd7,1998-10-11 23:57:30.050000,-56.3863863357,-143.436158301,5.81,1
usp00095a6,1999-03-27 21:02:46.270000,-56.9920335566,-141.270403838,5.8,1
usp0009ct6,1999-08-08 15:15:34.210000,-56.4178073339,-143.113194738,5.6,1
usp0009fmt,1999-10-09 14:11:25.830000,-56.2002456577,-143.501608591,5.4,1
usp000a0mn,2000-09-21 17:45:51.470000,-56.7931251863,-141.993443361,5.6,1
usp000a5gx,2000-12-04 22:16:37.440000,-56.2650227425,-143.390296693,5.3,1
usp000aehw,2001-05-07 00:33:23.800000,-55.997606009,-144.352709251,6.2,1
usp000aehy,2001-05-07 01:56:30.150000,-55.9804023952,-144.361190905,5.4,1
usp000any6,2001-09-10 10:22:45.830000,-56.6741633856,-142.289630465,5.1,1
usp000b8ck,2002-07-19 06:43:55.100000,-56.9788719248,-141.410594367,6.1,1
usp000besw,2002-10-18 11:16:48.310000,-56.5622225225,-142.622441058,6.1,1
usp000bqzp,2003-02-19 00:42:52.270000,-56.6198070461,-142.416471657,5.6,1
usp000c64x,2003-08-28 17:41:02.250000,-56.2220404315,-143.40563854,5.5,1
usp000cmj7,2004-02-19 04:59:09.120000,-56.2808022816,-143.316792686,5.1,1
