id,time,lat,lon,mag,along_strike_distance
usp0004cr6,1990-07-30 16:24:53.870000,-41.333,-88.411,5.5,9878.4464865
usp0004e78,1990-09-02 10:06:52.080000,-41.21,-90.129,5.6,10022.3120289
usp0004ja6,1990-12-18 15:01:23.730000,-40.421,-91.738,5.2,10159.2069448
usp0004jrr,1990-12-25 07:51:10.300000,-40.732,-85.765,5.7,9653.99744267
usp0004ufy,1991-07-22 08:36:03.500000,-40.998,-90.849,5.451,10082.9853213
usp00055up,1992-04-15 10:38:06.540000,-41.115,-91.741,5.1,10157.7311546
usp0005wjd,1993-07-16 22:45:42.440000,-41.441,-87.367,5.37,9791.40720519
usp00068fq,1994-02-13 14:21:28.540000,-41.446,-89.421,5.7,9963.04032888
usp0006n6v,1994-11-06 20:11:03.940000,-41.322,-90.268,5.562,10033.8985953
usp0006nuy,1994-11-18 05:32:47.850000,-41.938,-83.784,5.3,9496.18700428
usp0007h0x,1996-05-06 09:41:40.180000,-41.213,-86.296,5.5,9700.93874037
usp0007qyc,1996-10-04 19:13:18.240000,-41.559,-89.262,5.1,9949.82786574
usp00080sn,1997-04-18 12:49:24.300000,-41.069,-91.406,5.5,10129.696688
usp0008ckj,1997-12-13 19:22:58.740000,-41.397,-87.444,5.7,9797.70836464
usp0008vru,1998-09-30 09:33:19.140000,-41.156,-85.971,5.4,9673.43020296
usp0008vtd,1998-10-01 02:37:11.760000,-40.677,-85.868,5.3,9662.41803042
usp0009bge,1999-07-12 12:05:17.560000,-41.448,-85.595,5.1,9643.4651855
usp0009n19,2000-02-04 07:02:11.390000,-40.631,-85.918,5.3,9666.41721785
usp000an6u,2001-08-28 09:38:01.130000,-41.495,-90.728,5.6,10072.1986978
usp000ap3d,2001-09-13 09:21:33.880000,-41.515,-84.702,5.0,9569.38732881
usp000au57,2001-12-07 04:32:40.870000,-41.398,-88.334,5.7,9872.12148591
usp000awwf,2002-01-21 07:52:29.440000,-41.465,-85.638,5.5,9647.1445235
usp000bube,2003-04-04 10:46:53.330000,-41.381,-86.14,5.5,9688.64813824
usp000ce57,2003-11-29 16:48:04.380000,-41.709,-84.155,5.3,9525.21806692
usp000dqm3,2005-05-12 12:57:46.450000,-41.413,-88.626,5.4,9896.55991782
usp000eeh1,2006-04-14 13:37:54.410000,-41.342,-87.592,5.1,9809.92743421
gcmtc200607270712a,2006-07-27 07:12:56,-41.5,-90.5,5.1,10053.1563475
usp000epwp,2006-07-30 14:50:26.540000,-41.698,-85.014,5.1,9596.51208924
usp000eth1,2006-09-21 09:27:58.850000,-40.931,-91.85,5.1,10167.3699295
usp000eu50,2006-09-30 13:47:01.110000,-41.553,-86.728,5.0,9738.46966609
usp000ex68,2006-11-11 22:10:28.720000,-41.481,-85.613,5.0,9645.1439172
