id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us7000cjqt,2020-11-25 22:37:42.962000,-41.1284072092,-90.3990570429,5.7,us60006t11,2019-12-18 04:44:14.540000,-41.1746453755,-89.2829378124,5.4,93.8294822215,95.6170424986,8.02678768103,93.5043474485,91.9335803766,5.21168834073,1,1
us7000cjqt,2020-11-25 22:37:42.962000,-41.1284072092,-90.3990570429,5.7,us20005gtl,2016-04-10 15:46:11.370000,-41.0914351945,-91.2479017058,5.532,71.4167658231,71.3702086526,12.3568576836,273.016788088,272.551978043,9.62604684318,1,1
us7000cjqt,2020-11-25 22:37:42.962000,-41.1284072092,-90.3990570429,5.7,us20004gtz,2015-12-12 23:32:54.860000,-41.111335617,-90.343166142,5.5,5.06229163257,5.06226740599,1.00348394393,68.0240102268,67.9872170791,13.6306373415,1,1
us7000cjqt,2020-11-25 22:37:42.962000,-41.1284072092,-90.3990570429,5.7,usb000q6t9,2014-05-01 10:12:37.130000,-41.1927476847,-89.3533354596,5.4,88.0579491608,88.0582398903,1.30487126766,94.9983623723,94.3100861209,0.965077553024,1,1
us7000cjqt,2020-11-25 22:37:42.962000,-41.1284072092,-90.3990570429,5.7,usp000hsj7,2011-01-03 23:10:15.020000,-41.1293030665,-90.5142905065,5.3,9.67679351077,10.386277787,8.7147626684,269.373013171,257.962444363,82.6545691309,1,1
us7000cjqt,2020-11-25 22:37:42.962000,-41.1284072092,-90.3990570429,5.7,usp000hb3k,2010-04-10 06:29:59.870000,-41.1035386972,-90.2907628033,5.8,9.50543145523,9.35148823616,1.5273287316,73.1447380806,75.6766544413,13.4603308955,1,1
us7000cjqt,2020-11-25 22:37:42.962000,-41.1284072092,-90.3990570429,5.7,usp000h9uq,2010-03-22 08:52:20.720000,-41.160100803,-89.0323705307,5.4,114.788153192,114.759298262,9.73605321502,92.2066753663,89.8888262985,3.8503615107,1,1
us60006t11,2019-12-18 04:44:14.540000,-41.1746453755,-89.2829378124,5.4,usb000q6t9,2014-05-01 10:12:37.130000,-41.1927476847,-89.3533354596,5.4,6.23921272465,6.11161090223,5.24758433646,251.179616747,266.360142936,77.7269514616,1,1
us60006t11,2019-12-18 04:44:14.540000,-41.1746453755,-89.2829378124,5.4,usp000au57,2001-12-07 04:32:40.870000,-41.2482913049,-88.2403622516,5.7,87.8174981725,85.9028540136,3.34617298358,95.6873145155,94.7769427629,1.29726801305,1,1
us60006t11,2019-12-18 04:44:14.540000,-41.1746453755,-89.2829378124,5.4,usp0006n6v,1994-11-06 20:11:03.940000,-41.1101921577,-90.3750424744,5.562,91.9647331973,89.1268672396,2.6798945458,274.104622783,273.044313774,1.71678712932,1,1
us60006t11,2019-12-18 04:44:14.540000,-41.1746453755,-89.2829378124,5.4,usp00068fq,1994-02-13 14:21:28.540000,-41.2110056082,-89.5727429301,5.7,24.6446709858,20.4078597259,16.5169935254,260.47403435,252.204737933,68.3900621998,1,1
us2000kbur,2019-04-07 15:45:08.095000,-41.0077222235,-88.2236702389,5.7,us100049hf,2015-12-25 17:58:04.970000,-41.3186772922,-88.0493562087,5.8,37.5047589657,110.872453754,25.5735981375,157.098110394,90.8130026852,12.218177593,1,1
