id,time,lat,lon,mag,group
usp00068fq,1994-02-13 14:21:28.540000,-41.2110056082,-89.5727429301,5.7,1
usp0006n6v,1994-11-06 20:11:03.940000,-41.1101921577,-90.3750424744,5.562,1
usp0007h0x,1996-05-06 09:41:40.180000,-41.319898146,-88.1310430478,5.5,1
usp00080sn,1997-04-18 12:49:24.300000,-41.0792500928,-91.2862363366,5.5,1
usp0008ckj,1997-12-13 19:22:58.740000,-40.9993192947,-88.2162866623,5.7,1
usp0008vru,1998-09-30 09:33:19.140000,-41.3320863544,-88.1000064094,5.4,1
usp0008vtd,1998-10-01 02:37:11.760000,-41.3205461247,-88.0584691659,5.3,1
usp0009n19,2000-02-04 07:02:11.390000,-41.3130299985,-88.1408489878,5.3,1
usp000an6u,2001-08-28 09:38:01.130000,-41.1118278905,-90.3925921444,5.6,1
usp000au57,2001-12-07 04:32:40.870000,-41.2482913049,-88.2403622516,5.7,1
usp000awwf,2002-01-21 07:52:29.440000,-41.3016203753,-88.0043691976,5.5,1
usp000bube,2003-04-04 10:46:53.330000,-41.3210795936,-88.1422978033,5.5,1
usp000ce57,2003-11-29 16:48:04.380000,-41.2591348002,-86.156691434,5.3,1
usp000dqm3,2005-05-12 12:57:46.450000,-41.2690569408,-88.6843137035,5.4,1
usp000f03m,2006-12-12 23:08:35.680000,-41.2977234978,-87.9438402244,5.5,1
usp000f03p,2006-12-12 23:40:38.580000,-41.3101853348,-88.0443101562,5.3,1
usp000fqyb,2007-10-20 11:02:42.560000,-41.173678584,-89.3317645727,5.3,1
usp000gy2f,2009-06-10 23:13:21.080000,-41.2546258526,-86.1487745802,5.7,1
usp000gzv1,2009-07-31 11:01:19.750000,-41.0832607436,-91.2241925408,5.3,1
usp000h17v,2009-09-04 17:59:41,-41.3204597584,-88.130841653,5.4,1
usp000h7ez,2010-02-19 05:22:17.360000,-41.4033327277,-88.7239369996,5.3,1
usp000h9uq,2010-03-22 08:52:20.720000,-41.160100803,-89.0323705307,5.4,1
usp000hb3k,2010-04-10 06:29:59.870000,-41.1035386972,-90.2907628033,5.8,1
usp000hnkg,2010-10-26 02:08:29.180000,-41.3127307664,-88.0272175459,5.6,1
usp000hsj7,2011-01-03 23:10:15.020000,-41.1293030665,-90.5142905065,5.3,1
usp000j79k,2011-08-30 22:50:59.540000,-41.2403250055,-87.6576741736,5.3,1
us2013qgbj,2013-05-16 23:13:27.470000,-41.0004711589,-88.2142188241,5.37,1
usb000k7px,2013-10-06 16:16:04.890000,-41.3301385274,-87.7864292313,5.37,1
usc000lkl6,2013-12-14 14:19:29.880000,-41.4047985806,-88.7560404622,5.451,1
usb000m8mu,2014-01-27 02:28:56.890000,-41.1452045855,-89.7478439713,5.451,1
usc000nbfu,2014-03-14 17:34:38.500000,-41.2193918786,-90.3626736748,5.37,1
usb000q6t9,2014-05-01 10:12:37.130000,-41.1927476847,-89.3533354596,5.4,1
usb000s1vq,2014-08-11 13:32:20.240000,-41.2977195666,-87.9438376524,5.5,1
usb000tiwy,2015-01-28 13:25:33.710000,-41.251020126,-87.4918553189,5.451,1
us200025ji,2015-04-10 06:10:38.910000,-41.2550322952,-88.6639603355,5.3,1
us20004gtz,2015-12-12 23:32:54.860000,-41.111335617,-90.343166142,5.5,1
us100049hf,2015-12-25 17:58:04.970000,-41.3186772922,-88.0493562087,5.8,1
us20005gtl,2016-04-10 15:46:11.370000,-41.0914351945,-91.2479017058,5.532,1
us20007c65,2016-10-05 18:47:49.040000,-41.271876993,-87.901735446,5.532,1
us20009plm,2017-06-25 09:45:51.200000,-41.1056939353,-90.3009165572,5.451,1
us2000bldw,2017-11-10 12:01:33.950000,-41.2550474874,-86.1498974702,5.8,1
us2000jcg3,2019-02-02 17:55:38.800000,-41.2772915717,-88.3394328619,5.5,1
us2000kbur,2019-04-07 15:45:08.095000,-41.0077222235,-88.2236702389,5.7,1
us60006t11,2019-12-18 04:44:14.540000,-41.1746453755,-89.2829378124,5.4,1
us60008bmi,2020-03-07 12:43:06.584000,-41.0792145584,-91.2862909569,5.451,1
us7000cjqt,2020-11-25 22:37:42.962000,-41.1284072092,-90.3990570429,5.7,1
