time,mag,magType,lat,lon,dep,text,id
1963-11-16 06:46:17,5.9,mw,-41.437,-87.812,15000.0,West Chile Rise,iscgem873544
1964-04-19 05:12:59,5.9,mw,-41.767,-83.967,10000.0,West Chile Rise,iscgem868916
1974-11-04 21:11:44,5.0,mb,-41.426,-87.516,33000.0,West Chile Rise,usp00008pc
1974-12-12 02:44:49,5.2,mb,-41.525,-84.732,33000.0,West Chile Rise,usp000093j
1975-11-03 05:22:10.400000,5.3,mb,-41.451,-85.955,33000.0,West Chile Rise,usp0000de0
1976-08-19 04:21:20.200000,5.0,mb,-41.324,-88.978,33000.0,West Chile Rise,usp0000hy2
1976-09-08 13:08:54.100000,5.3,mb,-41.526,-84.627,33000.0,West Chile Rise,usp0000j9r
1976-09-09 12:56:10.400000,5.2,ms,-41.268,-88.21,33000.0,West Chile Rise,usp0000jaa
1976-12-20 06:35:30.900000,5.1,mb,-40.402,-91.657,33000.0,West Chile Rise,usp0000kuq
1977-01-13 14:02:30.400000,5.0,mb,-41.046,-90.877,33000.0,southeast of Easter Island,usp0000m5m
1977-04-26 10:48:00.200000,5.0,ms,-41.316,-89.273,33000.0,southeast of Easter Island,usp0000nmz
1977-07-02 11:49:40.600000,5.1,mb,-41.724,-84.056,33000.0,West Chile Rise,usp0000pk2
1977-11-27 17:28:04.200000,5.3,mb,-41.546,-90.647,33000.0,southeast of Easter Island,usp0000rtv
1978-12-25 03:28:14.300000,5.2,ms,-41.5,-86.05,10000.0,West Chile Rise,usp0000y3p
1979-10-08 09:48:35.200000,5.3,mb,-41.885,-83.772,10000.0,West Chile Rise,usp00013ac
1979-11-03 04:22:15.100000,5.2,mb,-41.753,-84.048,10000.0,West Chile Rise,usp00013u2
1981-05-16 23:55:47.140000,5.0,ms,-41.381,-85.846,10000.0,West Chile Rise,usp0001dqb
1981-09-24 08:26:30.790000,5.0,mb,-41.522,-88.488,10000.0,West Chile Rise,usp0001g2h
1982-12-08 18:04:47.170000,5.5,ms,-41.391,-87.65,10000.0,West Chile Rise,usp0001ray
1983-08-01 13:24:08.360000,5.0,ms,-40.395,-91.751,10000.0,West Chile Rise,usp0001x97
1983-09-24 15:51:57.770000,5.5,mb,-41.853,-83.61,10000.0,West Chile Rise,usp0001ymp
1984-01-12 11:51:37.650000,5.1,mb,-41.105,-89.753,10000.0,southeast of Easter Island,usp0002161
1985-08-05 05:31:55.780000,5.0,ms,-41.481,-85.697,10000.0,West Chile Rise,usp0002hda
1985-08-06 02:29:44.140000,5.9,mw,-41.192,-85.894,10000.0,West Chile Rise,usp0002he7
1988-05-13 14:51:39.650000,5.4,mw,-41.039,-91.206,10000.0,southeast of Easter Island,usp0003fxy
1988-07-16 01:16:49.370000,5.4,mw,-41.273,-88.513,10000.0,West Chile Rise,usp0003hwv
1989-06-24 04:45:47.400000,5.0,mb,-41.062,-88.302,10000.0,West Chile Rise,usp0003wk0
1989-12-26 01:30:13.850000,5.9,mw,-41.714,-83.954,10000.0,West Chile Rise,usp00043jt
1990-07-30 16:24:53.870000,5.5,mw,-41.333,-88.411,10000.0,West Chile Rise,usp0004cr6
1990-09-02 10:06:52.080000,5.6,mw,-41.21,-90.129,10000.0,southeast of Easter Island,usp0004e78
1990-12-18 15:01:23.730000,5.2,mw,-40.421,-91.738,17600.0,West Chile Rise,usp0004ja6
1990-12-25 07:51:10.300000,5.7,mw,-40.732,-85.765,10000.0,West Chile Rise,usp0004jrr
1991-07-22 08:36:03.500000,5.1,mb,-40.998,-90.849,10000.0,West Chile Rise,usp0004ufy
1992-04-15 10:38:06.540000,5.1,mw,-41.115,-91.741,10000.0,southeast of Easter Island,usp00055up
1993-07-16 22:45:42.440000,5.0,mb,-41.441,-87.367,10000.0,West Chile Rise,usp0005wjd
