id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us20009pjx,2017-06-25 03:01:59.140000,-9.4985786157,66.4267955866,5.6,us2000k7im,2019-03-30 06:27:23.331000,-9.76249346804,66.5297403229,5.8,31.3010144521,31.2939954628,20.7865815079,158.847664751,166.265934186,39.6268132387,1,1
us1000429g,2015-11-30 20:19:05.270000,-9.16461447394,66.8988983888,5.5,us2000k7im,2019-03-30 06:27:23.331000,-9.76249346804,66.5297403229,5.8,77.5647841717,65.8175675686,42.1387040984,211.479673859,215.412848051,55.4788646377,1,1
usb000rzg0,2014-08-02 10:33:26.440000,-9.33039972476,66.6315466116,5.5,us2000k7im,2019-03-30 06:27:23.331000,-9.76249346804,66.5297403229,5.8,49.0812520603,40.9980335799,26.9850791586,193.15485455,194.787434807,57.8829041533,1,1
usp000ju5t,2012-10-19 10:13:54.990000,-9.46816810662,66.4875697372,5.6,us2000k7im,2019-03-30 06:27:23.331000,-9.76249346804,66.5297403229,5.8,32.8813808809,31.118302674,51.2705498067,171.910793685,179.255299405,78.7535708297,1,1
usp000ftxc,2007-12-06 10:25:45.990000,-9.50705139459,66.4257046267,5.4,us2000k7im,2019-03-30 06:27:23.331000,-9.76249346804,66.5297403229,5.8,30.4735723242,21.8875361281,44.2086834471,158.001968074,152.181545861,71.2491000568,1,1
usp000czds,2004-07-02 11:57:09.630000,-9.12449162639,66.9659323169,5.7,us2000k7im,2019-03-30 06:27:23.331000,-9.76249346804,66.5297403229,5.8,85.2888052699,78.3229414536,25.8745203067,214.134788922,215.93746869,28.9505286425,1,1
usp000cwvf,2004-06-01 20:47:30.430000,-9.30067101968,66.7454837172,5.7,us2000k7im,2019-03-30 06:27:23.331000,-9.76249346804,66.5297403229,5.8,56.3046558617,54.7234224116,54.8504620348,204.860650371,206.729688357,81.934431992,1,1
usp000733j,1995-09-08 16:03:37.580000,-9.32356933373,66.6429472744,5.6,us2000k7im,2019-03-30 06:27:23.331000,-9.76249346804,66.5297403229,5.8,50.1128644267,53.9225865729,4.65387953989,194.350903799,194.371512545,4.51815268772,1,1
us1000429g,2015-11-30 20:19:05.270000,-9.16461447394,66.8988983888,5.5,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,63.2981046583,59.3246472508,25.3814859055,62.216221963,63.4583122077,41.7056373921,1,1
usb000rzg0,2014-08-02 10:33:26.440000,-9.33039972476,66.6315466116,5.5,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,97.8677766838,99.0111468838,24.5966677971,60.7711632056,59.1359749724,16.1452195862,1,1
usp000j7w9,2011-09-10 18:53:04.010000,-9.13740830053,66.9339282778,5.3,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,58.4955296957,56.1021044782,20.2265779413,63.0600756553,62.9848162997,38.939462989,1,1
usp000hvkc,2011-03-09 20:16:30.960000,-9.31060874961,66.6608979491,5.1,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,93.9855352908,97.0048706662,22.9045659043,60.9709547164,62.1151394941,19.5586714641,1,1
usp000hgqm,2010-07-24 20:28:05.630000,-8.86656310816,67.0771924065,5.1,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,36.5520228471,36.4173261967,28.5633927988,95.3945240333,225.805927848,52.1583203385,1,1
usp000heuh,2010-07-03 01:37:30.720000,-9.48707084668,66.4510930387,5.1,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,123.743977831,99.9207331931,31.4219831568,58.2762106264,66.5952683877,33.3570657178,1,1
usp000gzzz,2009-08-05 06:28:31.880000,-9.16123654675,67.0167030699,5.2,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,51.9840561585,64.4275468431,14.042798394,55.8950654397,50.1745318927,14.4450155593,1,1
usp000gxhq,2009-05-26 05:39:15.140000,-8.65641254968,67.0901336961,5.0,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,43.9814918401,23.5392194406,34.5599282836,127.341412609,172.211148198,76.6905897411,1,1
usp000fuky,2007-12-17 02:53:29.450000,-9.31826416492,66.7053227236,5.0,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,90.1827602953,90.302584623,26.2420114659,58.9883400057,57.2356970834,22.9671354467,1,1
usp000ftxc,2007-12-06 10:25:45.990000,-9.50705139459,66.4257046267,5.4,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,127.27791109,127.277679422,49.5772090894,58.0940456183,58.4137297587,30.5818860512,1,1
usp000fj3e,2007-08-07 10:12:21.440000,-9.43136844174,66.5157681158,5.0,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,114.472960002,105.797648276,27.2456520611,59.0187848118,62.1912189034,17.9054469314,1,1
usp000d6ez,2004-10-15 22:40:25.070000,-8.90077827578,67.1785047402,5.0,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,25.249429811,5.3608196997,5.18235081285,89.1915931072,128.399480971,64.3385130495,1,1
usp000crxd,2004-04-07 14:49:52.530000,-9.456598361,66.5639307273,5.3,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,111.492492145,120.226718251,8.01067696669,56.3814878963,58.6631465122,4.60182823129,1,1
usp00098nn,1999-05-24 14:38:11.480000,-8.79286097746,67.1892883644,5.3,us1000bylw,2017-12-31 20:27:49.390000,-8.89748657082,67.4080456503,5.1,26.7018880193,73.1568297112,28.1318269594,115.698045369,42.5936061059,33.6412476151,1,1
usp000cwvf,2004-06-01 20:47:30.430000,-9.30067101968,66.7454837172,5.7,us20009pjx,2017-06-25 03:01:59.140000,-9.4985786157,66.4267955866,5.6,41.2837980842,42.7925171216,44.2419121189,237.953984432,238.205233354,102.634840288,1,1
usb000rzg0,2014-08-02 10:33:26.440000,-9.33039972476,66.6315466116,5.5,us1000429g,2015-11-30 20:19:05.270000,-9.16461447394,66.8988983888,5.5,34.6300557031,34.3528326866,3.28857555031,58.0504073157,57.7732127605,6.04873886273,1,1
usp000ju5t,2012-10-19 10:13:54.990000,-9.46816810662,66.4875697372,5.6,us1000429g,2015-11-30 20:19:05.270000,-9.16461447394,66.8988983888,5.5,56.2960644026,57.2340791527,6.35040806273,53.422140304,53.3007937329,6.50318196254,1,1
usp000j7w9,2011-09-10 18:53:04.010000,-9.13740830053,66.9339282778,5.3,us1000429g,2015-11-30 20:19:05.270000,-9.16461447394,66.8988983888,5.5,4.8865695054,5.13061801224,2.72817067459,231.98836893,228.195032567,47.2891200182,1,1
usp000hvkc,2011-03-09 20:16:30.960000,-9.31060874961,66.6608979491,5.1,us1000429g,2015-11-30 20:19:05.270000,-9.16461447394,66.8988983888,5.5,30.7360344409,28.7370390617,6.41065570384,58.326878138,52.9614887067,19.2595366683,1,1
usp000hgqm,2010-07-24 20:28:05.630000,-8.86656310816,67.0771924065,5.1,us1000429g,2015-11-30 20:19:05.270000,-9.16461447394,66.8988983888,5.5,38.3536655275,61.7123524791,65.2870568261,210.725715991,186.541628889,79.0379732668,1,1
