id,time,lat,lon,mag,group
iscgem895851,1950-09-21 22:51:03,-9.369,66.535,5.9,-1
iscgem895853,1950-09-22 03:32:12,-9.348,66.138,5.9,-1
iscgem881195,1959-01-13 09:37:22,-8.939,67.239,5.9,-1
iscgem765745,1972-12-06 05:31:43,-9.207,67.351,5.8,-1
usp0000hmh,1976-07-29 21:44:49.600000,-9.354,67.069,5.451,-1
usp0000wzm,1978-10-12 20:03:15.700000,-8.935,67.666,5.5,-1
usp00014dd,1979-12-08 23:23:50.400000,-9.369,66.966,5.37,-1
usp0001fcf,1981-08-19 22:50:49.510000,-9.248,67.181,5.996,-1
usp0001gde,1981-10-11 11:14:45.360000,-7.856,68.409,5.686,-1
usp000247s,1984-05-08 19:34:04.500000,-8.639,67.991,5.37,-1
usp0003c7w,1988-01-20 20:50:46.520000,-9.201,67.12,5.5,-1
usp0003cq2,1988-02-03 20:24:53.960000,-9.208,66.978,5.7,-1
usp0003nrs,1988-11-10 17:11:30.640000,-10.244,66.424,5.1,-1
usp0003x8n,1989-07-12 02:41:39.250000,-8.129,68.355,5.8,-1
usp00060g6,1993-09-16 21:30:11.200000,-8.024,68.029,5.5,-1
usp00065j8,1993-12-24 16:49:44.170000,-9.313,67.323,5.37,-1
usp000733j,1995-09-08 16:03:37.580000,-9.32497621446,66.639195632,5.6,1
usp00075wy,1995-10-28 17:39:54.420000,-9.13539998826,66.9468608473,5.624,1
usp0008xzt,1998-11-10 20:26:35.900000,-9.13583165376,66.8633383457,5.37,1
usp0008z30,1998-12-02 23:41:17.800000,-9.19204293651,66.8717302418,5.9,1
usp00098nn,1999-05-24 14:38:11.480000,-8.44077384117,66.784179044,5.3,1
usp00099ce,1999-06-06 04:33:33.990000,-8.42028301281,66.7540499023,5.37,1
usp0009kcx,1999-12-28 07:30:33.990000,-8.65461986016,67.2085025427,5.0,1
usp000crxd,2004-04-07 14:49:52.530000,-9.45033874944,66.5648785239,5.3,1
usp000cwvf,2004-06-01 20:47:30.430000,-9.29992984788,66.7476953512,5.7,1
usp000czds,2004-07-02 11:57:09.630000,-9.12882098935,66.963956336,5.7,1
usp000d6ez,2004-10-15 22:40:25.070000,-8.84815263028,67.3163482375,5.0,1
usp000enfc,2006-07-12 14:44:45.960000,-9.00326743487,67.1802780318,5.7,1
usp000eupy,2006-10-08 11:56:54.150000,-9.18746869136,66.8634924203,5.3,1
usp000fj3e,2007-08-07 10:12:21.440000,-9.42510881906,66.5167163458,5.0,1
usp000ftxc,2007-12-06 10:25:45.990000,-9.50274965619,66.4258328145,5.4,1
usp000fuky,2007-12-17 02:53:29.450000,-9.31937439235,66.7104070437,5.0,1
usp000g9xf,2008-06-17 20:57:04.270000,-9.3424501686,66.6070516481,5.0,1
usp000gshe,2009-01-12 23:07:08.380000,-9.8385131939,66.0290532268,5.0,1
usp000gxhq,2009-05-26 05:39:15.140000,-8.66720397448,67.3270975376,5.0,1
usp000gzzz,2009-08-05 06:28:31.880000,-9.15789658314,67.0171999991,5.2,1
usp000heue,2010-07-03 00:37:25.260000,-9.50112462416,66.3871549533,5.1,1
gcmtc201007030037a,2010-07-03 00:37:28,-9.47370890518,66.3605625192,5.1,1
usp000heuh,2010-07-03 01:37:30.720000,-9.48278373733,66.4512033411,5.1,1
usp000hgqm,2010-07-24 20:28:05.630000,-8.50366724616,66.8589481637,5.1,1
usp000hvkc,2011-03-09 20:16:30.960000,-9.31467473073,66.6587547473,5.1,1
usp000j5hj,2011-07-26 14:26:22.870000,-9.35524691216,66.7232581067,5.8,1
usp000j7w9,2011-09-10 18:53:04.010000,-9.14230101176,66.9344750287,5.3,1
usp000ju5t,2012-10-19 10:13:54.990000,-9.46321241293,66.4887418466,5.6,1
usb000iecu,2013-07-15 07:49:03.420000,-9.13320801325,66.9535473792,5.4,1
usb000rzg0,2014-08-02 10:33:26.440000,-9.33181850029,66.6277596613,5.5,1
us20002edu,2015-05-11 17:42:02.020000,-8.12230281158,66.546424568,5.613,1
us1000429g,2015-11-30 20:19:05.270000,-9.16866640897,66.9006959391,5.5,1
us20009pjx,2017-06-25 03:01:59.140000,-9.49427572622,66.4269249895,5.6,1
us1000bylw,2017-12-31 20:27:49.390000,-8.87826461356,67.354560914,5.1,1
us2000k7im,2019-03-30 06:27:23.331000,-9.79725585896,66.5173630161,5.8,1
