net,sta,lat,lon,dep,azi,dist
IU,KBL,34.5408,69.0432,1920.0,0.865911454598,4453.14971718
II,NIL,33.6506,73.2686,629.0,6.44356665496,4384.4064323
IC,WMQ,43.8138,87.7049,850.0,17.6290972683,5816.47785874
G,HYB,17.41867,78.55213,510.0,23.4780448378,2790.16019809
IU,ULN,47.8651,107.0532,1610.0,28.0969870737,7035.20287444
IC,LSA,29.7031,91.127,3660.0,30.5706877254,4609.92044044
IC,XAN,34.0313,108.9237,630.0,41.1950071018,6124.51002695
II,PALK,7.2728,80.7022,460.0,43.8547420758,1982.59167573
IU,CHTO,18.8141,98.9443,420.0,50.3467343282,4312.03152791
IC,QIZ,19.0291,109.8445,240.0,57.9409393288,5305.70102558
IU,MIDW,28.2156,-177.3698,20.0,61.6300351871,12688.4174027
IU,WAKE,19.2834,166.652,20.0,71.427704916,11092.1691773
IU,GUMO,13.5893,144.8684,170.0,74.9146546423,8715.05570954
MS,BTDF,1.3617,103.775002,57.0,79.8557753884,4012.50015883
II,KAPI,-5.0142,119.7517,300.0,91.8721120614,5693.83949262
IU,PMG,-9.4047,147.1597,90.0,98.4301866044,8689.07615911
II,COCO,-12.1901,96.8349,1.0,104.932026469,3209.64025032
IU,MBWA,-21.159,119.7313,190.0,112.383415563,5790.2734913
G,TAOE,-8.85492,-140.14775,800.0,117.179510936,16480.5428014
G,CAN,-35.318714,148.996323,700.0,124.832090638,8799.33643736
IU,NWAO,-32.9277,117.239,380.0,127.418364419,5881.66649681
II,TAU,-42.9099,147.3204,132.0,132.607513738,8682.39182326
AU,MCQ,-54.4986,158.9561,14.0,144.302285704,9534.47209059
IU,PTCN,-25.0713,-130.0953,220.0,150.717202341,16065.2491834
G,DRV,-66.664909,140.002075,40.0,157.281304976,8622.98814372
G,AIS,-37.796349,77.569183,35.9,166.574668704,3676.2868085
G,PAF,-49.351,70.210708,17.0,178.252783384,4842.84155278
IU,SPA,-90.0,0.0,2927.0,180.0,9373.03171622
G,CRZF,-46.43096,51.855308,140.0,196.730061765,4786.45544897
G,RODM,-19.696196,63.44128,300.0,198.559899029,1639.10074439
II,HOPE,-54.2836,-36.4879,20.0,214.504177824,10450.5313419
G,RER,-21.1712,55.739861,834.0,217.314233864,2188.92007601
G,FOMA,-24.97565,46.978877,28.0,224.669431168,3125.04018029
II,SUR,-32.3797,20.8117,1770.0,232.74788789,5745.03208756
II,ABPO,-19.018,47.229,1528.0,235.377519166,2725.92876855
GT,LBTB,-25.0151,25.596649,1128.0,240.164554365,5034.42632727
IU,TSUM,-19.2022,17.5838,1260.0,249.964894794,5697.05959009
IU,LSZ,-15.2779,28.1882,1200.0,253.178415298,4516.20538776
II,ASCN,-7.9327,-14.3601,173.0,262.756098006,9133.42084912
IU,PTGA,-0.7308,-59.9666,237.0,264.542871054,14250.6672683
II,MSEY,-4.6737,55.4792,475.0,273.883234568,1433.35690428
IU,KMBO,-1.1271,37.2525,1950.0,277.143399263,3493.25244597
IU,KOWA,14.4967,-4.014,321.0,286.678682237,8292.81697721
CU,ANWB,17.66853,-61.78557,39.0,288.330387851,14458.2835414
IU,AAE,9.0292,38.7656,2442.0,296.161750797,3665.90699717
G,ATD,11.530725,42.846634,610.0,303.989941511,3408.11028344
IU,TOL,39.8814,-4.048499,480.0,311.964677787,8934.57437192
II,RAYN,23.5225,45.5032,631.0,323.288607143,4076.28455046
IU,ANTO,39.868,32.7934,1090.0,327.303370057,6224.22566566
IU,KIEV,50.7012,29.2242,180.0,333.847427739,7285.47193641
II,UOSS,24.9453,56.2042,284.4,339.248147245,3636.08452125
II,LVZ,67.8979,34.6514,630.0,347.580633206,8580.5085815
II,ABKT,37.9304,58.1189,678.0,348.410037573,4944.13892327
II,ALE,82.5033,-62.35,60.0,354.211031507,11173.2080914
