id,time,lat,lon,mag,along_strike_distance
usp00047g7,1990-04-05 13:32:21.810000,-40.957,81.172,5.532,9269.51244914
usp00047ha,1990-04-06 02:32:34.510000,-40.953,80.724,5.937,9231.9431406
usp00047hv,1990-04-06 05:43:05.640000,-41.093,80.906,5.8,9248.76928488
usp000502c,1991-12-05 09:15:28.100000,-41.266,80.401,5.9,9208.65101083
usp00065fh,1993-12-22 15:08:52.500000,-40.65,81.104,5.532,9260.43587042
usp00077hm,1995-11-26 04:15:53.370000,-41.982,79.924,5.5,9178.04019393
usp0007j86,1996-06-06 17:35:38.190000,-41.329,80.666,6.3,9231.46640865
usp0007nsn,1996-08-19 06:24:11.020000,-41.523,80.416,6.1,9212.99286963
usp00086gu,1997-08-20 13:51:16.620000,-41.715,80.134,6.5,9191.9898066
usp000cz2q,2004-06-28 12:57:45.950000,-41.064,80.903,5.6,9248.18999053
usp000eujn,2006-10-06 05:08:53.740000,-41.189,80.641,5.7,9227.7459092
usp000f5qw,2007-02-27 01:35:36.350000,-41.596,79.997,5.4,9179.15774193
usp000fu3j,2007-12-09 05:56:22.860000,-41.173,80.666,5.1,9229.64510931
usp000g867,2008-05-31 04:37:56.010000,-41.198,80.479,6.4,9214.33903416
usp000htsr,2011-01-28 23:57:41.620000,-41.018,80.834,5.2,9241.89592185
usp000htst,2011-01-29 00:27:43.290000,-41.171,80.747,5.1,9236.38189676
usc000stlt,2014-11-03 08:48:29.740000,-41.7317,79.9602,6.3,9177.83167844
usc000stn9,2014-11-03 12:36:17.740000,-41.8079,79.9595,5.451,9178.74293872
usc000tvgw,2015-03-06 08:22:18.960000,-41.3157,80.6046,6.0,9226.19848999
us10002a3x,2015-05-18 04:02:46.580000,-41.5553,80.3254,5.7,9205.86954091
us20009pgd,2017-06-24 07:27:07.710000,-41.2381,80.6383,5.5,9228.09521425
us1000de5q,2018-04-04 13:11:42.160000,-41.6461,80.1237,5.37,9190.27808428
