id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usc000tvgw,2015-03-06 08:22:18.960000,-41.3158861871,80.6047694746,6.0,usc000stlt,2014-11-03 08:48:29.740000,-41.740095545,79.9828941778,6.3,70.0964961243,70.2657176697,38.9380598427,227.562266533,229.255954529,49.2486440913,1,1
usc000stlt,2014-11-03 08:48:29.740000,-41.740095545,79.9828941778,6.3,usp0007nsn,1996-08-19 06:24:11.020000,-41.5420412622,80.2697617806,6.1,32.4822516273,32.4835644329,0.766237412131,47.4697845453,47.4680158249,1.89193097816,1,1
usc000stlt,2014-11-03 08:48:29.740000,-41.740095545,79.9828941778,6.3,usp0007j86,1996-06-06 17:35:38.190000,-41.3565525296,80.5329735728,6.3,62.6174271339,62.1494793762,1.80779786401,47.3165976468,49.4075024772,2.6379479826,1,1
usc000tvgw,2015-03-06 08:22:18.960000,-41.3158861871,80.6047694746,6.0,usp000g867,2008-05-31 04:37:56.010000,-41.4450361835,80.3995224891,6.4,22.3719774532,22.9493167757,0.758917401958,230.055367234,229.174383366,2.03167628243,1,1
usc000stlt,2014-11-03 08:48:29.740000,-41.740095545,79.9828941778,6.3,usp000g867,2008-05-31 04:37:56.010000,-41.4450361835,80.3995224891,6.4,47.7556106207,47.7557780239,1.17124322225,46.8069073375,46.6552292671,1.74295508727,1,1
usp000g867,2008-05-31 04:37:56.010000,-41.4450361835,80.3995224891,6.4,usp00086gu,1997-08-20 13:51:16.620000,-41.6883086071,80.052717151,6.5,39.5828873602,38.2769149213,32.497901211,226.838505561,227.494138468,75.6075238815,1,1
usp000g867,2008-05-31 04:37:56.010000,-41.4450361835,80.3995224891,6.4,usp0007nsn,1996-08-19 06:24:11.020000,-41.5420412622,80.2697617806,6.1,15.2801544698,15.2828616428,9.17977016389,225.121098481,224.425883641,52.9965831344,1,1
usp000g867,2008-05-31 04:37:56.010000,-41.4450361835,80.3995224891,6.4,usp0007j86,1996-06-06 17:35:38.190000,-41.3565525296,80.5329735728,6.3,14.8697754569,14.7156259968,0.77835968852,48.6771105059,52.2039845603,3.76711852044,1,1
usc000tvgw,2015-03-06 08:22:18.960000,-41.3158861871,80.6047694746,6.0,usp00086gu,1997-08-20 13:51:16.620000,-41.6883086071,80.052717151,6.5,61.9303981628,60.9263586355,9.41038152387,227.913289922,227.850254263,13.6228970881,1,1
usc000stlt,2014-11-03 08:48:29.740000,-41.740095545,79.9828941778,6.3,usp00086gu,1997-08-20 13:51:16.620000,-41.6883086071,80.052717151,6.5,8.17606808619,8.17605433488,1.53933514544,45.3148089765,46.4924324762,11.0870450986,1,1
usp00086gu,1997-08-20 13:51:16.620000,-41.6883086071,80.052717151,6.5,usp0007nsn,1996-08-19 06:24:11.020000,-41.5420412622,80.2697617806,6.1,24.3139096733,24.8022733786,1.3028920707,48.1478225073,48.1478104167,2.94728387435,1,1
usp00086gu,1997-08-20 13:51:16.620000,-41.6883086071,80.052717151,6.5,usp0007j86,1996-06-06 17:35:38.190000,-41.3565525296,80.5329735728,6.3,54.4470976095,52.9754085553,2.48091945218,47.5706668702,47.7409103882,3.14897664369,1,1
usc000tvgw,2015-03-06 08:22:18.960000,-41.3158861871,80.6047694746,6.0,usp0007nsn,1996-08-19 06:24:11.020000,-41.5420412622,80.2697617806,6.1,37.616593575,37.6328670506,1.03639808655,227.99814901,228.844073695,1.9792813517,1,1
usc000tvgw,2015-03-06 08:22:18.960000,-41.3158861871,80.6047694746,6.0,usp0007j86,1996-06-06 17:35:38.190000,-41.3565525296,80.5329735728,6.3,7.51766473421,7.51765377831,0.257268070041,233.050914662,233.098528372,2.75648929153,1,1
usp0007nsn,1996-08-19 06:24:11.020000,-41.5420412622,80.2697617806,6.1,usp0007j86,1996-06-06 17:35:38.190000,-41.3565525296,80.5329735728,6.3,30.1354167338,29.5587064988,0.834703494314,46.9608718755,44.8673713923,2.3525154638,1,1
