id,time,lat,lon,mag,group
iscgem894310,1951-05-02 16:17:03,-41.845,80.089,6.3,-1
iscgem891179,1954-10-21 00:10:15,-41.124,80.176,6.6,-1
iscgem795204,1970-05-04 18:53:20,-41.767,79.876,6.1,-1
iscgemsup791511,1970-10-29 02:23:23,-41.361,80.434,6.0,-1
usp0000495,1973-11-24 21:58:42,-41.595,80.185,5.613,-1
usp0000kby,1976-11-16 18:20:50.200000,-41.636,80.209,6.244,-1
usp0000mmh,1977-02-19 07:53:23.300000,-41.367,80.643,6.12,-1
usp0000mmj,1977-02-19 08:41:59.500000,-41.188,80.801,5.532,-1
usp00019fz,1980-08-21 12:07:20.100000,-41.318,80.508,6.306,-1
usp0001ebj,1981-06-25 19:51:21.460000,-41.697,79.929,6.12,-1
usp0001jfe,1982-02-03 15:07:47.120000,-40.976,80.791,5.37,-1
usp0003h2p,1988-06-18 15:59:26.170000,-41.123,80.717,5.694,-1
usp0003h2q,1988-06-18 16:01:54.840000,-41.219,80.514,5.532,-1
usp0003r0v,1989-01-20 02:03:54.690000,-41.906,79.93,5.9,-1
usp0003r0w,1989-01-20 02:15:58.240000,-41.67,80.159,5.9,-1
usp00047g7,1990-04-05 13:32:21.810000,-40.957,81.172,5.532,-1
usp00047ha,1990-04-06 02:32:34.510000,-40.953,80.724,5.937,-1
usp00047hv,1990-04-06 05:43:05.640000,-41.093,80.906,5.8,-1
usp000502c,1991-12-05 09:15:28.100000,-41.266,80.401,5.9,-1
usp00065fh,1993-12-22 15:08:52.500000,-40.65,81.104,5.532,-1
usp00077hm,1995-11-26 04:15:53.370000,-41.982,79.924,5.5,-1
usp0007j86,1996-06-06 17:35:38.190000,-41.3565525296,80.5329735728,6.3,1
usp0007nsn,1996-08-19 06:24:11.020000,-41.5420412622,80.2697617806,6.1,1
usp00086gu,1997-08-20 13:51:16.620000,-41.6883086071,80.052717151,6.5,1
usp000cz2q,2004-06-28 12:57:45.950000,-41.064,80.903,5.6,-1
usp000eujn,2006-10-06 05:08:53.740000,-41.189,80.641,5.7,-1
usp000f5qw,2007-02-27 01:35:36.350000,-41.596,79.997,5.4,-1
usp000fu3j,2007-12-09 05:56:22.860000,-41.173,80.666,5.1,-1
usp000g867,2008-05-31 04:37:56.010000,-41.4450361835,80.3995224891,6.4,1
usp000htsr,2011-01-28 23:57:41.620000,-41.018,80.834,5.2,-1
usp000htst,2011-01-29 00:27:43.290000,-41.171,80.747,5.1,-1
usc000stlt,2014-11-03 08:48:29.740000,-41.740095545,79.9828941778,6.3,1
usc000stn9,2014-11-03 12:36:17.740000,-41.8079,79.9595,5.451,-1
usc000tvgw,2015-03-06 08:22:18.960000,-41.3158861871,80.6047694746,6.0,1
us10002a3x,2015-05-18 04:02:46.580000,-41.5553,80.3254,5.7,-1
us20009pgd,2017-06-24 07:27:07.710000,-41.2381,80.6383,5.5,-1
us1000de5q,2018-04-04 13:11:42.160000,-41.6461,80.1237,5.37,-1
