id,time,lat,lon,mag,group
usp0006j75,1994-09-10 13:34:16.940000,-9.11274693917,-108.671127139,5.5,1
usp0006udt,1995-03-19 15:59:19.890000,-9.18137666019,-109.865792134,5.5,1
usp0008278,1997-05-13 00:56:46.910000,-9.1275632003,-109.967791776,5.3,1
usp000854k,1997-07-21 07:46:40.130000,-8.93205803331,-108.359884562,5.4,1
usp0008w6a,1998-10-08 07:36:28.710000,-9.11010302585,-109.883154742,5.5,1
usp0008z9f,1998-12-07 05:19:50.170000,-9.08484035111,-108.970580154,5.37,1
usp00095js,1999-03-31 23:18:03.040000,-9.10352016826,-109.791613943,5.3,1
usp000apby,2001-09-17 16:43:40.040000,-9.11260957968,-109.710598063,5.5,1
usp000c7b3,2003-09-12 08:17:37.570000,-9.08954442803,-108.979447283,5.5,1
usp000e295,2005-10-19 20:19:24.130000,-9.11130561712,-109.789598245,5.4,1
usp000enwp,2006-07-17 21:04:19.710000,-9.00562179253,-109.348979322,5.2,1
usp000f303,2007-01-19 14:47:27.380000,-9.10139347119,-109.064754624,5.2,1
usp000fmwd,2007-09-11 06:21:15.270000,-9.11404299898,-109.680094774,5.5,1
usp000fwee,2008-01-10 23:52:30.110000,-9.05644635378,-108.724564936,5.1,1
usp000g206,2008-03-21 20:36:14.290000,-9.06817798366,-109.78580272,5.2,1
usp000ge4u,2008-08-07 22:58:33.060000,-9.15427730734,-109.820214637,5.6,1
usp000gm87,2008-10-28 20:42:42.890000,-8.99467431317,-108.394107046,5.3,1
usp000gm8w,2008-10-29 01:35:58.950000,-8.95993652711,-108.412081016,5.7,1
usp000gmeh,2008-10-30 15:15:41.140000,-9.03401061905,-108.407436642,6.1,1
usp000gsht,2009-01-13 07:30:45.130000,-9.05773960379,-109.385843814,5.2,1
gcmtc200908260357a,2009-08-26 03:57:20,-9.07237511158,-109.040331784,5.1,1
usp000hv40,2011-02-26 17:17:52.090000,-9.18893066578,-109.870882429,5.4,1
usp000j5d2,2011-07-23 23:25:47.880000,-9.05843571243,-109.377599805,5.4,1
usp000j8fp,2011-09-23 19:02:48.240000,-9.09756162595,-109.702950082,5.9,1
usp000j8fx,2011-09-23 22:44:56.690000,-9.10707210386,-109.76559827,5.4,1
usp000jv53,2012-11-07 10:46:40.800000,-9.03885581908,-108.973648941,5.451,1
usp000jw2m,2012-11-26 00:17:14.860000,-9.06778434872,-108.650129533,5.4,1
usb000m425,2014-01-19 04:30:53.550000,-9.0726942543,-108.537059664,5.3,1
us200024xr,2015-04-08 03:42:12.720000,-9.07968839041,-109.263517699,5.451,1
us10003xaf,2015-11-11 06:26:33.730000,-9.11339286867,-108.718217441,5.6,1
us10005dzs,2016-05-05 11:01:46.790000,-8.96920512591,-108.373878859,5.6,1
us2000628j,2016-06-05 21:42:36.130000,-9.20316114004,-109.924638318,5.37,1
us20007zz8,2016-12-11 14:33:12.900000,-9.13208238373,-109.962075466,5.8,1
us2000b3ii,2017-10-10 14:36:02.520000,-9.10746729058,-109.801065395,5.4,1
us1000f0fv,2018-06-24 18:43:43.340000,-9.05298273625,-108.466297046,5.9,1
