id,time,lat,lon,mag,along_strike_distance
gcmtb031390c,1990-03-13 00:42:30,-6.36,-107.48,5.4,11952.114918
usp0004dz4,1990-08-27 15:30:11.880000,-5.683,-107.607,5.694,11968.6939423
usp0007n5d,1996-08-05 20:27:40.570000,-5.72,-106.758,5.3,11874.5661738
usp0009hbd,1999-11-10 02:25:38.800000,-6.41,-107.233,5.6,11924.6098939
usp000d26a,2004-08-15 03:41:17.550000,-6.238,-107.154,5.6,11916.5341696
usp000fqr4,2007-10-17 01:05:49.340000,-6.409,-107.307,5.5,11932.7951834
usp000g779,2008-05-19 04:21:01.680000,-6.41,-106.896,5.2,11887.3509024
usp000hf24,2010-07-09 08:39:05.650000,-6.335,-107.518,5.0,11956.4147404
usp000hm11,2010-09-21 12:15:39.940000,-6.338,-107.043,5.0,11903.8793946
usp000jd4t,2012-01-06 18:54:39.310000,-6.341,-107.312,5.5,11933.6129313
us10005d0b,2016-05-02 12:17:16.490000,-6.0785,-107.1631,5.6,11918.1356768
