id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usp000fqr4,2007-10-17 01:05:49.340000,-6.08629808584,-107.154761672,5.5,us10005d0b,2016-05-02 12:17:16.490000,-6.07845143662,-107.163128411,5.6,1.26915751645,2.14051827497,1.99444614384,313.133777981,306.345046598,47.9209393865,1,1
usp000d26a,2004-08-15 03:41:17.550000,-6.07395602964,-107.182815266,5.6,us10005d0b,2016-05-02 12:17:16.490000,-6.07845143662,-107.163128411,5.6,2.2352830616,2.23334064634,2.32762974613,102.851218223,102.995304632,57.128636475,1,1
usp0009hbd,1999-11-10 02:25:38.800000,-6.08291700523,-107.160451365,5.6,us10005d0b,2016-05-02 12:17:16.490000,-6.07845143662,-107.163128411,5.6,0.57592464018,0.855937087196,6.15322239561,329.032496243,329.039020449,58.5609220611,1,1
us10005d0b,2016-05-02 12:17:16.490000,-6.07845143662,-107.163128411,5.6,usp000jd4t,2012-01-06 18:54:39.310000,-6.08224474956,-107.158909597,5.5,0.627751484335,0.618474622752,1.58175243921,131.931772107,312.44581953,51.1256853673,1,1
usp000fqr4,2007-10-17 01:05:49.340000,-6.08629808584,-107.154761672,5.5,usp000jd4t,2012-01-06 18:54:39.310000,-6.08224474956,-107.158909597,5.5,0.641679710143,0.641651648443,0.538730408148,314.310556822,327.057924562,31.679884526,1,1
usp000d26a,2004-08-15 03:41:17.550000,-6.07395602964,-107.182815266,5.6,usp000jd4t,2012-01-06 18:54:39.310000,-6.08224474956,-107.158909597,5.5,2.80055960128,2.6021599258,2.87693396496,109.106226969,99.9492926276,75.6314987982,1,1
usp0009hbd,1999-11-10 02:25:38.800000,-6.08291700523,-107.160451365,5.6,usp000jd4t,2012-01-06 18:54:39.310000,-6.08224474956,-107.158909597,5.5,0.186157812767,1.54351870226,6.72094472564,66.4623825674,66.4596777421,56.0762142949,1,1
usp0007n5d,1996-08-05 20:27:40.570000,-6.07170167612,-107.158209025,5.3,usp000jd4t,2012-01-06 18:54:39.310000,-6.08224474956,-107.158909597,5.5,1.16850027824,1.16855688356,1.77921393593,183.805414796,268.509552104,73.5576134878,1,1
usp000g779,2008-05-19 04:21:01.680000,-5.99645739422,-106.99751829,5.2,usp000hm11,2010-09-21 12:15:39.940000,-5.99797548137,-107.031347452,5.0,3.74913192171,3.74887732532,2.99447731645,267.431766537,267.435306478,56.0052467798,1,1
usp000hm11,2010-09-21 12:15:39.940000,-5.99797548137,-107.031347452,5.0,usp000hf24,2010-07-09 08:39:05.650000,-6.08895758023,-107.162362365,5.0,17.6521272691,20.7383244331,19.182058359,235.244131258,81.4400243011,57.2960855369,1,1
usp000g779,2008-05-19 04:21:01.680000,-5.99645739422,-106.99751829,5.2,usp000hf24,2010-07-09 08:39:05.650000,-6.08895758023,-107.162362365,5.0,20.9204883699,20.9201539363,8.21436775565,240.719105802,240.731851426,31.3890518021,1,1
usp000d26a,2004-08-15 03:41:17.550000,-6.07395602964,-107.182815266,5.6,usp000g779,2008-05-19 04:21:01.680000,-5.99645739422,-106.99751829,5.2,22.2319088907,22.2289506106,23.0346304688,67.3352405001,67.3157890546,51.2084053091,1,1
usp000d26a,2004-08-15 03:41:17.550000,-6.07395602964,-107.182815266,5.6,usp000fqr4,2007-10-17 01:05:49.340000,-6.08629808584,-107.154761672,5.5,3.39216052466,4.39331647413,3.60195641205,113.727244439,113.718645283,62.0773841932,1,1
usp000fqr4,2007-10-17 01:05:49.340000,-6.08629808584,-107.154761672,5.5,usp0009hbd,1999-11-10 02:25:38.800000,-6.08291700523,-107.160451365,5.6,0.732453542388,0.98788832407,4.58705888839,300.695491286,74.1126764229,57.4848714575,1,1
usp000d26a,2004-08-15 03:41:17.550000,-6.07395602964,-107.182815266,5.6,usp0009hbd,1999-11-10 02:25:38.800000,-6.08291700523,-107.160451365,5.6,2.66660407728,3.32649667937,7.90964515346,111.816781337,286.622135542,59.9908051311,1,1
usp000fqr4,2007-10-17 01:05:49.340000,-6.08629808584,-107.154761672,5.5,usp0007n5d,1996-08-05 20:27:40.570000,-6.07170167612,-107.158209025,5.3,1.65866556017,2.43130780481,2.1051912459,346.698455222,134.237730011,44.6056831233,1,1
usp000d26a,2004-08-15 03:41:17.550000,-6.07395602964,-107.182815266,5.6,usp0007n5d,1996-08-05 20:27:40.570000,-6.07170167612,-107.158209025,5.3,2.73526950923,2.73528365113,2.79295422662,84.7719172111,282.146475193,82.146614687,1,1
