id,time,lat,lon,mag,group
usp0000hzf,1976-08-21 06:56:50.200000,-6.444,-107.369,5.686,-1
usp0000j9z,1976-09-09 03:32:30,-6.368,-107.067,5.37,-1
gcmtb031390c,1990-03-13 00:42:30,-6.36,-107.48,5.4,-1
usp0004dz4,1990-08-27 15:30:11.880000,-5.683,-107.607,5.694,-1
usp0007n5d,1996-08-05 20:27:40.570000,-6.07170167612,-107.158209025,5.3,1
usp0009hbd,1999-11-10 02:25:38.800000,-6.08291700523,-107.160451365,5.6,1
usp000d26a,2004-08-15 03:41:17.550000,-6.07395602964,-107.182815266,5.6,1
usp000fqr4,2007-10-17 01:05:49.340000,-6.08629808584,-107.154761672,5.5,1
usp000g779,2008-05-19 04:21:01.680000,-5.99645739422,-106.99751829,5.2,1
usp000hf24,2010-07-09 08:39:05.650000,-6.08895758023,-107.162362365,5.0,1
usp000hm11,2010-09-21 12:15:39.940000,-5.99797548137,-107.031347452,5.0,1
usp000jd4t,2012-01-06 18:54:39.310000,-6.08224474956,-107.158909597,5.5,1
us10005d0b,2016-05-02 12:17:16.490000,-6.07845143662,-107.163128411,5.6,1
