id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usp000h330,2009-10-17 03:37:39.410000,-35.2865898465,78.6618919871,5.1,us70005n6i,2019-09-28 18:19:14.924000,-35.2820040524,78.6723074028,5.37,1.07546048417,0.76587091344,1.13996405515,61.7688552811,46.6504653552,54.610216843,1,1
usp000ehjx,2006-05-20 13:55:43.240000,-35.3220148621,78.5646024737,5.0,us70005n6i,2019-09-28 18:19:14.924000,-35.2820040524,78.6723074028,5.37,10.7547761024,24.2892331146,7.83145644098,65.6533676497,56.3132829958,27.791020683,1,1
us70005n6i,2019-09-28 18:19:14.924000,-35.2820040524,78.6723074028,5.37,us1000ebb2,2018-05-24 15:50:42.420000,-35.3211731861,78.5623727068,5.37,10.902306443,10.9018668432,5.72012344751,246.477537025,66.4750934285,26.2240797651,1,1
usp000h330,2009-10-17 03:37:39.410000,-35.2865898465,78.6618919871,5.1,us1000ebb2,2018-05-24 15:50:42.420000,-35.3211731861,78.5623727068,5.37,9.83088238402,23.1267348995,19.5404044187,246.998747643,227.440111684,82.1528562952,1,1
usp000ehjx,2006-05-20 13:55:43.240000,-35.3220148621,78.5646024737,5.0,us1000ebb2,2018-05-24 15:50:42.420000,-35.3211731861,78.5623727068,5.37,0.223222485775,0.2232401214,0.500796551966,294.728644642,294.735832398,53.433166644,1,1
usp0009p2k,2000-02-28 15:00:27.850000,-35.2820033979,78.6723057411,5.3,us1000ebb2,2018-05-24 15:50:42.420000,-35.3211731861,78.5623727068,5.37,10.902196819,8.42062087199,22.6258233541,246.47687104,295.116453845,61.4469916963,1,1
usp000976s,1999-05-02 00:17:18.590000,-35.2881387347,78.6541403538,5.1,usp000h330,2009-10-17 03:37:39.410000,-35.2865898465,78.6618919871,5.1,0.725786376078,0.932635136267,2.55957703952,76.306398294,78.9196022876,61.0816007617,1,1
us70005n6i,2019-09-28 18:19:14.924000,-35.2820040524,78.6723074028,5.37,usp000fcuz,2007-05-27 06:26:17.620000,-35.2865945271,78.6618917664,5.0,1.07572390928,1.07528703153,0.392256599611,241.738976515,61.7060095454,24.4721557147,1,1
us1000ebb2,2018-05-24 15:50:42.420000,-35.3211731861,78.5623727068,5.37,usp000fcuz,2007-05-27 06:26:17.620000,-35.2865945271,78.6618917664,5.0,9.83066099732,13.0077857767,17.2990555187,67.0590013206,244.648145888,79.230668237,1,1
usp000h330,2009-10-17 03:37:39.410000,-35.2865898465,78.6618919871,5.1,usp000fcuz,2007-05-27 06:26:17.620000,-35.2865945271,78.6618917664,5.0,0.000519674897114,0.348520020176,1.08423195852,182.214726976,2.19608217614,53.3746335023,1,1
usp000ehjx,2006-05-20 13:55:43.240000,-35.3220148621,78.5646024737,5.0,usp000fcuz,2007-05-27 06:26:17.620000,-35.2865945271,78.6618917664,5.0,9.68175227074,35.062160895,8.13008678142,66.0810555854,37.759425817,15.0555038317,1,1
usp000e42s,2005-11-13 09:47:32.330000,-35.2896926927,78.6585400865,5.1,usp000fcuz,2007-05-27 06:26:17.620000,-35.2865945271,78.6618917664,5.0,0.459465645526,0.459393962272,0.542326666001,41.5744556969,32.8327925975,40.9218042844,1,1
usp0009p2k,2000-02-28 15:00:27.850000,-35.2820033979,78.6723057411,5.3,usp000fcuz,2007-05-27 06:26:17.620000,-35.2865945271,78.6618917664,5.0,1.07562515131,1.07305785885,10.7434413815,241.731758242,309.3920821,59.8646533272,1,1
usp000976s,1999-05-02 00:17:18.590000,-35.2881387347,78.6541403538,5.1,usp000fcuz,2007-05-27 06:26:17.620000,-35.2865945271,78.6618917664,5.0,0.725644066736,0.66537012442,0.876768778333,76.3458586832,76.3424792224,63.8741600703,1,1
usp0006a9f,1994-03-27 17:20:53.110000,-35.3055728287,78.6546713061,5.3,usp000fcuz,2007-05-27 06:26:17.620000,-35.2865945271,78.6618917664,5.0,2.2056165708,2.20574327103,0.464942710757,17.3256097965,17.3260274732,8.82335751203,1,1
usp000h330,2009-10-17 03:37:39.410000,-35.2865898465,78.6618919871,5.1,usp000ehjx,2006-05-20 13:55:43.240000,-35.3220148621,78.5646024737,5.0,9.68198163925,32.2117555231,7.33723816152,246.022070529,37.7216026071,16.2713425769,1,1
us70005n6i,2019-09-28 18:19:14.924000,-35.2820040524,78.6723074028,5.37,usp000e42s,2005-11-13 09:47:32.330000,-35.2896926927,78.6585400865,5.1,1.51531191332,1.601242469,0.353106669098,235.736989843,55.7463318756,14.0589164852,1,1
usp000h330,2009-10-17 03:37:39.410000,-35.2865898465,78.6618919871,5.1,usp000e42s,2005-11-13 09:47:32.330000,-35.2896926927,78.6585400865,5.1,0.459867576735,0.357748550585,0.772498356059,221.531459127,186.845449706,47.4923532758,1,1
usp000ehjx,2006-05-20 13:55:43.240000,-35.3220148621,78.5646024737,5.0,usp000e42s,2005-11-13 09:47:32.330000,-35.2896926927,78.6585400865,5.1,9.26545006632,45.1881672715,25.9222378912,67.2572326441,212.773424497,53.9737215765,1,1
usp0009p2k,2000-02-28 15:00:27.850000,-35.2820033979,78.6723057411,5.3,usp000e42s,2005-11-13 09:47:32.330000,-35.2896926927,78.6585400865,5.1,1.51522786639,2.12680417417,2.20478783388,235.731503619,237.654310542,69.2937083044,1,1
usp000976s,1999-05-02 00:17:18.590000,-35.2881387347,78.6541403538,5.1,usp000e42s,2005-11-13 09:47:32.330000,-35.2896926927,78.6585400865,5.1,0.435780865895,0.926871927576,1.54312660958,113.306147573,113.303043584,62.6385406733,1,1
